"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean"
"CLAP",4.625,0,2.833,0.625,0,3.75,0.3,4.55,1.5,0.25,0.55
"CUT",0.95,0.05,3.45,2.15,0.1,3.25,1.263,4.211,1.842,1.053,1.316
"JUMP",1.556,0,1.389,2.833,0,3.944,4.85,1.7,1.3,0.3,2.55
"KICK",0.895,0.211,3.526,1.842,0.158,3.632,4.75,0.15,0.55,0,0.65
"PLUG",1,0.25,1.9,0.9,0.4,3,0.3,2.75,0.8,0.05,0.1
"SIT",0.611,0.194,2.306,1.417,0.222,3.194,4.211,1.263,1.368,0.263,3.684
"STEP",1.3,0,2.45,1.6,0.05,3.05,4.619,0.905,0.952,0.238,0.952
"THROW",1.059,0,3,0.882,0,4,0.864,4.591,1.545,0.227,1.409
"WALK",0.765,0,1.588,2.529,0.176,3.118,4.947,1.368,1.105,0.526,1.263
"WRITE",1.116,0.279,3.163,1.186,0.256,3.651,0.227,4.727,2.364,0.273,0.409
