Time,ERP
-1000,0.8428745
-996,1.265242
-992,2.130628
-988,3.027485
-984,3.623668
-980,2.11732
-976,2.318151
-972,2.861037
-968,3.821128
-964,4.932629
-960,5.734109
-956,5.888369
-952,5.433062
-948,4.756318
-944,4.303412
-940,4.243634
-936,4.367768
-932,4.305852
-928,3.886516
-924,3.334025
-920,3.122727
-916,3.591134
-912,4.625574
-908,5.680396
-904,6.139352
-900,5.750789
-896,4.806622
-892,3.931997
-888,3.649078
-884,4.040304
-880,4.746313
-876,5.270307
-872,5.340243
-868,5.061471
-864,4.773514
-860,4.746804
-856,4.956966
-852,5.093727
-848,4.786084
-844,3.880994
-840,2.59414
-836,1.439878
-832,0.9784464
-828,1.51241
-824,2.892444
-820,4.54692
-816,5.746588
-812,5.984961
-808,5.26601
-804,4.111878
-800,3.258795
-796,3.215235
-792,3.972237
-788,5.069218
-784,5.967065
-780,6.44234
-776,6.689376
-772,7.048636
-768,7.59668
-764,7.971795
-760,7.629328
-756,6.349789
-752,4.567489
-748,3.189205
-744,2.976471
-740,3.954886
-736,5.343927
-732,6.114161
-728,5.76561
-724,4.71104
-720,3.935744
-716,4.186383
-712,5.337777
-708,6.46677
-704,6.594825
-700,5.507643
-696,3.976557
-692,3.180382
-688,3.777075
-684,5.371142
-680,6.811839
-676,7.087443
-672,6.098226
-668,4.690924
-664,3.939214
-660,4.263509
-656,5.103627
-652,5.394984
-648,4.443769
-644,2.481423
-640,0.4602847
-636,-0.7189361
-632,-0.8977152
-628,-0.7076594
-624,-0.9578726
-620,-1.891218
-616,-2.935613
-612,-3.161434
-608,-2.071916
-604,-0.08488166
-600,1.684977
-596,2.177483
-592,1.096013
-588,-0.949541
-584,-2.934141
-580,-4.134558
-576,-4.527972
-572,-4.618926
-568,-4.899058
-564,-5.403391
-560,-5.707736
-556,-5.333274
-552,-4.206941
-548,-2.800989
-544,-1.844933
-540,-1.833519
-536,-2.696792
-532,-3.85891
-528,-4.623883
-524,-4.605039
-520,-3.914403
-516,-3.018746
-512,-2.40226
-508,-2.280383
-504,-2.53873
-500,-2.893182
-496,-3.120382
-492,-3.183158
-488,-3.178877
-484,-3.179485
-480,-3.110211
-476,-2.777814
-472,-2.038791
-468,-0.9834874
-464,0.01301629
-460,0.4365488
-456,-0.09541137
-452,-1.602496
-448,-3.692796
-444,-5.726553
-440,-7.090758
-436,-7.432345
-432,-6.745375
-428,-4.858446
-424,-3.328564
-420,-1.89311
-416,-1.053772
-412,-0.9553
-408,-1.850747
-404,-3.262927
-400,-4.626452
-396,-5.483437
-392,-5.713077
-388,-5.51748
