Time,ERP
-1000,5.635464
-996,6.962409
-992,8.412687
-988,11.27551
-984,12.32
-980,6.955861
-976,-5.547396
-972,-19.87225
-968,-27.97816
-964,-25.36204
-960,-14.8038
-956,-4.170654
-952,-0.05293721
-948,-2.7126
-944,-6.680571
-940,-6.307129
-936,-1.178452
-932,3.526886
-928,2.056807
-924,-6.100385
-920,-14.98226
-916,-16.81206
-912,-8.587584
-908,5.164949
-904,15.92523
-900,17.97543
-896,12.61787
-892,6.300773
-888,4.500887
-884,6.876534
-880,7.964121
-876,2.714326
-872,-8.138047
-868,-17.73271
-864,-18.22793
-860,-7.126373
-856,10.51919
-852,25.77915
-848,32.23838
-844,29.88041
-840,23.6546
-836,18.52107
-832,15.52053
-828,12.07805
-824,5.760012
-820,-2.325324
-816,-7.735685
-812,-6.336442
-808,1.932112
-804,12.53927
-800,19.55643
-796,19.79186
-792,14.43918
-788,7.149691
-784,0.588073
-780,-4.143964
-776,-10.72164
-772,-18.52416
-768,-24.46462
-764,-24.75588
-760,-17.99396
-756,-6.610912
-752,4.621762
-748,11.78893
-744,14.06483
-740,13.26957
-736,11.42359
-732,8.668956
-728,3.453387
-724,-5.250736
-720,-15.80259
-716,-23.90717
-712,-25.03509
-708,-17.45533
-704,-3.566237
-700,11.43084
-696,22.4318
-692,26.80067
-688,24.78358
-684,18.21232
-680,8.93554
-676,-1.740542
-672,-12.50975
-668,-21.39935
-664,-25.99826
-660,-24.65654
-656,-17.72614
-652,-7.719143
-648,1.924697
-644,8.657243
-640,11.93941
-636,12.90238
-632,12.93661
-628,12.41345
-624,10.5971
-620,6.784347
-616,1.62793
-612,-2.659134
-608,-3.665295
-604,-0.8030133
-600,3.699328
-596,5.964138
-592,3.303122
-588,-3.28249
-584,-9.064207
-580,-8.524128
-576,0.51646
-572,14.59244
-568,26.14129
-564,28.21687
-560,19.22456
-556,5.622342
-552,-8.423445
-548,-14.53037
-544,-11.11313
-540,-2.161673
-536,6.15913
-532,9.808078
-528,8.81336
-524,5.833403
-520,3.138484
-516,0.8653356
-512,-2.107701
-508,-5.902953
-504,-8.536987
-500,-7.313508
-496,-1.572575
-492,5.855642
-488,10.16104
-484,8.067995
-480,0.4544681
-476,-8.242466
-472,-13.45532
-468,-13.90652
-464,-12.13873
-460,-11.74758
-456,-13.79939
-452,-15.64106
-448,-13.23287
-444,-5.030145
-440,5.983129
-436,13.98962
-432,14.49153
-428,7.567322
-424,-2.34716
-420,-9.832568
-416,-12.17976
-412,-10.52842
-408,-7.924229
-404,-6.358388
-400,-5.429532
-396,-3.521838
-392,-0.008113992
-388,3.805995
-384,5.881248
-380,5.473423
-376,3.833368
-372,2.735667
-368,2.223954
-364,-0.05490744
-360,-6.85317
-356,-18.12462
-352,-29.5166
-348,-34.34801
-344,-28.01818
-340,-11.58093
-336,8.385275
-332,23.69289
-328,29.39902
-324,28.83226
-320,17.8903
-316,8.990353
-312,-0.3413956
-308,-9.97184
-304,-19.21971
-300,-25.95636
-296,-27.52477
-292,-22.64599
-288,-12.57676
-284,-0.5116264
-280,10.19046
-276,17.44363
-272,20.5457
-268,19.33945
-264,13.65474
-260,3.798013
-256,-8.423927
-252,-19.45653
-248,-25.31103
-244,-23.79962
-240,-16.03792
-236,-5.936966
-232,2.078938
-228,5.516922
-224,4.737002
-220,1.92531
-216,-0.8064584
-212,-2.623721
-208,-3.72656
-204,-4.248226
-200,-3.548929
-196,-0.6562068
-192,4.536892
-188,10.44942
-184,14.23651
-180,13.33525
-176,7.125683
-172,-2.405591
-168,-11.44551
-164,-16.1394
-160,-14.42149
-156,-6.986643
-152,3.034284
-148,11.5374
-144,15.37487
-140,13.80591
-136,8.66712
-132,3.093349
-128,-0.4860841
-124,-1.766265
-120,-2.364357
-116,-4.08458
-112,-6.969447
-108,-8.77867
-104,-6.527851
-100,0.9572525
-96,11.51131
-92,20.54514
-88,23.94414
-84,20.82425
-80,14.00255
-76,7.792521
-72,4.873908
-68,4.727276
-64,4.795684
-60,3.223709
-56,0.6931004
-52,-0.3030403
-48,1.899358
-44,6.023151
-40,8.38043
-36,5.896518
-32,-0.8216748
-28,-7.136602
-24,-7.443208
-20,0.4900108
-16,13.27604
-12,23.6843
-8,25.30748
-4,16.75509
0,2.367026
4,-10.90534
8,-17.97055
12,-18.13198
16,-17.40599
20,-10.33937
24,-3.589287
28,4.18058
32,14.5187
36,22.85978
40,30.34699
44,29.4919
48,18.29184
52,0.2429925
56,-17.3915
60,-27.83492
64,-28.44551
68,-21.31917
72,-10.89479
76,-0.800435
80,7.629426
84,14.48622
88,19.45382
92,18.84646
96,16.6444
100,9.262291
104,-1.573958
108,-12.22016
112,-19.20965
116,-21.19491
120,-19.15417
124,-14.82175
128,-8.896481
132,-0.8004486
136,9.669832
140,20.33872
144,26.47781
148,23.325
152,9.810492
156,-9.421993
160,-25.74622
164,-31.38178
168,-24.15849
172,-8.805065
176,6.269209
180,14.44824
184,14.73643
188,11.33889
192,9.646301
196,11.92328
200,15.98118
204,17.54448
208,14.0578
212,6.736237
216,-0.6122254
220,-4.662935
224,-4.766768
228,-2.528279
232,0.4697208
236,4.392581
240,10.5868
244,19.26968
248,27.80929
252,31.53246
256,26.75431
260,13.65876
264,-3.346766
268,-18.11201
272,-26.08073
276,-26.0153
280,-19.28828
284,-8.085018
288,5.494086
292,18.83406
296,28.05487
300,28.8999
304,19.40956
308,2.33322
312,-15.24433
316,-25.56929
320,-24.79606
324,-14.98459
328,-1.950009
332,9.180164
336,16.92575
340,22.57347
344,26.67972
348,26.69683
352,18.49601
356,0.8344581
360,-21.33316
364,-40.79416
368,-44.06146
372,-31.92462
376,-11.30016
380,5.305572
384,14.67948
388,17.42822
392,17.72894
396,17.95552
400,16.07423
404,8.365251
408,-5.196995
412,-18.41995
416,-22.40167
420,-12.68407
424,6.116855
428,22.15606
432,23.75731
436,12.21157
440,-3.715836
444,-13.29786
448,-12.39561
452,-5.997288
456,-2.754917
460,-6.579278
464,-12.90971
468,-13.03546
472,-2.563458
476,13.6854
480,24.99346
484,23.61399
488,11.50476
492,-1.030883
496,-3.776484
500,5.021341
504,17.37505
508,22.28478
512,14.62766
516,-1.195039
520,-15.48056
524,-21.2334
528,-19.06913
532,-15.35466
536,-15.98411
540,-21.57495
544,-27.90546
548,-30.34111
552,-27.65272
556,-21.89851
560,-15.27885
564,-7.76854
568,1.855217
572,12.87194
576,21.17871
580,21.87122
584,13.97933
588,2.785767
592,-3.18003
596,1.395775
600,14.05882
604,26.08054
608,29.05009
612,21.15537
616,7.988076
620,-2.50426
624,-6.279762
628,-5.281333
632,-4.035789
636,-4.542736
640,-4.543415
644,-0.7092856
648,6.691056
652,12.65389
656,11.4476
660,2.211376
664,-9.329535
668,-15.15414
672,-11.71533
676,-3.044587
680,2.8788
684,1.416048
688,-4.415779
692,-6.742333
696,-0.4084512
700,11.58523
704,20.03948
708,17.53771
712,5.415323
716,-6.760494
720,-9.159273
724,-0.3126058
728,11.275
732,14.23138
736,4.185353
740,-12.10888
744,-22.0461
748,-17.41085
752,-0.9297125
756,16.25388
760,23.75148
764,19.8126
768,11.47812
772,7.501727
776,10.64882
780,16.03721
784,16.41254
788,9.10784
792,-1.662271
796,-8.889607
800,-9.07796
804,-4.873981
808,-1.879865
812,-3.020574
816,-5.938723
820,-5.772343
824,-0.4484911
828,6.741734
832,9.857039
836,5.793848
840,-2.624911
844,-8.926719
848,-8.588736
852,-2.854005
856,2.652994
860,3.116388
864,-1.300095
868,-6.03487
872,-6.695373
876,-3.198902
880,0.3671423
884,-0.1247798
888,-4.751886
892,-9.384706
896,-9.55924
900,-4.64972
904,1.601785
908,4.649772
