Time,ERP
-1000,3.906321
-996,5.109617
-992,6.452438
-988,7.207507
-984,6.988585
-980,6.81215
-976,5.889843
-972,4.891509
-968,3.93432
-964,2.768966
-960,1.238165
-956,-0.2496905
-952,-0.7530641
-948,0.5539719
-944,3.584192
-940,7.087204
-936,9.271949
-932,9.00159
-928,6.145047
-924,2.207068
-920,-0.938511
-916,-2.208597
-912,-1.855619
-908,-1.028705
-904,-0.770067
-900,-1.258686
-896,-1.842259
-892,-1.723388
-888,-0.6685736
-884,0.8270198
-880,1.971444
-876,2.270016
-872,1.785426
-868,0.9279802
-864,0.05282426
-860,-0.7549788
-856,-1.577844
-852,-1.841529
-848,-2.598441
-844,-3.464658
-840,-4.193195
-836,-4.486059
-832,-4.162065
-828,-3.247699
-824,-1.983432
-820,-0.766432
-816,-0.03530638
-812,-0.1026394
-808,-0.9938805
-804,-2.399264
-800,-3.807687
-796,-4.766849
-792,-5.101715
-788,-4.942233
-784,-4.560525
-780,-4.172547
-776,-3.872512
-772,-3.722603
-768,-3.857091
-764,-4.442161
-760,-5.48812
-756,-6.692147
-752,-7.505991
-748,-7.43651
-744,-6.359859
-740,-4.59053
-736,-2.647144
-732,-0.9270899
-728,0.4209861
-724,1.339219
-720,1.630672
-716,0.9702215
-712,-0.7557276
-708,-3.059163
-704,-4.838349
-700,-4.919403
-696,-2.845734
-692,0.6822402
-688,4.122075
-684,6.002699
-680,5.798456
-676,4.138124
-672,2.233197
-668,1.004517
-664,0.5782221
-660,0.4681949
-656,0.1829558
-652,-0.3125217
-648,-0.6491849
-644,-0.4933419
-640,0.08483768
-636,0.659479
-632,0.8376537
-628,0.5940478
-624,0.2312593
-620,0.02581779
-616,-0.07167029
-612,-0.3722633
-608,-1.076916
-604,-1.96995
-600,-2.504473
-596,-2.238355
-592,-1.234047
-588,-0.0479789
-584,0.7000793
-580,0.8051694
-576,0.5866821
-572,0.5473381
-568,0.9013824
-564,1.392771
-560,1.541213
-556,1.06375
-552,0.08755209
-548,-0.9993402
-544,-1.860215
-540,-2.365503
-536,-2.486465
-532,-2.13116
-528,-1.195122
-524,0.1623069
-520,1.328705
-516,1.466505
-512,0.1192499
-508,-2.275989
-504,-4.490222
-500,-5.277009
-496,-4.271784
-492,-2.276908
-488,-0.6506166
-484,-0.271522
-480,-0.9398069
-476,-1.722419
-472,-1.926123
-468,-1.809665
-464,-2.358242
-460,-4.282376
-456,-7.137048
-452,-9.40689
-448,-9.582093
-444,-7.360778
-440,-3.955647
-436,-1.219416
-432,-0.3056028
-428,-0.9684059
-424,-2.035914
-420,-2.565172
-416,-2.618673
-412,-2.9897
-408,-4.190048
-404,-5.696572
-400,-6.212928
-396,-4.757076
-392,-1.60015
-388,1.817381
-384,3.96183
-380,4.35092
-376,3.777918
-372,3.452149
-368,3.864816
-364,4.42064
-360,4.155503
-356,2.842575
-352,1.414028
-348,1.243217
-344,2.893259
-340,5.468233
-336,7.206672
-332,6.859049
-328,4.677938
-324,2.167015
-320,0.8141201
-316,0.912067
-312,1.476737
-308,1.287673
-304,0.09045073
-300,-1.118361
-296,-0.9635765
-292,1.069202
-288,4.120567
-284,6.593098
-280,7.341347
-276,6.378002
-272,4.559347
-268,2.664253
-264,0.7945011
-260,-1.355883
-256,-3.704386
-252,-5.34305
-248,-5.022485
-244,-1.771173
-240,2.667091
-236,6.576903
-232,8.379794
-228,7.807449
-224,5.883022
-220,3.972787
-216,2.744984
-212,1.89854
-208,0.8006235
-204,-0.6394389
-200,-1.706304
-196,-1.473017
-192,0.3034686
-188,2.819964
-184,4.74361
-180,5.163468
-176,4.165979
-172,2.594084
-168,1.289889
-164,0.5385846
-160,0.9925923
-156,0.5801509
-152,0.3550521
-148,1.014109
-144,2.619473
-140,4.197248
-136,4.32492
-132,2.304866
-128,-1.085052
-124,-3.986906
-120,-4.766098
-116,-3.188611
-112,-0.5200615
-108,1.504524
-104,1.958755
-100,1.213827
-96,0.3339844
-92,0.02211364
-88,0.08147303
-84,-0.1935584
-80,-1.168484
-76,-2.424837
-72,-3.147087
-68,-2.938578
-64,-2.24276
-60,-1.928761
-56,-2.420889
-52,-3.221432
-48,-3.334337
-44,-2.24564
-40,-0.5517249
-36,-0.06279024
-32,-1.100602
-28,-3.426115
-24,-5.511455
-20,-5.924765
-16,-3.735179
-12,-1.612397
-8,-0.5912979
-4,-1.203147
0,-2.509008
4,-3.034343
8,-2.161082
12,-0.7455285
16,-0.4299186
20,-2.265556
24,-5.841679
28,-9.626864
32,-12.14936
36,-12.95212
40,-12.5525
44,-11.59851
48,-10.13061
52,-7.681484
56,-4.076983
60,-0.08678547
64,2.80381
68,3.389594
72,1.644386
76,-1.284399
80,-3.972486
84,-5.683033
88,-6.54496
92,-6.874548
96,-6.416807
100,-4.369559
104,-0.2697704
108,5.097324
112,9.757577
116,11.37551
120,10.27644
124,7.313236
128,4.536479
132,3.226319
136,3.080125
140,2.846035
144,1.794048
148,0.6450292
152,1.046345
156,4.000377
160,8.646363
164,12.55624
168,13.41193
172,10.71465
176,6.117182
180,2.129668
184,0.3137406
188,0.4532893
192,1.268033
196,1.86405
200,2.525594
204,4.15115
208,6.955797
212,9.775726
216,10.75652
220,8.892251
224,5.024853
228,1.326218
232,-0.3740717
236,0.01017785
240,0.922605
244,0.6872082
248,-0.8965206
252,-2.323326
256,-1.757788
260,1.176884
264,4.790453
268,6.492488
272,4.796984
276,0.4977231
280,-3.949761
284,-6.291027
288,-6.023914
292,-4.425881
296,-3.193873
300,-2.981718
304,-3.087524
308,-2.425366
312,-0.7576308
316,0.9991717
320,3.11674
324,2.681068
328,1.655514
332,1.385722
336,2.418111
340,3.935503
344,4.471136
348,3.285526
352,1.166938
356,-0.09549904
360,0.8490586
364,3.783367
368,7.060563
372,8.879864
376,8.614625
380,7.109295
384,5.787186
388,5.419732
392,5.627223
396,5.462387
400,4.452011
404,3.110726
408,2.479363
412,3.152337
416,4.708237
420,6.059166
424,6.379558
428,5.757041
432,4.98652
436,4.734825
440,4.882607
444,4.678423
448,3.576275
452,1.973575
456,1.120049
460,2.190161
464,5.264532
468,9.083053
472,11.80843
476,12.21211
480,10.36976
484,7.390382
488,4.501446
492,2.287242
496,0.6504042
500,-0.6207194
504,-1.319954
508,-0.8825734
512,0.9982551
516,3.785469
520,6.15143
524,6.747244
528,5.137558
532,2.163654
536,-0.5851457
540,-1.831625
544,-1.436669
548,-0.4072393
552,-0.1110271
556,-1.286934
560,-3.552985
564,-5.721939
568,-6.6542
572,-6.027831
576,-4.503742
580,-3.209721
584,-2.93012
588,-3.568205
592,-4.243657
596,-3.949813
600,-2.316001
604,0.0563337
608,1.932491
612,2.246803
616,0.8245287
620,-1.484296
624,-3.36793
628,-3.924777
632,-3.22381
636,-2.151571
640,-1.673
644,-2.077606
648,-2.793817
652,-2.908663
656,-1.970455
660,-0.4216913
664,0.6941722
668,0.5250525
672,-0.9298778
676,-2.81455
680,-4.059282
684,-4.153939
688,-3.452212
692,-2.809907
696,-2.893995
700,-2.89881
704,-4.201589
708,-5.032323
712,-5.071226
716,-4.318054
720,-2.920579
724,-1.086928
728,0.8252549
732,2.234319
736,2.523705
740,1.472951
744,-0.4251142
748,-2.146411
752,-2.818617
756,-2.418149
760,-1.863056
764,-2.311105
768,-4.148254
772,-6.496902
776,-7.729578
780,-6.671813
784,-3.569518
788,-0.0232183
792,2.105033
796,1.976055
800,0.2488174
804,-1.595951
808,-2.486299
812,-2.512435
816,-2.609307
820,-3.50831
824,-4.924947
828,-5.729244
832,-4.970603
836,-2.854912
840,-0.7790861
844,-0.3202174
848,-1.9809
852,-4.731315
856,-6.749366
860,-6.774601
864,-4.99367
868,-2.77323
872,-1.508207
876,-1.556535
880,-2.110946
884,-2.041633
888,-0.9386083
892,0.539021
896,1.267818
900,0.656994
904,-0.832164
908,-2.072602
912,-2.204684
916,-1.310098
920,-0.2710584
924,0.03098639
928,-0.5241527
932,-1.209214
936,-1.078143
940,0.2426633
944,2.252246
948,3.96979
952,4.656157
956,4.267887
960,3.334342
964,2.452754
968,1.8757
972,1.509058
976,1.229749
980,1.155779
984,1.590495
988,2.702824
992,4.267631
996,5.734145
1000,6.581346
1004,6.654635
1008,6.197529
1012,5.574142
1016,4.955217
1020,4.260653
1024,3.399235
1028,2.555716
1032,2.213519
1036,2.831184
1040,4.410833
1044,6.32655
1048,7.600131
1052,7.467653
1056,5.850277
1060,3.410007
1064,1.168979
1068,-0.03629255
1072,0.07838923
1076,1.232614
1080,2.844468
1084,4.346267
1088,5.369598
1092,5.762363
1096,5.517365
1100,4.704868
1104,3.443721
1108,1.894202
1112,0.2522903
1116,-1.253584
1120,-2.359123
1124,-2.77481
1128,-2.248219
1132,-0.6857807
1136,1.721502
1140,4.461561
1144,6.81429
1148,8.082
1152,7.827908
1156,6.012815
1160,2.993479
1164,-0.5763475
1168,-3.881829
1172,-6.100309
1176,-6.591135
1180,-5.118367
1184,-2.025502
1188,1.76981
1192,5.042026
1196,6.716324
1200,6.306378
1204,4.096155
1208,0.9655774
1212,-2.035657
1216,-4.128706
1220,-5.044972
1224,-4.995462
1228,-4.45529
1232,-3.910753
1236,-3.673859
1240,-3.794122
1244,-4.060422
1248,-4.094537
1252,-3.537341
1256,-2.279619
1260,-0.6178974
1264,0.7978394
1268,1.259797
1272,0.4101444
1276,-1.485365
1280,-3.601472
1284,-4.957451
1288,-4.936935
1292,-3.607878
1296,-1.648895
1300,0.06119458
1304,0.925159
1308,0.8878745
1312,0.34477
1316,-0.201451
1320,-0.4906125
1324,-0.005370041
1328,-0.2384785
1332,-1.202872
1336,-2.782784
1340,-4.395627
1344,-5.343655
1348,-5.21385
1352,-4.07399
1356,-2.387094
1360,-0.7541237
1364,0.3340237
1368,0.6214656
1372,0.09348083
1376,-1.067469
1380,-2.530527
1384,-3.881741
1388,-4.734478
1392,-4.869965
1396,-4.336057
1400,-3.423457
1404,-2.503301
1408,-1.807534
1412,-1.291224
1416,-0.681976
1420,0.2953504
1424,1.655941
1428,3.03763
1432,3.83797
1436,3.555911
1440,2.14042
1444,0.1113496
1448,-1.662304
1452,-2.423703
1456,-1.947932
1460,-0.1870253
1464,1.028698
1468,1.753446
1472,1.9608
1476,2.008515
1480,2.662578
1484,3.298641
1488,3.675832
1492,3.086015
1496,1.301929
1500,-1.016829
1504,-2.590252
1508,-2.35025
1512,-0.2437965
1516,2.63404
1520,4.73434
1524,5.086277
1528,3.888096
1532,2.209337
1536,1.061822
1540,0.606075
1544,0.1424987
1548,-1.123572
1552,-3.213548
1556,-5.176744
1560,-5.778683
1564,-4.533904
1568,-2.216974
1572,-0.3822432
1576,-0.2271281
1580,-1.686539
1584,-3.480316
1588,-4.082959
1592,-2.855241
1596,-0.4674757
1600,1.672248
1604,2.484354
1608,1.928245
1612,0.8526137
1616,0.2023338
1620,0.2838446
1624,0.662948
1628,0.6829271
1632,0.07907403
1636,-0.8468391
1640,-1.576556
1644,-1.856866
1648,-1.845647
1652,-1.821635
1656,-1.796681
1660,-1.458524
1664,-0.5297865
1668,0.811249
1672,1.907712
1676,2.102604
1680,1.328176
1684,0.2508701
1688,-0.2288101
1692,0.2610239
1696,1.20382
1700,1.600896
1704,0.8465243
1708,-0.6697615
1712,-1.791396
1716,-1.520083
1720,0.1120012
1724,1.971287
1728,2.657487
1732,1.589487
1736,-0.5373034
1740,-2.292742
1744,-2.602783
1748,-1.498295
1752,0.05845584
1756,1.062897
1760,1.27741
1764,1.275722
1768,1.736933
1772,2.671667
1776,3.314194
1780,2.808633
1784,1.086767
1788,-0.8688195
1792,-1.674129
1796,-0.6141295
1800,1.746348
1804,3.93748
1808,4.668156
1812,3.763839
1816,2.229496
1820,1.421258
1824,2.010587
1828,3.544192
1832,4.879718
1836,5.076328
1840,4.017385
1844,2.342872
1848,0.8644082
1852,0.004801115
1856,-0.3207809
1860,-0.4085248
1864,-0.4162752
1868,-0.278073
1872,0.119189
1876,0.753504
1880,1.489167
1884,2.245352
1888,3.071985
1892,3.994428
1896,4.773057
1900,4.882904
1904,3.854844
1908,1.754643
1912,-0.6352252
1916,-2.186868
