Time,ERP
-1000,0.1068123
-996,0.07394867
-992,0.08815636
-988,-0.1654339
-984,-0.7216445
-980,-1.658419
-976,-1.623508
-972,-1.29752
-968,-0.7354082
-964,-0.1967248
-960,0.0395896
-956,-0.0948622
-952,-0.38136
-948,-0.4751504
-944,-0.1901693
-940,0.3238502
-936,0.6737838
-932,0.5317864
-928,-0.07987188
-924,-0.765708
-920,-1.035436
-916,-0.6789544
-912,0.05610828
-908,0.6334692
-904,0.624004
-900,0.02811012
-896,-0.7213122
-892,-1.075289
-888,-0.763285
-884,0.02656167
-880,0.7993542
-876,1.104474
-872,0.8182558
-868,0.1704144
-864,-0.4664993
-860,-0.8368508
-856,-0.9226059
-852,-0.8721616
-848,-0.8360897
-844,-0.8504553
-840,-0.8370507
-836,-0.6831357
-832,-0.3199343
-828,0.2452623
-824,0.9313673
-820,1.593222
-816,2.043059
-812,2.110894
-808,1.744059
-804,1.085245
-800,0.4481162
-796,0.1690832
-792,0.4202668
-788,1.119361
-784,2.01107
-780,2.852998
-776,3.547765
-772,4.108662
-768,4.506602
-764,4.572221
-760,4.094423
-756,3.069294
-752,1.876823
-748,1.167244
-744,1.460303
-740,2.727193
-736,4.302412
-732,5.260364
-728,5.030534
-724,3.806363
-720,2.422703
-716,1.766179
-712,2.142858
-708,3.071279
-704,3.650918
-700,3.222402
-696,1.824831
-692,0.1304147
-688,-1.055031
-684,-1.320869
-680,-0.8263094
-676,-0.05012118
-672,0.6195832
-668,1.108426
-664,1.551205
-660,2.020656
-656,2.376089
-652,2.380496
-648,1.968027
-644,1.397809
-640,1.128978
-636,1.50084
-632,2.476452
-628,3.656717
-624,4.547692
-620,4.863985
-616,4.644743
-612,4.132234
-608,3.558453
-604,3.029919
-600,2.575919
-596,2.258729
-592,2.195895
-588,2.45037
-584,2.896847
-580,3.217635
-576,3.076201
-572,2.351749
-568,1.249992
-564,0.191039
-560,-0.4498695
-556,-0.5628195
-552,-0.3373944
-548,-0.1097713
-544,-0.1510585
-540,-0.5378343
-536,-1.156214
-532,-1.79224
-528,-2.23399
-524,-2.347507
-520,-2.127759
-516,-1.720072
-512,-1.379825
-508,-1.348627
-504,-1.694315
-500,-2.230655
-496,-2.615695
-492,-2.599219
-488,-2.246915
-484,-1.943535
-480,-2.128719
-476,-2.94096
-472,-4.053599
-468,-4.865137
-464,-4.93136
-460,-4.316414
-456,-3.577544
-452,-3.373115
-448,-3.981638
-444,-5.09688
-440,-6.050946
-436,-6.284408
-432,-5.699875
-428,-4.467217
-424,-3.343015
-420,-2.48227
-416,-1.817591
-412,-1.868382
-408,-1.192374
-404,-0.5459798
-400,-0.3232957
-396,-0.7875666
-392,-1.8255
-388,-2.969362
-384,-3.663887
-380,-3.58068
-376,-2.774891
-372,-1.612841
-368,-0.5544469
-364,0.06513755
-360,0.1524195
-356,-0.1481959
-352,-0.5497152
-348,-0.7662899
-344,-0.657459
-340,-0.3078153
-336,0.01636933
-332,0.03711812
-328,-0.3318166
-324,-0.8912759
-320,-1.262459
-316,-1.136246
-312,-0.4890532
-308,0.402431
-304,1.160823
-300,1.562663
-296,1.644675
-292,1.5906
-288,1.520567
-284,1.386339
-280,1.067863
-276,0.5665596
-272,0.08730835
-268,-0.1000448
-264,0.08873507
