Time,ERP
-1000,-0.9422252
-996,-0.922833
-992,-1.017437
-988,-1.154219
-984,-1.203014
-980,-1.102001
-976,-0.8752327
-972,-0.6043144
-968,-0.3619675
-964,-0.1597418
-960,0.02688514
-956,0.2035926
-952,0.3345524
-948,0.3771324
-944,0.3366799
-940,0.2813241
-936,0.3845835
-932,0.5677666
-928,0.9044408
-924,1.014761
-920,1.015119
-916,0.8309455
-912,0.7079161
-908,0.7674179
-904,0.9111499
-900,0.9976219
-896,0.9355284
-892,0.7604642
-888,0.5993667
-884,0.5548722
-880,0.6128092
-876,0.6562803
-872,0.5763234
-868,0.3815264
-864,0.2068227
-860,0.2063228
-856,0.03015072
-852,0.3117969
-848,0.5008249
-844,0.4940755
-840,0.02027007
-836,-0.5956032
-832,-1.102522
-828,-1.349404
-824,-1.370079
-820,-1.330058
-816,-1.390081
-812,-1.59622
-808,-1.870343
-804,-2.088869
-800,-2.175324
-796,-2.138535
-792,-2.044751
-788,-1.964305
-784,-1.930918
-780,-2.041432
-776,-2.181792
-772,-2.316913
-768,-2.406259
-764,-2.400455
-760,-2.262367
-756,-2.004391
-752,-1.706931
-748,-1.488932
-744,-1.440522
-740,-1.563956
-736,-1.769131
-732,-1.929171
-728,-1.955784
-724,-1.839969
-720,-1.634822
-716,-1.403735
-712,-1.180888
-708,-0.9721443
-704,-0.7845541
-700,-0.6483094
-696,-0.6061063
-692,-0.6786839
-688,-0.838841
-684,-1.018841
-680,-1.146086
-676,-1.177991
-672,-1.109485
-668,-0.954032
-664,-0.7215335
-660,-0.4166113
-656,-0.05753198
-652,0.4313127
-648,0.6852465
-644,0.7856558
-640,0.6996794
-636,0.439829
-632,0.05042619
-628,-0.4068237
-624,-0.855419
-620,-1.202445
-616,-1.352255
-612,-1.244708
-608,-0.9002136
-604,-0.4356759
-600,-0.02654454
-596,0.1740407
-592,0.1129804
-588,-0.1373933
-584,-0.424741
-580,-0.6050881
-576,-0.6209792
-572,-0.5246475
-568,-0.4385922
-564,-0.4816027
-560,-0.7046272
-556,-1.068627
-552,-1.471641
-548,-1.805745
-544,-2.01188
-540,-2.101136
-536,-2.129447
-532,-2.139706
-528,-2.110952
-524,-1.957558
-520,-1.592342
-516,-1.018077
-512,-0.3772058
-508,0.09604937
-504,0.2118291
-500,-0.03545782
-496,-0.4308201
-492,-0.6540029
-488,-0.4848866
-484,0.04004297
-480,0.6394172
-476,0.9697426
-472,0.8557084
-468,0.4025528
-464,-0.0894236
-460,-0.3419287
-456,-0.2828218
-452,-0.06514039
-448,0.07896598
-444,0.0203645
-440,-0.1949813
-436,-0.4291335
-432,-0.6007538
-428,-0.7598355
-424,-1.022368
-420,-1.429976
-416,-1.870123
-412,-2.140151
-408,-2.108104
-404,-1.830801
-400,-1.521171
-396,-1.385546
-392,-1.46789
-388,-1.634256
-384,-1.710067
-380,-1.646729
-376,-1.566499
-372,-1.640241
-368,-1.905177
-364,-2.190095
-360,-2.229517
-356,-1.882527
-352,-1.273032
-348,-0.7227359
-344,-0.6969075
-340,-0.8987099
-336,-1.198337
-332,-1.295089
-328,-1.066013
-324,-0.9366878
-320,-0.6663288
-316,-0.651899
-312,-0.827291
-308,-0.9527902
-304,-0.8280219
-300,-0.4674589
-296,-0.08908416
-292,0.07024032
-288,-0.0478314
-284,-0.2805997
-280,-0.3881246
-276,-0.2556551
-272,0.01843216
-268,0.2183591
-264,0.19992
-260,0.005975148
-256,-0.1881735
-252,-0.2446644
-248,-0.1939901
-244,-0.2102181
-240,-0.4522665
-236,-0.9102025
-232,-1.390722
-228,-1.655992
-224,-1.600143
-220,-1.31841
-216,-1.016606
-212,-0.8410535
-208,-0.76941
-204,-0.6452616
-200,-0.3185919
-196,0.2266053
-192,0.8550887
-188,1.374864
-184,1.659266
-180,1.704939
-176,1.599187
-172,1.443686
-168,1.301723
-164,1.196578
-160,1.136093
-156,1.123219
-152,1.142095
-148,1.146499
-144,1.080605
-140,0.926994
-136,0.7403376
-132,0.6270937
-128,0.675053
-124,0.8835889
-120,1.151911
-116,1.339915
-112,1.359519
-108,1.23114
-104,1.067928
-100,1.003881
-96,1.117031
-92,1.392178
-88,1.733451
-84,2.008081
-80,2.098181
-76,1.947578
-72,1.594943
-68,1.176597
-64,0.8801446
-60,0.852476
-56,1.105886
-52,1.488779
-48,1.759825
-44,1.7336
-40,1.403238
-36,0.9483261
-32,0.6137546
-28,0.5431237
-24,0.6893908
-20,0.8686039
-16,0.9109952
-12,0.7871919
-8,0.6102343
-4,0.5190358
0,0.5485507
4,0.6016595
8,0.5484609
12,0.3658631
16,0.1910542
20,0.2320215
24,0.5995558
28,1.196001
32,1.755872
36,2.014438
40,1.879816
44,1.482952
48,1.076096
52,0.86383
56,0.8916881
60,1.060061
64,1.229807
68,1.324543
72,1.355713
76,1.371222
80,1.38863
84,1.373015
88,1.269277
92,1.050148
96,0.735915
100,0.3763468
104,0.020863
108,-0.2938121
112,-0.5358837
116,-0.6724354
120,-0.682887
124,-0.5829024
128,-0.4307156
132,-0.2997093
136,-0.2341773
140,-0.2260528
144,-0.2352004
148,-0.2361264
152,-0.2472575
156,-0.3130477
160,-0.4535364
164,-0.629441
168,-0.759961
172,-0.7826437
176,-0.70349
180,-0.5908419
184,-0.2177506
188,-0.1451284
192,-0.09593595
196,-0.023282
200,0.0867831
204,0.1916627
208,0.2319198
212,0.1979315
216,0.1565337
220,0.2046897
224,0.3866378
228,0.6504852
232,0.8890621
236,1.032629
240,1.108376
244,1.206186
248,1.375106
252,1.545127
256,1.556542
260,1.287968
264,0.7809241
268,0.2486056
272,-0.05445538
276,-0.008186467
280,0.2898793
284,0.6018255
288,0.7252183
292,0.6260174
296,0.425362
300,0.2619879
304,0.1569064
308,0.001626239
312,-0.3198991
316,-0.7862031
320,-1.205511
324,-1.337322
328,-1.07668
332,-0.551774
336,-0.05199277
340,0.1592675
344,0.002572319
348,-0.4041646
352,-0.870329
356,-1.280115
360,-1.641651
364,-2.013457
368,-2.393997
372,-2.686818
376,-2.776779
380,-2.644256
384,-2.40444
388,-2.224155
392,-2.182405
396,-2.198384
400,-2.098859
404,-1.774768
408,-1.293675
412,-0.8636218
416,-0.6683699
420,-0.7078856
424,-0.7841606
428,-0.6574542
432,-0.2561761
436,0.2304032
440,0.4623259
444,0.1903831
448,-0.5500412
452,-1.440641
456,-2.080703
460,-2.179806
464,-2.026748
468,-1.711339
472,-1.499789
476,-1.386189
480,-1.643233
484,-1.919286
488,-2.027276
492,-1.898866
496,-1.59623
500,-1.244725
504,-0.9523256
508,-0.7700324
512,-0.6983004
516,-0.7095909
520,-0.7603156
524,-0.7953196
528,-0.7653264
532,-0.6635751
536,-0.5552512
540,-0.5614695
544,-0.7864158
548,-1.228307
552,-1.743035
556,-2.104173
560,-2.133808
564,-1.818996
568,-1.236314
572,-0.885708
576,-0.7086132
580,-0.9709114
584,-1.12385
588,-1.284013
592,-1.226621
596,-1.090589
600,-1.189836
604,-1.291614
608,-1.485701
612,-1.671891
616,-1.758208
620,-2.023804
624,-2.038101
628,-2.123374
632,-2.303629
636,-2.498548
640,-2.584746
644,-2.497476
648,-2.222872
652,-1.942352
656,-1.758093
660,-1.656237
664,-1.523043
668,-1.244002
672,-0.8067724
676,-0.3269519
680,0.0223808
684,0.122907
688,-0.01660271
692,-0.2741588
696,-0.4027938
700,-0.7022333
704,-0.8351955
708,-0.8201283
712,-0.7728928
716,-0.8493037
720,-1.161649
724,-1.70752
728,-2.312382
732,-2.758264
736,-2.967719
740,-2.87742
744,-2.573735
748,-2.249704
752,-2.085366
756,-2.128073
760,-2.258959
764,-2.276221
768,-2.040708
772,-1.580056
776,-1.074972
780,-0.7376934
784,-0.8270835
788,-0.9864308
792,-1.089251
796,-1.066502
800,-0.9416869
804,-0.77623
808,-0.633528
812,-0.5117247
816,-0.3522936
820,-0.1122469
824,0.1725351
828,0.3990839
832,0.4815404
836,0.4366475
840,0.3910225
844,0.4936529
848,0.7971826
852,1.202646
856,1.515785
860,1.577661
864,1.375201
868,1.053034
872,0.8205561
876,0.821136
880,1.049576
884,1.36385
888,1.573253
892,1.544475
896,1.268551
900,0.8618959
904,0.5083179
908,0.3696925
912,0.503252
916,0.8243836
920,1.141381
924,1.255808
928,1.079462
932,0.6945408
936,0.3071609
940,0.1128144
944,0.161422
948,0.4278073
952,0.3775843
956,0.1307434
960,-0.2242644
964,-0.4985734
968,-0.5386285
972,-0.3368839
976,-0.03126746
980,0.2044581
984,-0.2023882
988,-0.282207
992,-0.362423
996,-0.3546758
1000,-0.2937457
1004,-0.3009033
1008,-0.4589144
1012,-0.7101865
1016,-0.8745853
1020,-0.7821651
1024,-0.4141963
1028,0.06851847
1032,0.4406769
1036,0.5818799
1040,0.5622543
1044,0.573055
1048,0.7585343
1052,1.088693
1056,1.379231
1060,1.443684
1064,1.252219
1068,0.9653763
1072,0.8132928
1076,0.9178074
1080,1.200797
1084,1.450617
1088,1.490088
1092,1.310088
1096,1.065442
1100,0.9436614
1104,1.017371
1108,1.197437
1112,1.316271
1116,1.264966
1120,1.070926
1124,0.8593432
1128,0.7405785
1132,0.7224044
1136,0.7177718
1140,0.6341338
1144,0.4632135
1148,0.3817872
1152,0.3046876
1156,0.3756698
1160,0.5185962
1164,0.5890574
1168,0.4740178
1172,0.1752241
1176,-0.1794282
1180,-0.4027357
1184,-0.3500786
1188,0.003476409
1192,0.550825
1196,1.105868
1200,1.489094
1204,1.601625
1208,1.455809
1212,1.155254
1216,0.8411477
1220,0.6338649
1224,0.5950143
1228,0.7201945
1232,0.9551204
1236,1.259186
1240,1.446742
1244,1.48258
1248,1.326869
1252,1.205195
1256,0.8422157
1260,0.4905908
1264,0.2874393
1268,0.3023003
1272,0.4849192
1276,0.6850533
1280,0.7413263
1284,0.5859504
1288,0.2948663
1292,0.04440592
1296,-0.002869284
1300,0.1894362
1304,0.496592
1308,0.7020252
1312,0.6296289
1316,0.2559441
1320,-0.2686485
1324,-1.109279
1328,-1.35015
1332,-1.249875
1336,-0.9057306
1340,-0.5041038
1344,-0.2058937
1348,-0.06457918
1352,-0.02483076
1356,0.007471968
1360,0.08174121
1364,0.1678597
1368,0.1921853
1372,0.1106895
1376,-0.04206642
1380,-0.1691097
1384,-0.1796558
1388,-0.05504903
1392,0.1405557
1396,0.3115368
1400,0.3786558
1404,0.4422535
1408,0.4459085
1412,0.4373865
1416,0.4459385
1420,0.4783446
1424,0.5458154
1428,0.6814305
1432,0.9138612
1436,1.210361
1440,1.446215
1444,1.452776
1448,1.133186
1452,0.5647078
1456,-0.006847718
1460,-0.3044804
1464,-0.2072593
1468,0.150653
1472,0.4563898
1476,0.4293026
1480,0.01664871
1484,-0.5069937
1488,-0.9592691
1492,-1.063632
1496,-0.9008322
1500,-0.7349616
1504,-0.7945365
1508,-1.098514
1512,-1.464574
1516,-1.682857
1520,-1.700905
1524,-1.661591
1528,-1.764659
1532,-2.075483
1536,-2.449714
1540,-2.643301
1544,-2.516697
1548,-2.16012
1552,-1.830929
1556,-1.752634
1560,-1.940851
1564,-2.198666
1568,-2.282083
1572,-2.09715
1576,-1.768863
1580,-1.532714
1584,-1.545502
1588,-1.771875
1592,-2.030859
1596,-2.150743
1600,-2.097623
1604,-1.97762
1608,-1.927021
1612,-1.994878
1616,-2.126454
1620,-2.218013
1624,-2.189947
1628,-2.074066
1632,-1.947696
1636,-1.854328
1640,-1.779139
1644,-1.69767
1648,-1.637702
1652,-1.679013
1656,-1.87958
1660,-2.196636
1664,-2.643042
1668,-2.861423
1672,-2.781576
1676,-2.541779
1680,-2.386995
1684,-2.480238
1688,-2.78038
1692,-3.081995
1696,-3.177521
1700,-3.004931
1704,-2.666906
1708,-2.324667
1712,-2.073222
1716,-1.90515
1720,-1.774173
1724,-1.602452
1728,-1.468315
1732,-1.442534
1736,-1.446505
1740,-1.330947
1744,-1.005294
1748,-0.5460976
1752,-0.1689109
1756,-0.06402799
1760,-0.22748
1764,-0.4415079
1768,-0.4404252
1772,-0.1339837
1776,0.3024482
1780,0.5592167
1784,0.447048
1788,0.06487504
1792,-0.2644766
1796,-0.2449287
1800,0.1583819
1804,0.6915876
1808,1.010224
1812,0.9371153
1816,0.572885
1820,0.184054
1824,-0.01957168
1828,-0.02557658
1832,0.02619116
1836,0.008249591
1840,-0.07467753
1844,-0.1171417
1848,-0.05087701
1852,0.05736512
1856,0.05209692
1860,-0.15937
1864,-0.4958986
1868,-0.7459705
1872,-0.7366643
1876,-0.4784493
1880,-0.1523233
1884,0.05245976
1888,0.1041453
1892,0.1458055
1896,0.3478231
1900,0.7325529
1904,1.488626
1908,1.707095
1912,1.624522
1916,1.408377
1920,1.133418
1924,1.270967
1928,1.53039
1932,1.668638
1936,1.539526
1940,1.245742
1944,1.07081
1948,1.239812
1952,1.714247
1956,2.204981
1960,2.402591
1964,2.233987
1968,1.898258
1972,1.819151
1976,2.097742
1980,2.596651
1984,2.987366
1988,3.011137
1992,2.673091
1996,2.214354
2000,1.900156
2004,1.813313
2008,1.824879
2012,1.748861
2016,1.528118
2020,1.282082
2024,1.182789
2028,1.284051
