Time,ERP
-1000,-1.032691
-996,-1.193167
-992,-1.297238
-988,-1.332072
-984,-1.293551
-980,-0.850854
-976,-0.5911922
-972,-0.3249185
-968,-0.09410544
-964,0.05007224
-960,0.06071693
-956,-0.07777277
-952,-0.3270429
-948,-0.5974891
-944,-0.7832546
-940,-0.814429
-936,-0.6975504
-932,-0.5185797
-928,-0.401619
-924,-0.441956
-920,-0.6500413
-916,-0.9399931
-912,-1.17221
-908,-1.227859
-904,-1.073939
-900,-0.7825462
-896,-0.4943959
-892,-0.3480781
-888,-0.4155765
-884,-0.6778126
-880,-1.047071
-876,-1.414627
-872,-1.692798
-868,-1.833906
-864,-1.829683
-860,-1.704183
-856,-1.507941
-852,-1.308645
-848,-1.169514
-844,-1.117358
-840,-1.119798
-836,-1.095904
-832,-0.9651521
-828,-0.7072194
-824,-0.3886144
-820,-0.1301334
-816,-0.03196752
-812,-0.1083855
-808,-0.2809457
-804,-0.4374455
-800,-0.5124528
-796,-0.5266824
-792,-0.5536212
-788,-0.6413081
-784,-0.7557633
-780,-0.7968333
-776,-0.6776119
-772,-0.4043218
-768,-0.08940736
-764,0.1177256
-760,0.1319235
-756,-0.01274255
-752,-0.1971948
-748,-0.3136218
-744,-0.3469747
-740,-0.3780609
-736,-0.5081279
-732,-0.76739
-728,-1.080446
-724,-1.314132
-720,-1.368019
-716,-1.237858
-712,-1.008209
-708,-0.7882261
-704,-0.6457559
-700,-0.586782
-696,-0.5830531
-692,-0.6109581
-688,-0.6637359
-684,-0.7324249
-680,-0.7846825
-676,-0.7718429
-672,-0.6644838
-668,-0.484012
-664,-0.2961021
-660,-0.1633883
-656,-0.09395594
-652,-0.03038088
-648,0.1065953
-644,0.351909
-640,0.659624
-636,0.9255452
-632,1.051534
-628,1.003387
-624,0.8229563
-620,0.5943081
-616,0.3971488
-612,0.2823753
-608,0.2762915
-604,0.3919531
-600,0.6249507
-596,0.9356216
-592,1.24353
-588,1.455142
-584,1.514878
-580,1.441085
-576,1.313526
-572,1.216312
-568,1.180089
-564,1.170852
-560,1.134961
-556,1.059518
-552,0.9916206
-548,0.9941558
-544,1.074337
-540,1.150485
-536,1.095931
-532,0.833238
-528,0.4047947
-524,-0.04185869
-520,-0.3490095
-516,-0.4537736
-512,-0.422691
-508,-0.3911775
-504,0.05225058
-500,-0.1849194
-496,-0.446013
-492,-0.6205201
-488,-0.6777751
-484,-0.6732827
-480,-0.6832502
-476,-0.7337849
-472,-0.7897074
-468,-0.8065938
-464,-0.7891052
-460,-0.7925465
-456,-0.8615119
-452,-0.9644561
-448,-0.9958062
-444,-0.8593691
-440,-0.5688445
-436,-0.2727337
-432,-0.1658022
-428,-0.3446141
-424,-0.7204531
-420,-1.06661
-416,-1.173564
-412,-0.9972493
-408,-0.6862727
-404,-0.4662641
-400,-0.470717
-396,-0.6485238
-392,-0.815744
-388,-0.8050357
-384,-0.5918937
-380,-0.3020937
-376,-0.103506
-372,-0.0766112
-368,-0.1670354
-364,-0.2496386
-360,-0.2405046
-356,-0.1591743
-352,-0.09280019
-348,-0.1018753
-344,-0.1557027
-340,-0.1565256
-336,-0.03054123
-332,0.1954113
-328,0.4014834
-324,0.4640691
-320,0.3535253
-316,0.1580567
-312,0.01212818
-308,-0.01305946
-304,0.03220636
-300,0.01705507
-296,-0.1631117
-292,-0.4992538
-288,-0.86971
-284,-1.127085
-280,-1.201198
-276,-1.138348
-272,-1.050263
-268,-1.017619
-264,-1.025956
-260,-0.9823341
-256,-0.7956313
-252,-0.4550017
-248,-0.04610123
-244,0.3041922
-240,0.5092163
-236,0.5687034
-232,0.5498924
-228,0.525013
-224,0.5168049
-220,0.4921288
-216,0.4030092
-212,0.2383085
-208,0.04430507
-204,-0.1006842
-200,-0.1370608
-196,-0.06246179
-192,0.06800117
-188,0.17731
-184,0.2122152
-180,0.1704447
-176,0.09677068
-172,0.05580529
-168,0.1002596
-164,0.2503126
-160,0.4889645
-156,0.7695129
-152,1.029473
-148,1.207964
-144,1.265094
-140,1.199252
-136,1.054088
-132,0.9069413
-128,0.8379956
-124,0.8914703
-120,1.049048
-116,1.23352
-112,1.34586
-108,1.318674
-104,1.155816
-100,0.9322013
-96,0.7500042
-92,0.6754341
-88,0.6960914
-84,0.7294509
-80,0.6811159
-76,0.5164081
-72,0.2952623
-68,0.1411098
-64,0.1588525
-60,0.355716
-56,0.6225772
-52,0.7955635
-48,0.7617459
-44,0.5379742
-40,0.2656738
-36,0.120353
-32,0.1946299
-28,0.4342931
-24,0.6717432
-20,0.7339373
-16,0.5506737
-12,0.1906492
-8,-0.1947001
-4,-0.475001
0,-0.618209
4,-0.6918457
8,-0.7963052
12,-0.9845452
16,-1.22501
20,-1.426576
24,-1.498725
28,-1.401624
32,-1.158321
36,-0.8344269
40,-0.5100361
44,-0.2618866
48,-0.1537343
52,-0.2228795
56,-0.460964
60,-0.8050275
64,-1.158074
68,-1.438161
72,-1.626802
76,-1.778603
80,-1.978033
84,-2.270345
88,-2.618014
92,-2.918307
96,-3.071193
100,-3.046367
104,-2.897743
108,-2.71517
112,-2.553159
116,-2.394074
120,-2.17401
124,-1.848144
128,-1.441439
132,-1.044766
136,-0.7620949
140,-0.6519504
144,-0.7055378
148,-0.8690543
152,-1.081816
156,-1.296321
160,-1.472483
164,-1.567811
168,-1.54818
172,-1.417234
176,-1.234064
180,-1.089934
184,-1.049505
188,-1.099885
192,-1.154214
196,-1.116038
200,-0.9579507
204,-0.7498425
208,-0.6090298
212,-0.6090778
216,-0.721781
220,-0.8424649
224,-0.8797781
228,-0.8348248
232,-0.8004502
236,-0.8776264
240,-1.077776
244,-1.295761
248,-1.382089
252,-1.259813
256,-0.9912622
260,-0.7374814
264,-0.6395082
268,-0.7145488
272,-0.8488436
276,-0.8915908
280,-0.7742407
284,-0.5616189
288,-0.3984047
292,-0.3979985
296,-0.5626697
300,-0.7929495
304,-0.9699948
308,-1.039778
312,-1.034836
316,-1.027138
320,-1.06165
324,-1.128594
328,-1.191487
332,-1.236823
336,-1.294436
340,-1.408004
344,-1.582915
348,-1.760599
352,-1.845526
356,-1.766133
360,-1.522341
364,-1.184311
368,-0.8458053
372,-0.569649
376,-0.3638094
380,-0.1992255
384,-0.04755034
388,0.09326541
392,0.2022756
396,0.2586192
400,0.2633187
404,0.2447479
408,0.2482737
412,0.3194516
416,0.488809
420,0.7602698
424,1.103864
428,1.456538
432,1.73705
436,1.87506
440,1.842972
444,1.6724
448,1.44278
452,1.246986
456,1.152612
460,1.178815
464,1.296543
468,1.446798
472,1.56567
476,1.607478
480,1.561485
484,1.458358
488,1.36024
492,1.332042
496,1.402896
500,1.540097
504,1.657312
508,1.659344
512,1.498198
516,1.203237
520,0.8635118
524,0.5741804
528,0.3843905
532,0.2815285
536,0.2171892
540,0.1481415
544,0.05780976
548,-0.05355432
552,-0.1905062
556,-0.3669267
560,-0.5847967
564,-0.8093283
568,-0.9716703
572,-1.008473
576,-0.9116309
580,-0.7461588
584,-0.6149978
588,-0.5931304
592,-0.6811659
596,-0.8149326
600,-0.9209761
604,-0.9703023
608,-0.9863057
612,-1.00549
616,-1.031688
620,-1.029115
624,-0.9619221
628,-0.8422992
632,-0.7378585
636,-0.724279
640,-0.8214369
644,-0.9713922
648,-1.083019
652,-1.108417
656,-1.084457
660,-1.099306
664,-1.20892
668,-1.375327
672,-1.485066
676,-1.439586
680,-1.245701
684,-1.027454
688,-0.9417405
692,-1.058968
696,-1.302537
700,-1.497072
704,-1.491327
708,-1.264106
712,-0.9356982
716,-0.6797597
720,-0.6037561
724,-0.683548
728,-0.7918288
732,-0.7900544
736,-0.6143726
740,-0.3015725
744,0.04869428
748,0.3373457
752,0.5116935
756,0.5752553
760,0.5711148
764,0.5579187
768,0.589758
772,0.7010483
776,0.8966925
780,1.152063
784,1.426493
788,1.684413
792,1.722982
796,1.794579
800,1.865937
804,1.93444
808,1.9639
812,1.931609
816,1.871989
820,1.871781
824,2.011522
828,2.297578
832,2.643173
836,2.920576
840,3.047741
844,3.041664
848,2.995954
852,3.001778
856,3.077396
860,3.16204
