Time,ERP
-1000,0.7690414
-996,1.295205
-992,2.006944
-988,2.599218
-984,2.83563
-980,2.715503
-976,2.447004
-972,2.256231
-968,2.203589
-964,2.165048
-960,1.982455
-956,1.635791
-952,1.27732
-948,1.100596
-944,1.170159
-940,1.37044
-936,1.516589
-932,1.518202
-928,1.440233
-924,1.406443
-920,1.442538
-916,1.416607
-912,1.144752
-908,0.5730908
-904,-0.131963
-900,-0.6788792
-896,-0.8628902
-892,-0.7204605
-888,-0.4983768
-884,-0.4644047
-880,-0.7144422
-876,-1.123168
-872,-1.457285
-868,-1.540832
-864,-1.340326
-860,-0.9295673
-856,-0.4031729
-852,0.1665538
-848,0.7051499
-844,1.103627
-840,1.246549
-836,1.094798
-832,0.741689
-828,0.3684841
-824,0.1180854
-820,-0.005845401
-816,-0.1158112
-812,-0.3044085
-808,-0.5179029
-804,-0.5666609
-800,-0.2815378
-796,0.3133329
-792,0.9704933
-788,1.375111
-784,1.366558
-780,1.040447
-776,0.6440279
-772,0.3566722
-768,0.1483954
-764,-0.1596246
-760,-0.6888897
-756,-1.340068
-752,-1.825211
-748,-1.87675
-744,-1.457255
-740,-0.791402
-736,-0.195306
-732,0.1488239
-728,0.2845514
-724,0.3757512
-720,0.5144584
-716,0.6212228
-712,0.523306
-708,0.1302196
-704,-0.4603895
-700,-1.02517
-696,-1.388824
-692,-1.552525
-688,-1.665873
-684,-1.875294
-680,-2.191072
-676,-2.490293
-672,-2.642623
-668,-2.633616
-664,-2.568517
-660,-2.557208
-656,-2.438792
-652,-2.403464
-648,-2.179459
-644,-1.756394
-640,-1.276299
-636,-0.9207874
-632,-0.7591817
-628,-0.6940995
-624,-0.5524371
-620,-0.2402917
-616,0.172113
-612,0.5015168
-608,0.585047
-604,0.3803173
-600,-0.0376144
-596,-0.551896
-592,-1.066815
-588,-1.51025
-584,-1.808265
-580,-1.898422
-576,-1.795797
-572,-1.642827
-568,-1.657202
-564,-1.975883
-560,-2.508107
-556,-2.940489
-552,-2.932041
-548,-2.74924
-544,-1.866942
-540,-1.147367
-536,-0.9544266
-532,-1.311477
-528,-1.911906
-524,-2.369621
-520,-2.507751
-516,-2.460618
-512,-2.523292
-508,-2.887898
-504,-3.485394
-500,-4.047378
-496,-4.314284
-492,-4.207459
-488,-3.837543
-484,-3.376028
-480,-2.926574
-476,-2.505749
-472,-2.119347
-468,-1.82611
-464,-1.704942
-460,-1.753828
-456,-1.833261
-452,-1.736172
-448,-1.345785
-444,-0.7479324
-440,-0.190406
-436,0.08915271
-432,0.02897104
-428,0.02636825
-424,-0.08428164
-420,0.03381443
-416,0.2415349
-412,0.3223006
-408,0.1978202
-404,0.003826636
-400,-0.04145979
-396,0.149652
-392,0.4397472
-388,0.5784248
-384,0.4172778
-380,0.02992757
-376,-0.3700434
-372,-0.6305107
-368,-0.7867856
-364,-0.9892722
-360,-1.299659
-356,-1.554663
-352,-1.445441
-348,-0.7677661
-344,0.3644549
-340,1.533439
-336,2.266847
-332,2.335463
-328,1.875335
-324,1.257288
-320,0.8255871
-316,0.7110683
-312,0.8336567
-308,1.040333
-304,1.231406
-300,1.379069
-296,1.468986
-292,1.466364
-288,1.328724
-284,1.201668
-280,1.19474
-276,1.416891
-272,1.79827
-268,2.079953
-264,1.980866
-260,1.431239
-256,0.6764936
-252,0.1393981
-248,0.1237468
-244,0.5841584
-240,1.146252
-236,1.366174
-232,1.030476
-228,0.273698
-224,-0.5532088
-220,-1.133111
-216,-1.348741
-212,-1.263686
-208,-0.9885097
-204,-0.5849637
-200,-0.09048084
-196,0.3970132
-192,0.7024739
-188,0.6804818
-184,0.3592741
-180,-0.02884589
-176,-0.1952745
-172,-0.01922644
-168,0.3443449
-164,0.5851466
-160,0.5055034
-156,0.2168768
-152,0.08997189
-148,0.4810424
-144,1.443716
-140,2.653081
-136,3.601889
-132,3.917742
-128,3.567597
-124,2.820274
-120,2.029921
-116,1.421734
-112,1.021929
-108,0.7341027
-104,0.456228
-100,0.1398141
-96,-0.2183689
-92,-0.594057
-88,-0.9233188
-84,-1.090676
-80,-0.9773722
-76,-0.5725188
-72,-0.05878694
-68,0.236978
-64,0.04283767
-60,-0.636687
-56,-1.460142
-52,-1.932571
-48,-1.724927
-44,-0.8993229
-40,0.1309391
-36,0.8761108
-32,1.069572
-28,0.7747262
-24,0.2498616
-20,-0.2817106
-16,-0.7523714
-12,-1.182464
-8,-1.52996
-4,-1.637199
0,-1.350862
4,-0.7097493
8,-0.008676176
12,0.3571693
16,0.1658986
20,-0.4603334
24,-1.136591
28,-1.490794
32,-1.413753
36,-1.088322
40,-0.7923213
44,-0.6579078
48,-0.5930377
52,-0.4143224
56,-0.0498587
60,0.3827982
64,0.6911374
68,0.7964205
72,0.8076506
76,0.9019221
80,1.120652
84,1.281153
88,1.106428
92,0.4763193
96,-0.4189297
100,-1.170946
104,-1.432881
108,-1.165264
112,-0.6514067
116,-0.2766525
120,-0.2570029
124,-0.5307528
128,-0.8747306
132,-1.115029
136,-1.239597
140,-1.332891
144,-1.427339
148,-1.438052
152,-1.252906
156,-0.8847706
160,-0.5187218
164,-0.3806724
168,-0.5309606
172,-0.7780729
176,-0.8172662
180,-0.4971274
184,0.01521984
188,0.3333242
192,0.1574726
196,-0.4583696
200,-1.11183
204,-1.347759
208,-1.019961
212,-0.4292634
216,-0.1191507
220,-0.4805138
224,-1.46682
228,-2.631329
232,-3.446461
236,-3.656806
240,-3.411478
244,-3.107388
248,-3.091589
252,-3.449216
256,-4.003312
260,-4.478928
264,-4.682922
268,-4.584595
272,-4.290462
276,-3.979239
280,-3.84791
284,-4.060341
288,-4.669306
292,-5.531053
296,-6.292959
300,-6.524863
304,-5.962546
308,-4.714704
312,-3.26556
316,-2.227434
320,-1.980454
324,-2.439234
328,-3.114205
332,-3.432685
336,-3.102352
340,-2.274719
344,-1.413125
348,-0.9743561
352,-1.125506
356,-1.669252
360,-2.194641
364,-2.329762
368,-1.936887
372,-1.159666
376,-0.3313951
380,0.1863089
384,0.1606308
388,-0.4131913
392,-1.304858
396,-2.148155
400,-2.618857
404,-2.610452
408,-2.300902
412,-2.048796
416,-2.163342
420,-2.179113
424,-3.136544
428,-3.730445
432,-3.609117
436,-2.823666
440,-1.761808
444,-0.871579
448,-0.3966888
452,-0.308411
456,-0.4407145
460,-0.6731367
464,-0.9948372
468,-1.418653
472,-1.864204
476,-2.152721
480,-2.136932
484,-1.842759
488,-1.471785
492,-1.236223
496,-1.163101
500,-1.053079
504,-0.6566373
508,0.0660407
512,0.8295167
516,1.179177
520,0.8220983
524,-0.1227989
528,-1.164289
532,-1.754476
536,-1.649524
540,-1.049564
544,-0.4268006
548,-0.1890164
552,-0.4345806
556,-0.9579991
560,-1.455291
564,-1.736841
568,-1.789132
572,-1.686005
576,-1.479729
580,-1.189409
584,-0.8767644
588,-0.6929271
592,-0.8032256
596,-1.230811
600,-1.769913
604,-2.088557
608,-1.977769
612,-1.551628
616,-1.208221
620,-1.342781
624,-2.018214
628,-2.859972
632,-3.284549
636,-2.910841
640,-1.850346
644,-0.6547508
648,0.04443345
652,-0.05913514
656,-0.7839345
660,-1.634143
664,-2.153757
668,-2.193805
672,-1.924714
676,-1.636207
680,-1.513513
684,-1.555494
688,-1.653916
692,-1.721252
696,-1.743659
700,-1.734294
704,-1.665082
708,-1.466154
712,-1.10126
716,-0.6398962
720,-0.2411136
724,-0.04496446
728,-0.05810204
732,-0.1341416
736,-0.0735684
740,0.2304971
744,0.7099612
748,1.159126
752,1.356541
756,1.183401
760,0.6717895
764,-0.02238785
768,-0.684101
772,-1.108619
776,-1.167691
780,-0.867467
784,-0.3685614
788,0.07284544
792,0.2447607
796,0.1264694
800,-0.07169578
804,-0.03920427
808,0.3989256
812,1.11286
816,1.716595
820,1.830321
824,1.374339
828,0.6625025
832,0.2009431
836,0.3266297
840,0.9572143
844,1.852751
848,2.130601
852,1.803921
856,1.138365
860,0.5877293
