Time,ERP
-1000,0.3948133
-996,0.003024308
-992,0.03707459
-988,0.5522259
-984,1.365953
-980,1.894317
-976,2.254811
-972,2.181463
-968,1.744685
-964,1.223532
-960,0.9224811
-956,0.9822555
-952,1.317396
-948,1.712278
-944,1.988104
-940,2.111526
-936,2.175297
-932,2.288197
-928,2.474771
-924,2.662219
-920,2.749785
-916,2.690739
-912,2.518455
-908,2.095278
-904,1.969023
-900,1.912671
-896,1.877432
-892,1.839634
-888,1.825176
-884,1.87599
-880,1.992457
-876,2.107024
-872,2.115602
-868,1.941611
-864,0.8466818
-860,0.8374094
-856,0.6888095
-852,0.3772495
-848,-0.01128765
-844,-0.3108623
-840,0.1714726
-836,0.2196844
-832,0.5079411
-828,0.8978463
-824,1.221594
-820,1.380473
-816,1.387696
-812,1.331893
-808,1.296358
-804,1.298782
-800,1.294701
-796,1.234329
-792,1.11936
-788,1.009755
-784,0.9748852
-780,1.03319
-776,1.13526
-772,1.20852
-768,1.225944
-764,1.236401
-760,1.321998
-756,1.510558
-752,1.715806
-748,1.594347
-744,0.9010612
-740,0.08664198
-736,-0.6585847
-732,-1.165113
-728,-1.370717
-724,-1.354611
-720,-1.291953
-716,-1.34986
-712,-1.586277
-708,-1.915478
-704,-2.163779
-700,-2.181083
-696,-1.936892
-692,-1.540785
-688,-1.178423
-684,-1.010296
-680,-1.100213
-676,-1.411932
-672,-1.858614
-668,-2.354702
-664,-2.829367
-660,-3.205492
-656,-3.386159
-652,-3.287696
-648,-2.911476
-644,-0.7080118
-640,-0.6902701
-636,-0.9416131
-632,-1.456245
-628,-2.089168
-624,-2.605566
-620,-2.802057
-616,-2.633871
-612,-2.25912
-608,-1.954244
-604,-1.94249
-600,-2.247282
-596,-2.675395
-592,-2.94809
-588,-2.890956
-584,-2.547659
-580,-2.136515
-576,-1.88521
-572,-1.868546
-568,-1.96937
-564,-1.985653
-560,-1.795363
-556,-1.449835
-552,-1.128093
-548,-0.9949734
-544,-1.078433
-540,-1.258687
-536,-1.368009
-532,-1.313219
-528,-1.123048
-524,-0.8924876
-520,-0.6841002
-516,-0.4769841
-512,0.2228361
-508,0.5026402
-504,0.760683
-500,0.9323406
-496,0.996642
-492,1.011467
-488,1.078829
-484,1.262868
-480,1.531378
-476,1.777875
-472,1.913998
-468,1.955104
-464,2.018035
-460,2.217984
-456,2.541051
-452,2.803503
-448,2.752751
-444,2.253117
-440,1.420695
-436,0.5926664
-432,0.1323186
-428,0.1967448
-424,0.6326635
-420,1.080655
-416,1.218071
-412,0.9680592
-408,0.5259296
-404,0.189184
-400,0.1226038
-396,0.2354394
-392,0.2589505
-388,-0.04082201
-384,-0.6806933
-380,-1.694642
-376,-2.415024
-372,-2.756369
-368,-2.744723
-364,-2.584733
-360,-2.472587
-356,-2.443129
-352,-2.372773
-348,-2.126731
-344,-1.720438
-340,-1.355751
-336,-1.297767
-332,-1.687922
-328,-2.438962
-324,-3.289214
-320,-3.968102
-316,-4.344463
-312,-4.455133
-308,-4.414904
-304,-4.299294
-300,-4.098326
-296,-3.764754
-292,-3.296243
-288,-2.76844
-284,-2.289024
-280,-1.917868
-276,-1.627058
-272,-1.334848
-268,-0.979691
-264,-0.5673686
-260,-0.1536546
-256,0.2138737
-252,0.5362235
-248,0.8490891
-244,1.173666
-240,1.48554
-236,1.735354
-232,1.900944
-228,2.015618
-224,2.137189
-220,2.280665
-216,2.378948
-212,2.31816
-208,2.267298
-204,1.86104
-200,1.445739
-196,1.172857
-192,1.093918
-188,1.128633
-184,1.131928
-180,1.005731
-176,0.7659438
-172,0.514129
-168,0.3436062
-164,0.262301
-160,0.1961316
-156,0.1666657
-152,-0.1113743
-148,-0.4335878
-144,-0.6576979
-140,-0.7341252
-136,-0.7450041
-132,-0.8293169
-128,-1.05456
-124,-1.338622
-120,-1.485432
-116,-1.309763
-112,-0.7612249
-108,0.03735219
-104,0.8564162
-100,1.479064
-96,1.795377
-92,1.823816
-88,1.665962
-84,1.437583
-80,1.218832
-76,1.040918
-72,0.9006568
-68,0.7836624
-64,0.6804564
-60,0.5886061
-56,0.5026259
-52,0.4013705
-48,0.2478036
-44,0.01171958
-40,-0.2914336
-36,-0.5737417
-32,-1.192813
-28,-0.826145
-24,-0.05798119
-20,0.8358279
-16,1.814152
-12,1.820731
-8,1.455719
-4,1.104058
0,1.299459
4,0.8785812
8,0.9835544
12,1.360994
16,1.662587
20,1.708925
24,1.595836
28,1.576869
32,1.829468
36,2.293991
40,2.705437
44,2.78068
48,2.40815
52,1.700033
56,-1.486423
60,-1.939928
64,-2.282869
68,-2.568602
72,-2.789478
76,-2.842926
80,-2.610642
84,-2.078089
88,-1.383905
92,-0.750655
96,-0.3513871
100,-0.2189633
104,-0.2637297
108,-0.3704946
112,-0.4834456
116,-0.6098222
120,-0.7545702
124,-0.8619478
128,-0.8289405
132,-0.5829567
136,-0.1519454
140,0.3410739
144,0.7591541
148,1.039795
152,1.216387
156,1.360634
160,1.50563
164,1.624177
168,1.681073
172,1.704122
176,1.796705
180,2.067739
184,2.535168
188,3.091795
192,3.573185
196,3.877421
200,4.036227
204,4.174622
208,4.392202
212,4.669518
216,4.883547
220,4.921065
224,4.789966
228,4.626153
232,4.582916
236,4.694765
240,4.835969
244,4.816974
248,4.54314
252,4.101974
256,3.700149
260,3.496588
264,3.467482
268,3.416167
272,3.12252
276,2.511469
280,1.705018
284,0.9197246
288,0.2995469
292,-0.1754605
296,-0.6326428
300,-1.158848
304,-1.695649
308,-2.073312
312,-2.156533
316,-1.974131
320,-1.71324
324,-1.572217
328,-1.58999
332,-1.598157
336,-1.347868
340,-0.720239
344,0.1456344
348,0.916331
352,1.282362
356,1.172762
360,0.8065042
364,0.5418073
368,0.6329297
372,1.068441
376,1.599342
380,1.924474
384,1.892178
388,1.578493
392,1.203678
396,0.9670531
400,0.9277814
404,1.007917
408,1.092927
412,1.135578
416,1.180261
420,1.298865
424,1.502945
428,1.711801
432,1.805403
436,1.718393
440,2.437627
444,2.445972
448,2.419554
452,2.380723
456,2.284961
460,2.055669
464,1.668388
468,1.213504
472,0.8733915
476,0.8131029
480,1.056974
484,1.446836
488,1.726952
492,1.708049
496,1.397502
500,0.9981354
504,0.7691129
508,0.8444492
512,1.140716
516,1.423663
520,1.486796
524,1.30924
528,1.072597
532,1.020933
536,1.267415
540,1.694956
544,2.031094
548,2.047935
552,1.74214
556,1.361143
560,1.25202
564,1.637148
568,2.471577
572,3.475237
576,4.307529
580,4.75694
584,4.820587
588,4.639749
592,4.36302
596,4.049592
600,3.677042
604,3.226658
608,2.759311
612,2.410637
616,2.307044
620,4.159982
624,4.09402
628,4.076304
632,4.030728
636,3.89143
640,3.627568
644,3.250375
648,2.804085
652,2.348722
656,1.941853
660,2.388784
664,2.001852
668,1.649287
672,1.395617
676,1.262177
680,1.212972
684,1.175081
688,1.07889
692,0.8929382
696,0.6348621
700,0.3561763
704,0.113205
708,-0.05910166
712,-0.158162
716,-0.2063013
720,-0.2296438
724,-0.2337166
728,-0.1885185
732,-0.0342348
736,0.2889221
740,0.7962434
744,1.4217
748,2.053312
752,2.286156
756,2.210591
760,1.797193
764,1.100292
768,0.24896
772,-0.5909883
776,-1.275455
780,-1.73553
784,-1.996924
788,-2.152846
792,-2.306464
796,-2.518832
800,-2.792467
804,-3.628108
808,-4.241498
812,-4.59459
816,-4.699796
820,-4.666399
824,-4.601286
828,-4.538978
832,-4.545048
836,-4.347376
840,-4.211562
844,-4.188294
848,-4.304448
852,-4.533821
856,-4.803586
860,-4.541359
864,-4.873796
868,-5.391181
872,-5.727695
876,-5.953483
880,-6.135165
884,-6.306686
888,-6.447567
892,-6.504006
896,-6.429986
900,-6.219518
904,-5.916826
908,-5.608651
912,-5.405592
916,-5.411988
920,-5.683851
924,-6.189394
928,-6.802326
932,-7.350983
936,-7.709315
940,-7.874025
944,-7.965118
948,-8.133165
952,-8.30367
956,-8.496472
960,-8.542795
964,-8.238838
968,-7.53183
972,-6.696567
976,-6.540719
980,-6.335634
984,-5.938237
988,-5.605584
992,-5.087929
996,-4.365392
1000,-3.492731
1004,-2.570465
1008,-1.693892
1012,-0.9180084
1016,-0.2610143
1020,0.2655177
1024,0.636341
1028,0.8304028
1032,0.8780631
1036,0.8937005
1040,0.193971
1044,1.314595
1048,2.565237
1052,3.598265
1056,4.144186
1060,4.114104
1064,3.616274
1068,2.894325
1072,2.223913
1076,1.81004
1080,1.719829
1084,1.873247
1088,2.097815
1092,2.226978
1096,2.19311
1100,2.057849
1104,1.955115
1108,1.981991
1112,2.116718
1116,2.229596
1120,2.183988
1124,1.950953
1128,1.643519
1132,1.436255
1136,1.42938
1140,1.567643
1144,1.684997
1148,1.643956
1152,1.56489
1156,1.407291
1160,1.329306
1164,1.480104
1168,1.836551
1172,2.223195
1176,2.440871
1180,2.397681
1184,2.147559
1188,1.827097
1192,1.561782
1196,1.249574
1200,0.8252014
1204,0.772767
1208,1.126234
1212,1.745781
1216,2.35889
1220,2.695081
1224,2.642628
1228,2.319532
1232,1.997081
1236,1.918998
1240,2.141611
1244,2.510315
1248,2.785845
1252,2.819431
1256,2.642446
1260,2.411709
1264,2.271846
1268,2.258898
1272,2.321954
1276,2.426578
1280,2.627427
1284,3.027611
1288,3.652681
1292,4.357494
1296,4.869133
1300,4.954824
1304,4.58862
1308,3.977927
1312,3.313505
1316,2.809768
1320,0.2556362
1324,-0.4046763
1328,-0.4215786
1332,-0.5970337
1336,-0.7930505
1340,-0.8255678
1344,-0.6429794
1348,-0.3819023
1352,-0.2576544
1356,-0.3901319
1360,-0.7155805
1364,-1.052938
1368,-1.256465
1372,-1.316192
1376,-1.323734
1380,-1.347546
1384,-1.344316
1388,-1.196666
1392,-0.845627
1396,-0.3906609
1400,-0.05025694
1404,0.001536618
1408,-0.2100837
1412,-0.45252
1416,-0.4459449
1420,-0.07165901
1424,0.5374673
1428,1.099285
1432,1.397834
1436,1.442603
1440,1.449096
1444,1.662442
1448,2.167359
1452,2.830168
1456,3.406216
1460,3.716559
1464,3.754698
1468,3.653844
1472,3.560822
1476,2.884429
1480,2.667235
1484,2.478637
1488,2.32357
1492,2.2334
