Time,ERP
-1000,3.73058
-996,3.382056
-992,3.179806
-988,3.349545
-984,3.858505
-980,4.473188
-976,4.960906
-972,5.264054
-968,5.507236
-964,5.842006
-960,6.270099
-956,6.602509
-952,6.596354
-948,6.161174
-944,5.465397
-940,4.851105
-936,4.616532
-932,4.828448
-928,5.300982
-924,5.748144
-920,5.988805
-916,6.053285
-912,6.124882
-908,6.375903
-904,6.827746
-900,7.332743
-896,7.677638
-892,7.723304
-888,7.483151
-884,7.099566
-880,6.750716
-876,6.556137
-872,6.533437
-868,6.615188
-864,6.700315
-860,6.70631
-856,6.600246
-852,6.401608
-848,6.160307
-844,5.92086
-840,5.690903
-836,5.434503
-832,5.099174
-828,4.66254
-824,4.16578
-820,3.705446
-816,3.383265
-812,3.246381
-808,3.260111
-804,3.332129
-800,3.369241
-796,3.32548
-792,3.211593
-788,3.069738
-784,2.942121
-780,2.857647
-776,2.834885
-772,2.880606
-768,2.972174
-764,3.039276
-760,2.97627
-756,2.69694
-752,2.202883
-748,1.610709
-744,1.103262
-740,0.8274711
-736,0.8101635
-732,0.9575044
-728,1.141459
-724,1.306392
-720,1.510348
-716,1.867682
-712,2.441599
-708,3.177608
-704,3.934931
-700,4.589027
-696,5.116045
-692,5.58512
-688,6.06592
-684,6.535984
-680,6.876526
-676,6.968783
-672,6.810653
-668,6.546628
-664,6.370857
-660,6.372027
-656,6.44743
-652,6.368479
-648,5.961207
-644,5.267742
-640,4.559505
-636,4.180628
-632,4.327508
-628,4.920171
-624,5.653868
-620,6.189619
-616,6.348094
-612,6.179554
-608,5.88043
-604,5.634972
-600,5.498989
-596,5.393949
-592,5.191676
-588,4.813272
-584,4.275146
-580,3.668248
-576,3.10437
-572,2.671049
-568,2.411187
-564,2.317556
-560,2.331036
-556,2.348685
-552,2.256568
-548,1.985401
-544,1.557954
-540,1.08672
-536,0.7083732
-532,0.4904675
-528,0.3771099
-524,0.221541
-520,-0.1070869
-516,-0.614262
-512,-1.148736
-508,-1.478466
-504,-1.426636
-500,-0.9765487
-496,-0.2765438
-492,0.453074
-488,1.042726
-484,1.44303
-480,1.703923
-476,1.894086
-472,2.029727
-468,2.06485
-464,1.940683
-460,1.646631
-456,1.242227
-452,0.8273216
-448,0.4909142
-444,0.2816648
-440,0.2170353
-436,0.3097234
-432,0.5735437
-428,0.9928783
-424,1.481154
-420,1.875806
-416,1.99627
-412,1.741047
-408,1.15978
-404,0.4427351
-400,-0.1767525
-396,-0.5494178
-392,-0.6851414
-388,-0.7284107
-384,-0.8549258
-380,-1.162054
-376,-1.623757
-372,-2.129166
-368,-2.564789
-364,-2.87836
-360,-3.087831
-356,-3.246479
-352,-3.403079
-348,-3.586518
-344,-3.811708
-340,-4.083196
-336,-4.383267
-332,-4.65935
-328,-4.838218
-324,-4.873638
-320,-4.795983
-316,-4.715811
-312,-4.760909
-308,-4.981721
-304,-5.296628
-300,-5.528596
-296,-5.516908
-292,-5.224502
-288,-4.758704
-284,-4.288129
-280,-3.92147
-276,-3.645672
-272,-3.372016
-268,-3.047179
-264,-2.729098
-260,-2.554997
-256,-2.621346
-252,-2.87585
-248,-3.119792
-244,-3.132622
-240,-2.828854
-236,-2.325091
-232,-1.861486
-228,-1.634989
-224,-1.669945
-220,-1.820334
-216,-1.893664
-212,-1.794392
-208,-1.577502
-204,-1.381612
-200,-1.307454
-196,-1.343248
-192,-1.389706
-188,-1.351041
-184,-1.208728
-180,-1.019096
-176,-0.8467617
-172,-0.6991936
-168,-0.5201203
-164,-0.2434547
-160,0.1423838
-156,0.573854
-152,0.9478034
-148,1.179552
-144,1.239557
-140,1.152709
-136,0.9785253
-132,0.7975315
