Time,ERP
-1000,-0.2755862
-996,-0.3479556
-992,-0.2702376
-988,-0.04311175
-984,0.3077619
-980,0.711937
-976,1.056586
-972,1.238731
-968,1.242933
-964,1.177416
-960,1.217033
-956,1.476061
-952,1.903426
-948,2.292373
-944,2.413024
-940,2.177411
-936,1.711852
-932,1.277773
-928,1.096541
-924,1.208802
-920,1.46949
-916,1.671576
-912,1.69234
-908,1.550073
-904,1.343593
-900,1.145838
-896,0.9487313
-892,0.6962668
-888,0.3580771
-884,-0.03512163
-880,-0.4250638
-876,-0.7834735
-872,-1.121736
-868,-1.433814
-864,-1.634674
-860,-1.580143
-856,-1.18355
-852,-0.539819
-848,0.06899963
-844,0.3301559
-840,0.1208012
-836,-0.3839453
-832,-0.8243271
-828,-0.9267884
-824,-0.7262012
-820,-0.5523741
-816,-0.7724895
-812,-1.483975
-808,-2.405805
-804,-3.068114
-800,-3.161677
-796,-2.775378
-792,-2.331281
-788,-2.262917
-784,-2.685016
-780,-3.309493
-776,-3.667489
-772,-3.45811
-768,-2.753952
-764,-1.91809
-760,-1.319206
-756,-1.07873
-752,-1.037234
-748,-0.9372547
-744,-0.6514644
-740,-0.2682685
-736,0.01580143
-732,0.08424435
-728,0.001396275
-724,-0.05060778
-720,0.06919737
-716,0.3457042
-712,0.6219515
-708,0.7103098
-704,0.4965295
-700,-0.03700171
-696,-0.8522286
-692,-1.885579
-688,-3.020217
-684,-4.037191
-680,-4.631637
-676,-4.538526
-672,-3.706746
-668,-2.390235
-664,-1.061072
-660,-0.1762494
-656,0.05624394
-652,-0.2430561
-648,-0.7457653
-644,-1.141817
-640,-1.310072
-636,-1.330108
-632,-1.358642
-628,-1.488522
-624,-1.698546
-620,-1.910357
-616,-2.078448
-612,-2.224826
-608,-2.39325
-604,-2.57626
-600,-2.692556
-596,-2.6444
-592,-2.410704
-588,-2.094992
-584,-1.880524
-580,-1.917519
-576,-2.221707
-572,-2.656063
-568,-3.008976
-564,-3.11699
-560,-2.955225
-556,-2.644319
-552,-2.377058
-548,-2.31326
-544,-2.503269
-540,-2.877167
-536,-3.296392
-532,-3.631453
-528,-3.819665
-524,-3.874212
-520,-3.848131
-516,-3.785306
-512,-3.695627
-508,-3.56937
-504,-3.411351
-500,-3.256578
-496,-3.144491
-492,-3.068642
-488,-2.949422
-484,-2.667747
-480,-2.149744
-476,-1.442321
-472,-0.7139428
-468,-0.1646849
-464,0.09770824
-460,0.1252754
-456,0.08660903
-452,0.1441271
-448,0.346746
-444,0.6217695
-440,0.8675993
-436,1.064489
-432,1.303323
-428,1.701673
-424,2.274627
-420,2.874152
-416,3.261099
-412,3.266843
-408,2.923312
-404,2.457832
-400,2.150987
-396,2.16012
-392,2.43584
-388,2.785118
-384,3.024195
-380,3.102087
-376,3.108005
-372,3.17013
-368,3.334996
-364,3.522081
-360,3.58281
-356,3.411293
-352,3.021744
-348,2.539423
-344,2.118398
-340,1.847043
-336,1.704064
-332,1.588451
-328,1.399324
-324,1.113239
-320,0.8111845
-316,0.6366009
-312,0.7047338
-308,1.014522
-304,1.421412
-300,1.701661
-296,1.682482
-292,1.359434
-288,0.9160082
-284,0.6159145
-280,0.6286347
-276,0.9083359
-272,1.221298
-268,1.313688
-264,1.102043
-260,0.7412675
-256,0.5107397
-252,0.599449
-248,0.9560377
-244,1.325802
-240,1.451574
-236,1.281982
