Time,ERP
-1000,-0.09962621
-996,0.190925
-992,0.2944366
-988,0.305873
-984,0.4115093
-980,0.6986976
-976,1.047361
-972,1.207462
-968,1.006947
-964,0.5171404
-960,0.02907067
-956,-0.1531506
-952,0.05806381
-948,0.4660779
-944,0.7419988
-940,0.6773806
-936,0.3384182
-932,0.002974069
-928,-0.06274281
-924,0.1930584
-920,0.5828295
-916,0.8402967
-912,0.8286621
-908,0.6303133
-904,0.4600016
-900,0.4868079
-896,0.7142192
-892,1.003435
-888,1.200923
-884,1.252569
-880,1.216383
-876,1.183973
-872,1.196398
-868,1.228429
-864,1.239294
-860,1.224446
-856,1.210923
-852,1.205699
-848,1.161895
-844,1.01362
-840,0.757409
-836,0.4997644
-832,0.4068832
-828,0.5796354
-824,0.954661
-820,1.326931
-816,1.492723
-812,1.406779
-808,1.223118
-804,1.177592
-800,1.40007
-796,1.807277
-792,2.165791
-788,2.276796
-784,2.132698
-780,1.918389
-776,1.856672
-772,2.025369
-768,2.295214
-764,2.436886
-760,2.306171
-756,1.954109
-752,1.574487
-748,1.336537
-744,1.24465
-740,1.14146
-736,0.8509942
-732,0.3430035
-728,-0.2158414
-724,-0.5669984
-720,-0.5410349
-716,-0.1784654
-712,0.2960761
-708,0.6204535
-704,0.6536463
-700,0.4406747
-696,0.1570498
-692,-0.01063833
-688,0.037902
-684,0.29035
-680,0.655991
-676,1.017064
-672,1.265723
-668,1.32618
-664,1.176005
-660,0.8668512
-656,0.5230326
-652,0.2971312
-648,0.2922082
-644,0.4957318
-640,0.7758775
-636,0.9542283
-632,0.9136438
-628,0.6707268
-624,0.3632753
-620,0.1615237
-616,0.1638014
-612,0.3457517
-608,0.5910822
-604,0.7748
-600,0.8375665
-596,0.8044399
-592,0.7458056
-588,0.7182806
-584,0.7297249
-580,0.7477645
-576,0.7366193
-572,0.69046
-568,0.6405798
-564,0.6370362
-560,0.7221771
-556,0.9129324
-552,1.196054
-548,1.530457
-544,1.851696
-540,2.081616
-536,2.149849
-532,2.025921
-528,1.747065
-524,1.420128
-520,1.186015
-516,1.158115
-512,1.366797
-508,1.742498
-504,2.149157
-500,2.449369
-496,2.564435
-492,2.497337
-488,2.311624
-484,2.08478
-480,1.866795
-476,1.665186
-472,1.458089
-468,1.220931
-464,0.9496398
-460,0.6697942
-456,0.6980038
-452,0.5070587
-448,0.3968934
-444,0.4098226
-440,0.5234017
-436,0.6440758
-432,0.6572212
-428,0.5076361
-424,0.2528158
-420,0.04166479
-416,0.02163212
-412,0.2332743
-408,0.5680452
-404,0.8261138
-400,0.8411907
-396,0.5890955
-392,0.2049311
-388,-0.1036828
-384,-0.188326
-380,-0.04753102
-376,0.184788
-372,0.3360589
-368,0.3067774
-364,0.1241804
-360,-0.08931106
-356,-0.2009201
-352,-0.1442745
-348,0.05763831
-344,0.3254547
-340,0.5789132
-336,0.7754425
-332,0.9141759
-328,1.015045
-324,1.095734
-320,1.162405
-316,1.214636
-312,1.254301
-308,1.288764
-304,1.326015
-300,1.366453
-296,1.397842
-292,1.397972
-288,1.345251
-284,1.23288
-280,1.078063
-276,0.9172198
-272,0.7846337
-268,0.6844546
-264,0.5762421
-260,0.3913487
-256,0.07820398
-252,-0.3500116
-248,-0.8017267
-244,-1.146225
-240,-1.28762
-236,-1.225641
-232,-1.058487
-228,-0.9213049
-224,-0.9008206
-220,-0.9857039
-216,-1.086547
-212,-1.107229
-208,-1.011578
-204,-0.8359973
-200,-0.6445087
-196,-0.4696905
-192,-0.2921515
-188,-0.07522671
-184,0.1785771
-180,0.4038557
-176,0.5088558
-172,0.4472233
-168,0.2662955
-164,0.08814673
-160,0.03184282
-156,0.1325666
-152,0.3170776
-148,0.4526858
-144,0.4329038
-140,0.2393128
-136,-0.05837571
-132,-0.3549836
-128,-0.5724928
-124,-0.6923296
-120,-0.7468221
-116,-0.7881922
-112,-0.8600092
-108,-0.9825133
-104,-1.148499
-100,-1.324896
-96,-1.463049
-92,-1.522608
-88,-1.502021
-84,-1.453392
-80,-1.460466
-76,-1.583126
-72,-1.803297
-68,-2.01657
-64,-2.08656
-60,-1.931478
-56,-1.582618
-52,-1.169829
-48,-0.8415964
-44,-0.6767136
-40,-0.6507591
-36,-0.6775845
-32,-0.6880071
-28,-0.6816479
-24,-0.7137178
-20,-0.8338469
-16,-1.032411
-12,-1.240435
-8,-1.381913
-4,-1.433313
0,-1.440503
4,-1.4803
8,-1.599297
12,-1.778703
16,-1.949509
20,-2.040482
24,-2.018246
28,-1.891053
32,-1.681916
36,-1.401674
40,-1.048262
44,-0.6317466
48,-0.2003619
52,0.1587725
56,0.3501311
60,0.3135684
64,0.05483451
68,-0.3536777
72,-0.8006768
76,-1.178547
80,-1.424228
84,-1.544074
88,-1.61135
92,-1.730964
96,-1.979133
100,-2.34337
104,-2.697685
108,-2.836528
112,-2.559275
116,-1.764034
120,-0.4997404
124,1.051145
128,2.645319
132,4.062206
136,5.155543
140,5.85915
144,6.16448
148,6.097331
152,5.706874
156,5.060098
160,4.229863
164,3.27778
168,2.247472
172,1.180447
176,0.1451007
180,-0.7507043
184,-1.388567
188,-1.703668
192,-1.742912
196,-1.668642
200,-1.691005
204,-1.961612
208,-2.491582
212,-3.144265
216,-3.705774
220,-3.989339
224,-3.914508
228,-3.525632
232,-2.953989
236,-2.355251
240,-1.855174
244,-1.519753
248,-1.349626
252,-1.292434
256,-1.267541
260,-1.196615
264,-1.029156
268,-0.7511786
272,-0.3737838
276,0.08767417
280,0.6261407
284,1.237432
288,1.904166
292,2.586514
296,3.230085
300,3.783459
304,4.207925
308,4.471595
312,4.540638
316,4.389434
320,4.03475
324,3.568515
328,3.150224
332,2.942823
336,3.023489
340,3.332499
344,3.705645
348,3.974483
352,4.062707
356,4.006215
360,3.885703
364,3.734924
368,3.510262
372,3.153331
376,2.691351
380,2.275493
384,2.10232
388,2.265451
392,2.657813
396,3.018994
400,3.109237
404,2.881848
408,2.514285
412,2.263725
416,2.254997
420,2.371446
424,2.344152
428,1.977473
432,1.333999
436,0.7259345
440,0.5075353
444,0.8196121
448,1.477801
452,2.089702
456,2.314564
460,2.076959
464,1.587806
468,1.173911
472,1.053676
476,1.220132
480,1.495531
484,1.689672
488,1.729165
492,1.668042
496,1.594593
500,1.527363
504,1.388515
508,1.070139
512,0.5334295
516,-0.1394269
520,-0.7782012
524,-1.215339
528,-1.370688
532,-1.279162
536,-1.053448
540,-0.8138891
544,-0.6295014
548,-0.4989588
552,-0.3733088
556,-0.2008748
560,0.03346934
564,0.2963621
568,0.5267665
572,0.6752272
576,0.7350909
580,0.7437126
584,0.7534183
588,0.7954627
592,0.8658346
596,0.9431426
600,1.019696
604,1.113697
608,1.247235
612,1.409216
616,1.541289
620,1.568132
624,1.451969
628,1.223148
632,0.9540534
636,0.694908
640,0.4304855
644,0.1056619
648,-0.2937101
652,-0.6772732
656,-0.8758418
660,-0.7576007
664,-0.3503949
668,0.1377469
672,0.4372259
676,0.3980082
680,0.09396994
684,-0.2387186
688,-0.388093
692,-0.3312519
696,-0.2418994
700,-0.3304744
704,-0.6467913
708,-1.012295
712,-1.146421
716,-0.8913357
720,-0.3525599
724,0.1643701
728,0.3782472
732,0.2429083
736,-0.02139785
740,-0.1001213
744,0.1756621
748,0.7059028
752,1.202902
756,1.404778
760,1.254355
764,0.9169409
768,0.6434149
772,0.5978993
776,0.7773673
780,1.061117
784,1.324999
788,1.52195
792,1.679333
796,1.84025
800,2.011233
804,2.154202
808,2.211302
812,2.129709
816,1.872175
820,1.427923
824,0.8371565
828,0.2130269
832,-0.2776239
836,-0.4912284
840,-0.4035088
844,-0.1477444
848,0.05435545
852,0.03789477
856,-0.1868243
860,-0.4388433
864,-0.5000717
868,-0.2800083
872,0.1164059
876,0.4708884
880,0.6165815
884,0.5524906
888,0.4194918
892,0.3659501
896,0.4216078
900,0.4853178
904,0.4304492
908,0.2288389
912,-0.01841397
916,-0.1700531
920,-0.1735126
924,-0.1189246
928,-0.1696408
932,-0.4274514
936,-0.8446436
940,-1.253103
944,-1.48157
948,-1.464438
952,-1.262567
956,-0.9964964
960,-0.7609826
964,-0.5889554
968,-0.4739352
972,-0.404477
976,-0.3665741
980,-0.319656
984,-0.1927424
988,0.06871016
992,0.4332181
996,0.7612222
1000,0.8746563
1004,0.6830775
1008,0.2672524
1012,-0.159288
1016,-0.3944319
1020,-0.3875228
1024,-0.2604918
1028,-0.1898749
1032,-0.2483488
1036,-0.3419896
1040,-0.3005503
1044,-0.045139
1048,0.3141521
1052,0.5439582
1056,0.4712459
1060,0.1337856
1064,-0.2327368
1068,-0.3681774
1072,-0.1852363
1076,0.1681075
1080,0.4300299
1084,0.4292129
1088,0.2061516
1092,-0.04310052
1096,-0.1465821
1100,-0.1057576
1104,-0.08999516
1108,-0.2836899
1112,-0.7141581
1116,-1.20244
1120,-1.47719
1124,-1.363539
1128,-0.904829
1132,-0.3345667
1136,0.07052653
1140,0.1457024
1144,-0.09727515
1148,-0.5168002
1152,-0.9433546
1156,-1.262561
1160,-1.441917
1164,-1.512376
1168,-1.534462
1172,-1.56641
1176,-1.636191
1180,-1.720766
1184,-1.748307
1188,-1.637074
1192,-1.358161
1196,-0.9772372
1200,-0.6317209
1204,-0.4434391
1208,-0.4253773
1212,-0.4588689
1216,-0.3724347
1220,-0.07140316
1224,0.3800346
1228,0.7945313
1232,0.9943458
1236,0.9414481
1240,0.7617037
1244,0.6420792
1248,0.6804177
1252,0.8070327
1256,0.840048
1260,0.6304576
1264,0.1826624
1268,-0.3412253
1272,-0.7319513
1276,-0.8696535
1280,-0.7848584
1284,-0.6094233
1288,-0.4695143
1292,-0.4089778
1296,-0.3920015
1300,-0.3616267
1304,-0.2892644
1308,-0.1735565
1312,-0.004858104
1316,0.2512727
1320,0.6199552
1324,1.056909
1328,1.425939
1332,1.555979
1336,1.353033
1340,0.8857198
1344,0.3702829
1348,0.05090723
1352,0.05250825
1356,0.3081366
1360,0.6115153
1364,0.7566006
1368,0.6660088
1372,0.4239189
1376,0.2008581
1380,0.1323988
1384,0.2367227
1388,0.4186033
1392,0.5426034
1396,0.5181788
1400,0.3440892
1404,0.09669067
1408,-0.118084
1412,-0.2170702
1416,-0.1747879
1420,-0.03202821
1424,0.1226394
1428,0.1953844
1432,0.1399758
1436,-0.006042814
1440,-0.1310386
1444,-0.1120376
1448,0.1013334
1452,0.4393044
1456,0.7434842
1460,0.866065
1464,0.7708715
1468,0.559894
1472,0.4001726
1476,0.4017659
1480,0.5399576
1484,0.6838899
1488,0.7107719
1492,0.6128308
1496,0.5067965
1500,0.5329322
