Time,ERP
-1000,-0.09160642
-996,-0.5248522
-992,-0.9389744
-988,-1.24551
-984,-1.403508
-980,-1.438978
-976,-1.437344
-972,-1.492927
-968,-1.63575
-964,-1.791219
-960,-1.820113
-956,-1.625813
-952,-1.249546
-948,-0.8660053
-944,-0.6622183
-940,-0.6830057
-936,-0.7696109
-932,-0.658338
-928,-0.1797837
-924,0.5908021
-920,1.357026
-916,1.793039
-912,1.76359
-908,1.406421
-904,1.018375
-900,0.8398344
-896,0.9061268
-892,1.069391
-888,1.150868
-884,1.083387
-880,0.9302369
-876,0.7884372
-872,0.6888375
-868,0.5965992
-864,0.5049711
-860,0.5119051
-856,0.7766539
-852,1.371034
-848,2.158159
-844,2.832499
-840,3.122798
-836,3.00474
-832,2.735845
-828,2.658476
-824,2.915295
-820,3.313587
-816,3.46749
-812,3.118256
-808,2.372404
-804,1.649947
-800,1.366827
-796,1.600677
-792,2.015521
-788,2.11973
-784,1.66105
-780,0.8447722
-776,0.1961842
-772,0.1703175
-768,0.8111844
-764,1.720677
-760,2.350373
-756,2.381996
-752,1.90886
-748,1.30391
-744,0.9090672
-740,0.8030726
-736,0.8127455
-732,0.7194878
-728,0.4616507
-724,0.1634708
-720,-0.0097435
-716,-0.01901817
-712,0.0157608
-708,-0.05889282
-704,-0.2706537
-700,-0.4815481
-696,-0.5103201
-692,-0.311356
-688,-0.04856262
-684,0.009958649
-680,-0.3017704
-676,-0.9073137
-672,-1.529288
-668,-1.883472
-664,-1.8761
-660,-1.65754
-656,-1.50009
-652,-1.601549
-648,-1.962588
-644,-2.417899
-640,-2.779118
-636,-2.97134
-632,-3.06557
-628,-3.200214
-624,-3.467973
-620,-3.857483
-616,-4.283342
-612,-4.663692
-608,-4.974255
-604,-5.236982
-600,-5.463583
-596,-5.613461
-592,-5.613898
-588,-5.433873
-584,-5.151175
-580,-4.944917
-576,-4.99717
-572,-5.358645
-568,-5.875729
-564,-6.247741
-560,-6.198949
-556,-5.661435
-552,-4.841895
-548,-4.112724
-544,-3.78759
-540,-3.928968
-536,-4.320936
-532,-4.627481
-528,-4.622128
-524,-4.322803
-520,-3.937885
-516,-3.675707
-512,-3.574274
-508,-3.488793
-504,-3.2411
-500,-2.799239
-496,-2.326916
-492,-2.05312
-488,-2.067048
-484,-2.215696
-480,-2.201905
-476,-1.815189
-472,-1.110401
-468,-0.3848416
-464,0.03482345
-460,0.02727398
-456,-0.2535667
-452,-0.5238372
-448,-0.6026781
-444,-0.5359092
-440,-0.5107723
-436,-0.6432202
-432,-0.8300249
-428,-0.802529
-424,-0.3456163
-420,0.5007645
-416,1.432363
-412,2.083411
-408,2.284803
-404,2.175283
-400,2.079992
-396,2.256749
