Time,ERP
-1000,0.7065217
-996,0.6811103
-992,0.5756807
-988,0.4788658
-984,0.4996351
-980,0.6906431
-976,0.9702396
-972,1.131803
-968,1.09879
-964,0.920441
-960,0.3116474
-956,0.2619075
-952,0.324466
-948,0.4435598
-944,0.5675206
-940,0.7010569
-936,0.8864491
-932,1.133209
-928,1.370722
-924,1.482141
-920,1.402072
-916,1.1942
-912,1.030096
-908,1.069799
-904,1.332868
-900,1.667791
-896,1.855255
-892,1.77284
-888,1.494364
-884,1.244879
-880,1.243712
-876,1.553825
-872,2.04635
-868,2.496657
-864,2.729633
-860,2.705507
-856,2.497798
-852,2.205842
-848,1.8871
-844,1.558876
-840,1.244919
-836,0.9607036
-832,0.9100106
-828,0.9267362
-824,0.9338005
-820,0.8489642
-816,0.6457126
-812,0.3823773
-808,0.1640793
-804,0.05900782
-800,0.03830881
-796,-0.003420068
-792,-0.1564367
-788,-0.4376647
-784,-0.4998019
-780,-0.4622916
-776,-0.345274
-772,-0.2727441
-768,-0.396463
-764,-0.7745686
-760,-1.297637
-756,-1.72823
-752,-1.838321
-748,-1.554117
-744,-1.008641
-740,-0.4657799
-736,-0.1676966
-732,-0.2051208
-728,-0.4885875
-724,-0.8270282
-720,-1.053271
-716,-1.115023
-712,-1.083899
-708,-1.090587
-704,-1.234785
-700,-1.522355
-696,-1.859917
-692,-2.104993
-688,-2.144486
-684,-1.959946
-680,-1.64245
-676,-1.343028
-672,-1.065755
-668,-0.9761929
-664,-1.001394
-660,-0.9952739
-656,-0.8403442
-652,-0.547121
-648,-0.261732
-644,-0.1648618
-640,-0.303138
-636,-0.6823905
-632,-1.044014
-628,-1.168238
-624,-0.991896
-620,-0.6600686
-616,-0.4296342
-612,-0.4941036
-608,-0.8575212
-604,-1.345824
-600,-1.736413
-596,-1.901362
-592,-1.860307
-588,-1.722741
-584,-1.588136
-580,-1.494308
-576,-1.444884
-572,-1.466329
-568,-1.617164
-564,-1.924531
-560,-2.30521
-556,-2.560859
-552,-2.483106
-548,-2.005917
-544,-1.287385
-540,-0.6439288
-536,-0.3704915
-532,-0.5703362
-528,-1.113957
-524,-1.748055
-520,-2.264186
-516,-2.599907
-512,-2.81166
-508,-2.96667
-504,-3.060583
-500,-3.031534
-496,-2.848275
-492,-2.581788
-488,-2.386429
-484,-2.3978
-480,-2.629875
-476,-2.956586
-472,-3.194215
-468,-3.220006
-464,-3.037935
-460,-2.750388
-456,-2.470211
-452,-2.247126
-448,-2.057994
-444,-1.852054
-440,-1.602019
-436,-1.320421
-432,-1.040209
-428,-0.7896675
-424,-0.5857682
-420,-0.4424257
-416,-0.3720727
-412,-0.3716843
-408,-0.4096653
-404,-0.4385279
-400,-0.4339803
-396,-0.4281533
-392,-0.4971784
-388,-0.6984559
-384,-1.001826
-380,-1.277003
-376,-1.362341
-372,-1.173448
-368,-0.7707446
-364,-0.3300151
-360,-0.03324159
-356,0.04121813
-352,-0.0492043
-348,-0.1721542
-344,-0.2192463
-340,-0.1664112
-336,-0.06133465
-332,0.03307644
-328,0.08055825
-324,0.06804984
-320,-0.02220639
-316,-0.2194412
-312,-0.5324066
-308,-0.9100413
-304,-1.246157
-300,-1.442973
-296,-1.488604
-292,-1.477306
-288,-1.540675
-284,-1.735202
-280,-1.978533
-276,-2.096574
-272,-1.954969
-268,-1.573975
-264,-1.130908
-260,-0.8396453
-256,-0.7946588
-252,-0.8976315
-248,-0.9226846
-244,-0.6717307
-240,-0.1076623
-236,0.6232148
-232,1.282095
-228,1.667966
-224,1.702027
-220,1.431714
-216,0.9807914
-212,0.4936404
-208,0.09881876
-204,-0.1150162
-200,-0.1227584
-196,0.02362997
-192,0.2166281
-188,0.355761
-184,0.4157704
-180,0.4634273
-176,0.5966493
-172,0.8455598
-168,1.119261
-164,1.256828
