Time,ERP
-1000,-0.2615802
-996,-0.4054436
-992,-0.631022
-988,-0.8345175
-984,-0.9172211
-980,-1.091031
-976,-0.8140888
-972,-0.5796708
-968,-0.5316027
-964,-0.711422
-960,-1.026279
-956,-1.056152
-952,-0.9356324
-948,-0.7951331
-944,-0.8345826
-940,-0.9137872
-936,-0.9426271
-932,-0.8128617
-928,-0.4670505
-924,0.05344023
-920,0.6191966
-916,1.082988
-912,1.365644
-908,1.496505
-904,1.576191
-900,1.687875
-896,1.826735
-892,1.907499
-888,1.848755
-884,1.666259
-880,1.492044
-876,1.490343
-872,1.726215
-868,2.089473
-864,2.342355
-860,2.266471
-856,1.795992
-852,0.912787
-848,0.04134044
-844,-0.5836774
-840,-0.912448
-836,-1.05198
-832,-1.401364
-828,-1.472772
-824,-1.739209
-820,-1.532268
-816,-1.352666
-812,-1.220122
-808,-1.202468
-804,-1.270304
-800,-0.7398878
-796,-0.4854274
-792,-0.375212
-788,0.04345856
-784,0.2702611
-780,0.0003187406
-776,-0.255714
-772,-0.4333931
-768,-0.4330361
-764,-0.2895148
-760,-0.1136924
-756,0.005386012
-752,0.0496427
-748,0.04054066
-744,-0.02348566
-740,-0.1828721
-736,-0.4602776
-732,-0.7886606
-728,-1.011846
-724,-0.9865484
-720,-0.714057
-716,-0.3817873
-712,-0.2540444
-708,-0.4772761
-704,-0.9505752
-700,-1.375536
-696,-1.460993
-692,-1.306721
-688,-0.8390511
-684,-0.3017375
-680,0.2852017
-676,0.7275829
-672,1.024515
-668,1.255488
-664,1.443985
-660,1.532651
-656,1.455728
-652,1.226044
-648,0.9422969
-644,0.703954
-640,0.6313586
-636,0.3149133
-632,-0.2382319
-628,-0.74414
-624,-1.01257
-620,-0.9324185
-616,-0.5645221
-612,-0.1355703
-608,0.08544084
-604,-0.04286679
-600,-0.5507129
-596,-0.3839212
-592,-0.1956531
-588,0.192897
-584,0.6854753
-580,1.138767
-576,1.446762
-572,1.588633
-568,1.613307
-564,1.582179
-560,1.520289
-556,1.412136
-552,1.237062
-548,1.004819
-544,0.7556067
-540,0.5244172
-536,0.3061734
-532,0.06045949
-528,-0.2399128
-524,-0.555494
-520,-0.7731152
-516,-0.7637256
-512,-0.4705409
-508,0.03676071
-504,0.5861107
-500,0.9934856
-496,1.158979
-492,1.105142
-488,0.9385571
-484,0.7721037
-480,0.6677158
-476,0.6343123
-472,0.66532
-468,0.7702284
-464,0.9670087
-460,1.245256
-456,1.541436
-452,1.7603
-448,1.834099
-444,1.773163
-440,1.661247
-436,1.592207
-432,1.594526
-428,1.605387
-424,1.519798
-420,1.280827
-416,0.9409744
-412,0.6435285
-408,0.5326673
-404,0.6560236
-400,0.930997
-396,1.199246
-392,1.329832
-388,1.297579
-384,1.184729
-380,1.110669
-376,1.144487
-372,1.261065
-368,1.365496
-364,1.360689
-360,1.208479
-356,0.9463333
-352,0.6575522
-348,0.4215154
-344,0.2762475
-340,0.2093044
-336,0.1736806
-332,0.1151816
-328,-0.0005446332
-324,-0.1692746
-320,-0.2596466
-316,-0.4212482
-312,-0.4939521
-308,-0.4110171
-304,-0.1885463
-300,-0.1389772
-296,0.09996156
-292,0.1367168
-288,-0.06923159
-284,-0.4407151
-280,-0.8382028
-276,-1.147901
-272,-1.618126
-268,-1.925574
-264,-2.10209
-260,-2.090652
-256,-1.86084
-252,-1.448418
-248,-0.9071618
-244,-0.5689439
-240,-0.5439336
-236,-0.7044354
-232,-0.9697484
-228,-1.255843
-224,-1.503943
-220,-1.696142
-216,-1.847785
-212,-1.986364
-208,-2.127562
-204,-2.236871
-200,-2.087202
-196,-1.887282
-192,-1.642799
-188,-1.355243
-184,-1.051719
-180,-0.7965705
-176,-0.6601366
-172,-0.660113
-168,-0.7254039
-164,-0.7264745
-160,-0.61477
-156,-0.3105164
-152,0.05969974
-148,0.4682288
-144,0.4190765
-140,0.0719014
-136,-0.3970024
-132,-0.766262
-128,-0.9131007
-124,-0.8729308
-120,-0.7802343
-116,-0.5248597
-112,-0.4871943
-108,-0.4602163
-104,-0.4075466
-100,-0.3326012
-96,-0.2683752
-92,-0.2283639
-88,-0.1722646
-84,-0.02585992
-80,0.2568577
-76,0.6419694
-72,1.020351
-68,1.267726
-64,1.23363
-60,1.003791
-56,0.6981661
-52,0.3861816
-48,0.08722508
-44,-0.1898592
-40,-0.3993747
-36,-0.4610724
-32,-0.3212733
-28,-0.02136603
-24,0.294099
-20,0.4516828
-16,0.3573982
-12,0.05710394
-8,-0.2991242
-4,-0.5619091
0,-0.6764325
4,-0.6968397
8,-0.7191387
12,-0.7947924
16,-0.8964211
20,-0.956634
24,-0.9370686
28,-0.8627449
32,-0.7934548
36,-0.7638496
40,-0.7523098
44,-0.7103243
48,-0.6252414
52,-0.5540969
56,-0.588347
60,-0.7713135
64,-1.037823
68,-1.235002
72,-1.219728
76,-0.9632183
80,-0.5817189
84,-0.266005
88,-0.1597416
92,-0.2756375
96,-0.5078125
100,-0.7236924
104,-0.8593131
108,-0.9446969
112,-1.046585
116,-1.183761
120,-1.290549
124,-1.261693
128,-1.042632
132,-0.6897427
136,-0.3473061
140,-0.1535801
144,-0.1450898
148,-0.2315115
152,-0.2611532
156,-0.1299194
160,0.1442634
164,0.4324804
168,0.5797063
172,0.5015265
176,0.227918
180,-0.1280837
184,-0.4461243
188,-0.6636604
192,-0.7929673
196,-0.8924726
200,-1.024053
204,-1.226866
208,-1.514509
212,-1.880616
216,-2.297307
220,-2.708096
224,-3.031929
228,-3.190516
232,-3.149298
236,-2.943678
240,-2.666374
244,-2.419182
248,-2.261298
252,-2.191146
256,-2.172972
260,-2.183035
264,-2.233923
268,-2.354488
272,-2.542551
276,-2.73436
280,-2.824435
284,-2.728582
288,-2.44469
292,-2.063397
296,-1.717562
300,-1.506644
304,-1.450692
308,-1.503301
312,-1.604747
316,-1.726041
320,-1.867331
324,-2.017915
328,-2.122029
332,-2.090979
336,-1.861121
340,-1.453131
344,-0.9809471
348,-0.5953661
352,-0.399549
356,-0.3968186
360,-0.5065674
364,-0.6310309
368,-0.7186031
372,-0.7770535
376,-0.835176
380,-0.6414424
384,-0.5512437
388,-0.4791028
392,-0.3836316
396,-0.2662344
400,-0.173103
404,-0.1474339
408,-0.1774681
412,-0.1918796
416,-0.1133211
420,0.0708095
424,0.2811171
428,0.3919829
432,0.3228504
436,0.1084452
440,-0.1070263
444,-0.1537922
448,0.05586496
452,0.7601084
456,1.123291
460,1.298285
464,1.27213
468,1.146076
472,1.072158
476,1.166187
480,1.445288
484,1.820665
488,2.146899
492,2.301836
496,2.255435
500,2.089095
504,1.950292
508,1.964034
512,2.152223
516,2.413752
520,2.58293
524,2.532015
528,2.250143
532,1.845395
536,1.36604
540,1.126698
544,1.070512
548,1.140949
552,1.27462
556,1.450183
560,1.798678
564,1.942862
568,2.093986
572,1.939599
576,1.705842
580,2.070421
584,1.884625
588,1.757422
592,1.772664
596,1.901906
600,2.025248
604,1.967829
608,1.843572
612,1.640203
616,1.39725
620,1.138479
624,0.8556217
628,0.5365739
632,0.2128986
636,0.3973149
640,0.3507125
644,0.8685742
648,1.082028
652,1.314645
656,1.445236
660,1.425012
664,1.322694
668,1.275014
672,1.486153
676,1.582324
680,1.598957
684,1.43934
688,1.092805
692,0.6624012
696,0.3094048
700,0.1491086
704,0.1729474
708,0.2573226
712,0.2565667
716,0.1136664
720,-0.09410752
724,-0.211161
728,-0.1224502
732,0.1522059
736,0.4599276
740,0.614648
744,0.5244064
748,0.2541089
752,-0.02211635
756,0.1842227
760,0.4264573
764,0.1729973
768,0.3073137
772,0.1863294
776,-0.04124171
780,-0.2756752
784,-0.4368007
788,-0.5171677
792,-0.5664382
796,-0.6257918
800,-0.6708537
804,-0.4339982
808,-0.08896028
812,0.3051751
816,0.6408075
820,0.8091134
824,0.7603389
828,0.5344268
832,0.2389899
836,0.4093122
840,0.3577712
844,0.3078899
848,0.2721992
852,0.2932305
856,0.3955623
860,0.5368236
864,0.6100274
868,0.5097224
872,0.2183954
876,-0.1547032
880,-0.4202685
884,-0.4167804
888,-0.2053761
892,0.1471062
896,0.518511
900,0.7896439
904,0.952288
908,1.040527
912,1.091799
916,1.12323
920,1.241859
924,0.9411854
928,1.20681
932,1.249539
936,1.145039
940,0.8870829
944,0.5219144
948,-0.03750827
952,-0.3707049
956,-0.4187241
960,-0.2176516
964,0.1556585
968,0.2934363
972,0.1972156
976,-0.03497986
980,-0.2213181
984,0.135234
988,0.3869049
992,0.6146781
996,0.7640815
1000,0.8304995
1004,0.8386919
1008,0.8103999
1012,0.7499472
1016,0.6518558
1020,0.5113399
1024,0.3209307
1028,0.05948355
1032,-0.1824554
1036,-0.6462966
1040,-1.189433
1044,-1.552684
1048,-1.620114
1052,-1.542032
1056,-1.332695
1060,-1.04552
1064,-0.7637007
1068,-0.5739654
1072,-0.5321485
1076,-0.6346156
1080,-0.8103358
1084,-0.9436039
1088,-0.9251875
1092,-0.7120094
1096,-0.3622682
1100,-0.01788637
1104,0.1662638
1108,0.1102556
1112,-0.1410375
1116,-0.4431022
1120,-0.6404081
1124,-0.7855592
1128,-0.7470922
1132,-0.656733
1136,-0.6214455
1140,-0.6926758
1144,-0.8413263
1148,-0.9868217
1152,-1.050673
1156,-0.9943823
1160,-0.9399827
1164,-0.6263289
1168,-0.2887796
1172,-0.01905244
1176,0.08502007
1180,-0.0412756
1184,-0.3839732
1188,-0.8335463
1192,-1.224223
1196,-1.418674
1200,-1.386921
1204,-1.222373
1208,-1.078251
1212,-1.065987
1216,-1.187423
1220,-1.347935
1224,-1.436426
1228,-1.409063
1232,-1.315457
1236,-1.202811
1240,-1.596798
1244,-1.997743
1248,-2.292904
1252,-2.45478
1256,-2.53685
1260,-2.599837
1264,-2.642846
1268,-2.608307
1272,-2.458082
1276,-2.246373
1280,-2.110909
1284,-1.717369
1288,-1.875998
1292,-2.188025
1296,-2.44086
1300,-2.479673
1304,-2.304424
1308,-2.042557
1312,-1.831179
1316,-1.715743
1320,-1.649302
1324,-1.842503
1328,-1.683139
1332,-1.699817
1336,-2.424877
1340,-2.898026
1344,-3.128922
1348,-2.970934
1352,-2.497997
1356,-1.963524
1360,-1.627858
1364,-1.581196
1368,-1.696453
1372,-1.744535
1376,-1.576308
1380,-1.226258
1384,-0.8629908
1388,-0.6400524
1392,-0.578795
1396,-0.5785273
1400,-0.5332143
1404,-0.4410205
1408,-0.4037859
1412,-0.5168216
1416,-0.7521455
1420,-0.9487828
1424,-0.9305454
1428,-0.6567091
1432,-0.2748307
1436,-0.02266608
1440,-0.05240994
1444,-0.318523
1448,-0.6200723
1452,-0.7624792
1456,-0.7058326
1460,-0.5803378
1464,-0.5605438
1468,-0.7063166
1472,-0.9029723
1476,-0.9488415
1480,-0.7167686
1484,-0.2582484
1488,0.2310751
1492,0.552808
1496,0.6405023
1500,0.5867478
1504,0.5526031
1508,0.6404511
1512,0.8304291
1516,1.019833
1520,1.119979
1524,1.126574
1528,1.111992
1532,1.157512
1536,1.288612
1540,1.465129
1544,1.625712
1548,1.742384
1552,1.839058
1556,1.964662
1560,2.149414
1564,2.381803
1568,2.619715
1572,2.819384
1576,2.955592
1580,3.022037
1584,3.021839
1588,2.964692
1592,3.111027
1596,3.061163
1600,3.020482
1604,3.044767
1608,3.141647
1612,3.252354
1616,3.285128
1620,3.176542
1624,2.931422
1628,2.608498
1632,2.265843
1636,1.915335
1640,1.528836
1644,1.09237
1648,0.6594263
1652,0.3485262
1656,0.273609
1660,0.4529886
1664,1.021103
1668,1.378382
1672,1.389864
1676,1.057056
1680,0.5625328
1684,0.1595994
1688,0.03364813
1692,0.2187542
1696,0.5925722
1700,0.7557341
1704,0.958031
1708,1.102431
1712,1.101755
1716,0.925972
1720,0.6324443
1724,0.3445528
1728,0.1795886
1732,0.1720233
1736,0.2516387
1740,0.2993747
1744,0.2426773
1748,0.1166317
1752,0.03943684
1756,0.1166231
1760,0.3466377
1764,0.6033759
1768,0.7144489
1772,0.5808905
1776,0.2513574
1780,-0.1034672
1784,-0.298665
1788,-0.2508055
1792,-0.02558944
1796,0.2081467
1800,0.2805242
1804,0.1104083
1808,-0.5592226
1812,-1.079506
1816,-1.481094
1820,-1.725046
1824,-1.866379
1828,-1.987659
1832,-2.578092
1836,-2.690285
1840,-2.787131
1844,-2.849954
1848,-2.860795
1852,-2.807413
1856,-2.687216
1860,-2.51374
1864,-2.321502
1868,-2.160455
1872,-2.076342
1876,-2.085018
1880,-2.157297
1884,-2.228075
1888,-2.362186
1892,-2.268383
1896,-2.061204
1900,-1.808898
1904,-1.616432
1908,-1.197276
1912,-1.351791
1916,-1.624665
1920,-1.949444
1924,-2.268817
1928,-2.549047
1932,-2.770542
1936,-2.909392
1940,-2.933591
1944,-2.823953
1948,-2.604223
1952,-2.527189
1956,-2.433007
1960,-2.292144
1964,-2.012623
1968,-1.829557
1972,-1.80207
1976,-1.922666
1980,-2.141635
1984,-2.403465
1988,-2.659962
1992,-2.856976
1996,-2.925482
2000,-2.807637
2004,-2.510912
2008,-2.143497
2012,-1.883098
2016,-1.915817
2020,-2.040091
2024,-2.333674
2028,-2.613158
2032,-2.706944
2036,-2.564517
2040,-2.279236
2044,-2.008651
2048,-1.854755
2052,-1.796014
2056,-1.272458
2060,-0.7194268
2064,-0.1970496
2068,0.1189971
2072,0.1599966
2076,-0.255792
2080,-0.0711683
2084,0.08341507
2088,0.1958034
2092,0.2245716
2096,0.1437965
2100,0.01632648
2104,0.1403211
2108,0.3785059
2112,0.7395439
2116,1.159147
2120,1.513526
2124,1.686905
2128,1.655686
2132,1.526937
2136,1.489182
2140,1.6922
2144,2.130037
2148,2.612719
2152,2.86123
2156,2.676492
2160,2.075325
2164,1.299067
2168,0.912357
2172,0.6663777
2176,0.801627
2180,1.143932
2184,1.455849
2188,1.592372
2192,1.579535
2196,1.567378
2200,1.698109
2204,1.987203
2208,2.301782
2212,2.448272
2216,2.304965
2220,1.907314
2224,1.430977
2228,1.08823
2232,1.007528
2236,1.169492
2240,1.430359
2244,1.609359
2248,1.584612
2252,1.346902
2256,0.9908763
2260,0.6569229
2264,0.4571106
2268,0.197323
2272,0.239602
2276,0.2377025
2280,0.1204803
2284,-0.1046739
2288,-0.3408641
2292,0.01237416
2296,0.3885179
2300,0.8767726
2304,1.223172
2308,1.464775
2312,1.551878
2316,1.470948
2320,1.204767
2324,0.9210378
2328,0.6540663
2332,0.5335801
2336,0.6407665
2340,0.9588571
2344,1.368814
2348,1.698962
2352,1.806369
2356,1.647821
2360,1.301698
2364,0.9279273
2368,0.6873258
2372,0.6647331
2376,0.8381491
2380,1.10869
2384,1.369183
2388,1.565848
2392,1.713886
2396,1.860851
2400,2.029245
2404,2.184519
2408,2.254652
2412,2.186508
2416,1.993592
2420,1.75476
2424,1.561915
2428,1.457001
2432,1.409646
2436,1.41217
2440,1.572965
2444,1.614883
2448,1.58616
2452,1.590529
2456,1.690309
2460,1.849248
2464,1.967868
2468,1.983839
2472,1.948151
2476,2.000423
2480,2.249675
2484,2.65381
2488,3.005689
2492,3.056428
2496,2.694273
2500,2.042167
2504,1.388947
2508,0.9944435
2512,0.9098895
2516,0.9502378
2520,0.8415461
2524,0.4324902
2528,-0.1912248
2532,-0.7749707
2536,-1.08982
2540,-1.100676
2544,-0.9792863
2548,-0.9568113
2552,-1.13592
2556,-1.410072
2560,-1.550247
2564,-1.387603
2568,-0.9500902
2572,-0.4529001
2576,-0.1581759
2580,-0.2138724
2584,-0.5847877
2588,-1.107574
2592,-1.607915
2596,-1.985841
2600,-2.220524
2604,-2.321135
2608,-2.217261
2612,-2.082945
2616,-1.801225
2620,-1.481415
2624,-1.266337
2628,-1.230673
2632,-1.321566
2636,-1.397201
2640,-1.337226
2644,-1.137174
2648,-0.9101227
2652,-0.795206
2656,-0.8473027
2660,-0.9952455
2664,-1.097305
2668,-1.045781
2672,-0.8393928
2676,-0.5754808
2680,-0.378967
2684,-0.3270164
2688,-0.4179263
2692,-0.5897576
2696,-0.7590306
