Time,ERP
-1000,3.497734
-996,3.670133
-992,3.869444
-988,3.988479
-984,3.936835
-980,3.745434
-976,3.326404
-972,2.936112
-968,2.649712
-964,2.4354
-960,2.221006
-956,1.987253
-952,1.794204
-948,1.71464
-944,1.775303
-940,1.58547
-936,1.298059
-932,0.9148905
-928,0.5660916
-924,0.4594905
-920,0.7427905
-916,1.377104
-912,2.126387
-908,2.68371
-904,2.852472
-900,2.654524
-896,2.291662
-892,1.993343
-888,1.86673
-884,1.854247
-880,1.817591
-876,1.669238
-872,1.446898
-868,1.279904
-864,1.286557
-860,1.488428
-856,1.805145
-852,2.121016
-848,2.360177
-844,2.509916
-840,2.586954
-836,2.593125
-832,2.510206
-828,2.337446
-824,2.126803
-820,1.968745
-816,1.926688
-812,1.974122
-808,1.997912
-804,1.883475
-800,1.622108
-796,1.156232
-792,1.206767
-788,1.516284
-784,2.003299
-780,2.447825
-776,2.61808
-772,2.426346
-768,2.000846
-764,1.6145
-760,1.512081
-756,1.756357
-752,2.201941
-748,2.61183
-744,2.825458
-740,2.853599
-736,2.83724
-732,2.914671
-728,3.10784
-724,3.313938
-720,3.398592
-716,3.304003
-712,3.082673
-708,2.837163
-704,2.63231
-700,2.462058
-696,2.297039
-692,2.156384
-688,2.125561
-684,2.291125
-680,2.64903
-676,3.218359
-672,3.431862
-668,3.486279
-664,3.41683
-660,3.340817
-656,3.339571
-652,3.36192
-648,3.247689
-644,2.868384
-640,2.268731
-636,1.299126
-632,1.318199
-628,1.594868
-624,1.941798
-620,2.102616
-616,1.939754
-612,1.544408
-608,1.171209
-604,1.044979
-600,1.191228
-596,1.430001
-592,1.535594
-588,1.429332
-584,1.240931
-580,1.186669
-576,1.366897
-572,1.659242
-568,1.80512
-564,1.649529
-560,1.145688
-556,0.8095319
-552,0.8880567
-548,1.387911
-544,2.073453
-540,2.635919
-536,2.900592
-532,2.912556
-528,2.849423
-524,2.845809
-520,2.88097
-516,2.814524
-512,2.531271
-508,2.064565
-504,1.59604
-500,1.331559
-496,1.355964
-492,1.576275
-488,1.790171
-484,1.817086
-480,1.59506
-476,1.185641
-472,0.7080455
-468,0.2671538
-464,-0.07513966
-460,-0.2388337
-456,-0.02459313
-452,0.1679596
-448,0.273783
-444,0.265382
-440,0.1311566
-436,-0.1239251
-432,-0.457487
-428,-0.7764817
-424,-0.9622396
-420,-0.9293346
-416,-0.6844831
-412,-0.3386576
-408,-0.05689321
-404,0.03137096
-400,-0.09478486
-396,-0.3366095
-392,-0.5364562
-388,-0.5709977
-384,-0.418823
-380,-0.1598632
-376,0.08645209
-372,0.2376856
-368,0.284288
-364,0.2643892
-360,0.206128
-356,0.09217874
-352,-0.1181335
-348,-0.4269022
-344,-0.7530848
-340,-0.95749
-336,-0.9320845
-332,-0.6905776
-328,-0.3806792
-324,-0.195039
-320,-0.2356012
-316,-0.4348882
-312,-0.5991682
-308,-0.5507374
-304,-0.263357
-300,0.1116468
-296,0.3531904
-292,0.3303694
-288,0.09352555
-284,-0.1709354
-280,-0.2827167
-276,-0.194404
-272,-0.008373695
-268,0.1190705
-264,0.1010584
-260,-0.02774317
-256,-0.1613035
-252,-0.2183618
-248,-0.1961471
-244,-0.1404158
-240,-0.07095783
-236,0.05776026
-232,0.3160501
-228,0.7114629
-224,1.136722
-220,1.411241
-216,1.395693
-212,1.093815
-208,0.6603332
-204,0.3054645
-200,0.1656751
-196,0.2331922
-192,0.3875053
-188,0.4940379
-184,0.4912523
-180,0.407756
-176,0.3118433
-172,0.244958
-168,0.1923216
-164,0.105649
-160,-0.04870965
-156,-0.2560127
-152,-0.4558044
-148,-0.5755704
-144,-0.5738341
-140,-0.4707398
-136,-0.3511144
-132,-0.3333342
-128,-0.5100839
-124,-0.8862917
-120,-1.354272
-116,-1.736689
-112,-1.887263
-108,-1.789845
-104,-1.580748
-100,-1.462494
-96,-1.557705
-92,-1.808094
-88,-2.002325
-84,-1.923239
