Time,ERP
-1000,1.808177
-996,1.689785
-992,1.656722
-988,1.64803
-984,1.599692
-980,1.564604
-976,1.560071
-972,1.617462
-968,1.679403
-964,1.619702
-960,1.041633
-956,0.7003419
-952,0.2721041
-948,-0.142538
-944,-0.4601644
-940,-0.6540828
-936,-0.7505055
-932,-0.7972517
-928,-0.8357036
-924,-0.8918858
-920,-0.9762642
-916,-1.077194
-912,-1.150654
-908,-1.129054
-904,-0.9637444
-900,-0.6820285
-896,-0.408631
-892,-0.3146654
-888,-0.5109596
-884,-0.9585683
-880,-1.471411
-876,-1.824723
-872,-1.89962
-868,-1.758585
-864,-1.591786
-860,-1.570711
-856,-1.717729
-852,-1.889411
-848,-1.884596
-844,-1.593439
-840,-1.076604
-836,-0.1683076
-832,0.02861004
-828,-0.007841323
-824,-0.1681065
-820,-0.3419589
-816,-0.4915119
-812,-0.6352942
-808,-0.7766312
-804,-0.8588874
-800,-0.8003839
-796,-0.5785266
-792,-0.280903
-788,0.1219095
-784,0.4219077
-780,0.4322172
-776,0.222267
-772,-0.01928117
-768,-0.109767
-764,0.02801213
-760,0.354818
-756,0.7779081
-752,1.220764
-748,1.644129
-744,2.020212
-740,2.305552
-736,2.451802
-732,2.44653
-728,2.340913
-724,2.22868
-720,2.187153
-716,2.226848
-712,2.292048
-708,2.309434
-704,2.242959
-700,2.110816
-696,1.959792
-692,1.828626
-688,1.73514
-684,1.688972
-680,1.702365
-676,1.775143
-672,1.776706
-668,1.901343
-664,1.826099
-660,1.510325
-656,1.073249
-652,0.7315608
-648,0.6472945
-644,0.8024433
-640,0.9286757
-636,1.021268
-632,0.9155231
-628,0.7666292
-624,0.8291311
-620,1.244033
-616,1.894885
-612,2.456232
-608,2.608838
-604,2.265577
-600,1.638533
-596,1.099628
-592,0.9389197
-588,1.19456
-584,1.661241
-580,2.048189
-576,2.15771
-572,1.966121
-568,1.582901
-564,1.154743
-560,0.7976384
-556,0.5842621
-552,0.5534474
-548,0.7001772
-544,0.9510475
-540,1.169259
-536,1.220389
-532,1.066089
-528,0.809624
-524,0.6375749
-520,0.6879132
-516,0.9437698
-512,1.24552
-508,1.417468
-504,1.408084
-500,1.323074
-496,1.321013
-492,1.459565
-488,1.630426
-484,1.647636
-480,1.421201
-476,1.064142
-472,0.8288427
-468,0.9100425
-464,1.271853
-460,1.648772
-456,1.735112
-452,1.422637
-448,0.8989782
-444,0.5236676
-440,0.5699141
-436,1.026007
-432,1.602527
-428,1.936224
-424,1.834443
-420,1.384953
-416,0.8650388
-412,0.5363582
-408,0.4827442
-404,0.5984292
-400,0.708464
-396,0.7117336
-392,0.6367117
-388,0.5846063
-384,0.6227394
-380,0.7201306
-376,0.7709369
-372,0.6798265
-368,0.4403477
-364,0.150581
-360,-0.04082258
-356,-0.02154057
-352,0.2163255
-348,0.5623705
-344,0.8350003
-340,0.8673669
-336,0.5931208
-332,0.08826169
-328,-0.4562562
-324,-0.8243682
-320,-0.8815078
-316,-0.6390786
-312,-0.2368389
-308,0.1434807
-304,0.3772363
-300,0.4448929
