Time,ERP
-1000,1.08736
-996,0.9703835
-992,0.6323904
-988,0.237217
-984,-0.02870084
-980,-0.06434178
-976,0.111083
-972,0.3981121
-968,0.6805969
-964,0.864442
-960,0.8859752
-956,0.7184259
-952,0.395121
-948,0.02941129
-944,-0.2107265
-940,-0.1884796
-936,0.09998003
-932,0.4883045
-928,0.7182803
-924,0.6007624
-920,0.1536041
-916,-0.3872917
-912,-0.7039236
-908,-0.5935575
-904,-0.09472927
-900,0.5409218
-896,1.005445
-892,1.10915
-888,0.86211
-884,0.4297527
-880,0.01921074
-876,-0.2151656
-872,-0.1992145
-868,0.08152696
-864,0.5985627
-860,1.267019
-856,1.927215
-852,2.369015
-848,2.415112
-844,2.020663
-840,1.316093
-836,0.5507857
-832,-0.03389507
-828,-0.3211586
-824,-0.3521753
-820,-0.2654497
-816,-0.1448293
-812,-0.3432194
-808,-0.5322804
-804,-0.6142246
-800,-0.5678816
-796,-0.4332258
-792,-0.2487267
-788,0.3114517
-784,0.8064176
-780,1.165573
-776,1.299983
-772,1.200682
-768,0.9586469
-764,0.7221226
-760,0.5994927
-756,0.5731224
-752,0.5020977
-748,0.2334377
-744,-0.2505819
-740,-0.7686707
-736,-1.031101
-732,-0.8372312
-728,-0.2375087
-724,0.4712551
-720,0.9290761
-716,0.9479945
-712,0.6271904
-708,0.264395
-704,0.1349502
-700,0.3086788
-696,0.6381239
-692,0.9109104
-688,1.030251
-684,1.075168
-680,1.201862
-676,1.483882
-672,1.836048
-668,2.088227
-664,2.140477
-660,2.058326
-656,2.019159
-652,2.151825
-648,2.40841
-644,2.584722
-640,2.482028
-636,2.081089
-632,1.583791
-628,1.281386
-624,1.347339
-620,1.713466
-616,2.122334
-612,2.311325
-608,2.185435
-604,1.851688
-600,1.500781
-596,1.238233
-592,0.9986187
-588,0.6048933
-584,-0.07762888
-580,-1.010049
-576,-1.965811
-572,-2.386948
-568,-2.439148
-564,-1.897846
-560,-1.008709
-556,-0.1443845
-552,0.3710593
-548,0.3983149
-544,0.01825968
-540,-0.5398947
-536,-1.031721
-532,-1.318008
-528,-1.40879
-524,-1.412471
-520,-1.430289
-516,-1.471643
-512,-1.450779
-508,-1.264631
-504,-0.8882232
-500,-0.4080372
-496,0.037148
-492,0.3606571
-488,0.5876943
-484,0.8140568
-480,1.093906
-476,1.354674
-472,1.424343
-468,1.165698
-464,0.6156238
-460,0.008920114
-456,-0.3512599
-452,-0.2918248
-448,0.1100931
-444,0.5799257
-440,0.8367335
-436,0.7825682
-432,0.5530363
-428,0.3998713
-424,0.5024696
-420,0.8505132
-416,1.273727
-412,1.577309
-408,1.668864
-404,1.586889
