Time,ERP
-1000,-3.688806
-996,-3.471701
-992,-3.174722
-988,-2.909693
-984,-2.751822
-980,-2.402623
-976,-2.351369
-972,-2.390103
-968,-2.504255
-964,-2.643065
-960,-2.711819
-956,-2.605829
-952,-2.274797
-948,-1.771724
-944,-1.242071
-940,-0.8498788
-936,-0.687501
-932,-0.73173
-928,-0.8759581
-924,-1.011573
-920,-1.095723
-916,-1.157716
-912,-1.247924
-908,-1.378799
-904,-1.509665
-900,-1.585324
-896,-1.590952
-892,-1.571781
-888,-1.598467
-884,-1.706247
-880,-1.859502
-876,-1.972267
-872,-1.968579
-868,-1.834651
-864,-1.623634
-860,-1.413077
-856,-1.252167
-852,-1.13996
-848,-1.046666
-844,-0.9550011
-840,-0.8858885
-836,-0.8891848
-832,-1.009427
-828,-1.253026
-824,-1.577677
-820,-1.906226
-816,-2.153739
-812,-2.255647
-808,-2.19017
-804,-1.98997
-800,-1.735114
-796,-1.521717
-792,-1.414037
-788,-1.406381
-784,-1.425644
-780,-1.383175
-776,-1.246546
-772,-1.077849
-768,-1.001097
-764,-1.1125
-760,-1.396538
-756,-1.716759
-752,-1.899848
-748,-1.859448
-744,-1.668378
-740,-1.518601
-736,-1.589442
-732,-1.916682
-728,-2.360093
-724,-2.697817
-720,-2.781933
-716,-2.642256
-712,-2.462237
-708,-2.444886
-704,-2.667845
-700,-3.033338
-696,-3.346527
-692,-3.460221
-688,-3.37705
-684,-3.235994
-680,-3.199673
-676,-3.332113
-672,-3.559948
-668,-3.74157
-664,-3.784466
-660,-3.715353
-656,-3.647697
-652,-3.674252
-648,-3.773059
-644,-3.806387
-640,-3.620187
-636,-3.171633
-632,-2.586903
-628,-2.099992
-624,-1.910736
-620,-2.060479
-616,-2.411342
-612,-2.740474
-608,-2.879864
-604,-2.804504
-600,-2.615255
-596,-2.442077
-592,-2.347347
-588,-2.298957
-584,-2.221649
-580,-2.074361
-576,-1.887542
-572,-1.735029
-568,-1.671179
-564,-1.689631
-560,-1.735832
-556,-1.756576
-552,-1.739418
-548,-1.708995
-544,-1.689723
-540,-1.675279
-536,-1.635937
-532,-1.554953
-528,-1.453827
-524,-1.374759
-520,-1.330791
-516,-1.271228
-512,-1.104688
-508,-0.7739394
-504,-0.3258807
-500,0.08683424
-496,0.2871409
-492,0.1859267
-488,-0.1557787
-484,-0.5607973
-480,-0.8402982
-476,-0.8928806
-472,-0.7335982
-468,-0.4485116
-464,-0.1263444
-460,0.1761368
-456,0.4230155
-452,0.5790742
-448,0.6218053
-444,0.5829326
-440,0.5697181
-436,0.7179364
-432,1.087279
-428,1.575341
-424,1.935271
-420,1.912959
-416,1.421268
-412,0.6231686
-408,-0.1499943
-404,-0.5991422
-400,-0.6386645
-396,-0.4302405
-392,-0.2496159
-388,-0.2892521
-384,-0.5411711
-380,-0.8344083
-376,-0.9799034
-372,-0.9008915
-368,-0.6548324
-364,-0.3522412
-360,-0.06059265
-356,0.2206349
-352,0.5045651
-348,0.7505938
-344,0.8651441
-340,0.7802626
-336,0.5410988
-332,0.315196
-328,0.2992887
-324,0.5890231
-320,1.113569
-316,1.687485
-312,2.137275
-308,2.401834
-304,2.533131
-300,2.611084
-296,2.657124
-292,2.625207
-288,2.473508
-284,2.243641
-280,2.06532
-276,2.070962
-272,2.287765
-268,2.600369
-264,2.821595
-260,2.819049
-256,2.598436
-252,2.280418
-248,1.995762
-244,1.788638
-240,1.606042
-236,1.374776
-232,1.092667
-228,0.8511726
-224,0.7681896
-220,0.8885673
-216,1.138075
-212,1.37162
-208,1.477636
-204,1.454494
-200,1.398876
-196,1.418371
-192,1.540468
-188,1.689739
-184,1.74759
-180,1.64344
-176,1.404941
-172,1.131464
-168,0.9166056
-164,0.7821778
-160,0.6720838
-156,0.5051895
-152,0.2426227
-148,-0.08131962
-144,-0.3842251
-140,-0.5946854
-136,-0.7024375
-132,-0.766946
-128,-0.881707
-124,-1.118476
-120,-1.484235
-116,-1.913252
-112,-2.296537
-108,-2.532706
-104,-2.574824
-100,-2.45004
-96,-2.242054
-92,-2.045598
-88,-1.414979
-84,-1.267496
-80,-1.21365
-76,-1.192669
-72,-1.145625
-68,-1.066216
-64,-1.018776
-60,-1.105693
-56,-1.400653
-52,-1.891389
-48,-2.473611
-44,-3.003936
-40,-3.377071
-36,-3.573692
-32,-3.647204
-28,-3.664838
-24,-3.654437
-20,-3.602443
-16,-3.503652
-12,-3.414877
-8,-3.454752
-4,-3.732702
0,-4.252034
4,-4.864333
8,-5.324164
12,-5.421307
16,-5.106229
20,-4.522793
24,-3.924631
28,-3.532578
32,-3.428577
36,-3.548911
40,-3.763823
44,-3.97185
48,-4.139452
52,-4.27246
56,-4.365022
60,-4.384102
64,-4.306087
68,-4.166584
72,-4.066516
76,-4.114272
80,-4.342863
84,-4.669744
88,-4.937911
92,-5.012979
96,-4.865931
100,-4.583142
104,-4.303638
108,-4.138621
112,-4.134542
116,-4.295941
120,-4.630027
124,-5.159641
128,-5.887189
132,-6.744632
136,-7.584573
140,-8.235038
144,-8.583774
148,-8.628001
152,-8.450586
156,-8.143757
160,-7.744409
164,-7.233438
168,-6.594293
172,-5.872995
176,-5.179405
180,-4.62057
184,-4.218352
188,-3.882325
192,-3.467981
196,-2.882543
200,-2.161295
204,-1.457534
208,-0.9522497
212,-0.7453545
216,-0.7981802
220,-0.9560055
224,-1.025472
228,-0.8548858
232,-0.378341
236,0.3821982
240,1.339166
244,2.367817
248,3.335096
252,4.129973
256,4.690417
260,5.01409
264,5.143762
268,5.134983
272,5.02801
276,4.842515
280,4.593075
284,4.304285
288,4.005824
292,3.710129
296,3.397385
300,3.031037
304,2.599468
308,2.149582
312,1.775833
316,1.561585
320,1.512854
324,1.540543
328,1.515283
332,1.362008
336,1.123295
340,0.9377093
344,0.94138
348,1.161823
352,1.484215
356,1.720337
360,1.735457
364,1.544781
368,1.311419
372,1.246837
376,1.481502
380,1.989908
384,2.612738
388,3.152584
392,3.476722
396,3.566121
400,3.494378
404,3.365587
408,3.257985
412,3.202737
416,3.195243
420,3.215642
424,3.238151
428,3.226912
432,3.132641
436,2.904344
440,2.516274
444,1.993678
448,1.416293
452,0.8905252
456,0.50184
460,0.2748615
464,0.1666529
468,0.09922659
472,0.01178517
476,-0.1011409
480,-0.191644
484,-0.1992947
488,-0.1022494
492,0.05864797
496,0.2014686
500,0.2561306
504,0.2105747
508,0.117189
512,0.05602598
516,0.08410938
520,0.2087722
524,0.4014371
528,0.6337637
532,0.900134
536,1.20436
540,1.523436
544,1.78626
548,1.896902
552,1.794741
556,1.5082
560,1.156021
564,0.8858237
568,0.7880237
572,0.8445299
576,0.9489805
580,0.9836521
584,0.8973149
588,0.7295426
592,0.5687241
596,0.4794919
600,0.4544849
604,0.422761
608,0.3034299
612,0.06200621
616,-0.2690022
620,-0.6132852
624,-0.8952249
628,-1.074286
632,-1.152717
636,-1.162524
640,-1.147644
644,-1.151111
648,-1.20598
652,-1.324829
656,-1.489739
660,-1.652374
664,-1.751578
668,-1.743491
672,-1.627336
676,-1.448991
680,-1.279018
684,-1.178605
688,-1.174502
692,-1.254682
696,-1.381136
700,-1.506263
704,-1.583724
708,-1.575138
712,-1.460719
716,-1.255859
720,-1.023664
724,-0.8667461
728,-0.8909491
732,-1.153317
736,-1.623137
740,-2.182606
744,-2.672888
748,-2.963414
752,-3.007632
756,-2.856422
760,-2.625329
764,-2.437853
768,-2.377136
772,-2.468257
776,-2.690452
780,-3.001564
784,-3.35393
788,-3.695282
792,-3.964245
796,-4.097114
800,-4.052899
804,-3.845104
808,-3.555241
812,-3.309496
816,-3.222238
820,-3.336761
824,-3.601479
828,-3.901621
832,-4.130691
836,-4.256641
840,-4.337895
844,-4.476117
848,-4.736156
852,-5.087846
856,-5.411104
860,-5.562542
864,-5.459535
868,-5.125995
872,-4.67167
876,-4.222239
880,-3.850013
884,-3.549859
888,-3.269919
892,-2.967615
896,-2.647598
900,-2.355767
904,-2.138401
908,-1.999498
912,-1.888828
916,-1.729406
920,-1.465581
924,-1.100457
928,-0.6998065
932,-0.3605831
936,-0.1623165
940,-0.1272927
944,-0.2096805
948,-0.3187928
952,-0.365005
956,-0.3056539
960,-0.1677113
964,-0.03542843
968,-0.009056139
972,-0.156104
976,-0.4798248
980,-0.9196504
984,-1.379964
988,-1.769332
992,-2.031106
996,-2.156751
1000,-2.183736
1004,-2.183576
1008,-2.241694
1012,-2.429069
1016,-2.770286
1020,-3.223053
1024,-3.686253
1028,-4.041558
1032,-4.210345
1036,-4.191639
1040,-4.053711
1044,-3.882746
1048,-3.723768
1052,-3.556312
1056,-3.322334
1060,-2.983842
1064,-2.564491
1068,-2.142092
1072,-1.797806
1076,-1.562568
1080,-1.403771
1084,-1.261608
1088,-1.104742
1092,-1.057991
1096,-1.066492
1100,-1.12778
1104,-1.247445
1108,-1.396586
1112,-1.522721
1116,-1.573108
1120,-1.517866
1124,-1.364791
1128,-1.162809
1132,-0.9907501
1136,-0.9290655
1140,-1.021026
1144,-1.24416
1148,-1.517215
1152,-1.748911
1156,-1.901224
1160,-2.019111
1164,-2.19323
1168,-2.471289
1172,-2.782047
1176,-2.940763
1180,-2.753192
1184,-2.157645
1188,-1.30284
1192,-0.492293
1196,-0.01764264
1200,0.01320724
1204,-0.2638105
1208,-0.5627859
1212,-0.6314338
1216,-0.40002
1220,-0.001273435
1224,0.3378221
1228,0.4448439
1232,0.2888065
1236,-0.03735505
1240,-0.4005178
1244,-0.7027056
1248,-0.9011324
1252,-0.9843596
1256,-0.9496266
1260,-0.8097278
1264,-0.6137518
1268,-0.4430066
1272,-0.3655514
1276,-0.3805175
1280,-0.4064008
1284,-0.3377852
1288,-0.1337846
1292,0.1362138
1296,0.3376406
1300,0.3819097
1304,0.3165403
1308,0.3136995
1312,0.5528377
1316,1.080575
1320,1.756698
1324,2.335288
1328,2.626019
1332,2.617139
1336,2.468541
1340,2.382113
1344,2.44922
1348,2.590569
1352,2.630299
1356,2.442931
1360,2.057921
1364,1.642864
1368,1.381671
1372,1.342095
1376,1.431787
1380,1.471945
1384,1.329829
1388,1.011368
1392,0.6493083
1396,0.4007309
1400,0.3316806
1404,0.3707696
1408,0.3608826
1412,0.1684249
1416,-0.2257048
1420,-0.7123062
1424,-1.121048
1428,-1.320513
1432,-1.286242
1436,-1.098974
1440,-0.8834688
1444,-0.7353015
1448,-0.6845511
1452,-0.7136096
1456,-0.8046656
1460,-1.277526
1464,-1.547838
1468,-1.918564
1472,-2.325025
1476,-2.6322
1480,-2.701249
1484,-2.48055
1488,-2.05396
1492,-1.603049
1496,-1.300681
1500,-1.205512
1504,-1.231301
1508,-1.214122
1512,-1.031279
1516,-0.6880574
1520,-0.312861
1524,-0.0685432
1528,-0.04682127
1532,-0.2194779
1536,-0.4731235
1540,-0.6912603
1544,-0.8186363
1548,-0.8655297
1552,-0.8619187
1556,-0.8098453
1560,-0.6773033
1564,-0.435491
1568,-0.1019624
1572,0.2519546
1576,0.5387462
1580,0.707621
1584,0.7716375
1588,0.7889678
1592,0.8153257
1596,0.8645549
1600,0.9045695
1604,0.8856398
1608,0.775502
1612,0.5768397
1616,0.3228172
1620,0.06222185
1624,-0.1537439
1628,-0.2830273
1632,-0.3079257
1636,-0.2524394
1640,-0.1872009
1644,-0.2066412
1648,-0.3803284
1652,-0.7061824
1656,-1.102157
1660,-1.451359
1664,-1.796593
1668,-1.898553
1672,-1.958067
1676,-2.057589
1680,-2.50302
1684,-2.773097
1688,-2.872955
