Time,ERP
-1000,-0.7720908
-996,-0.9503131
-992,-1.077987
-988,-1.065567
-984,-0.9437606
-980,-0.790297
-976,-0.6359943
-972,-0.4352413
-968,-0.1204021
-964,0.3143741
-960,0.7806118
-956,1.148588
-952,1.345189
-948,1.414331
-944,1.488925
-940,1.696755
-936,2.073488
-932,2.542177
-928,2.962617
-924,3.208055
-920,3.221314
-916,3.029791
-912,2.728286
-908,2.448438
-904,2.320894
-900,2.426909
-896,2.748552
-892,3.15223
-888,3.439322
-884,3.455921
-880,3.197068
-876,2.82771
-872,2.591133
-868,2.657495
-864,3.015125
-860,3.483723
-856,3.842729
-852,3.983412
-848,3.974708
-844,4.000106
-840,4.220194
-836,4.666798
-832,5.239836
-828,5.79349
-824,6.234974
-820,6.561927
-816,6.823614
-812,7.052301
-808,7.228025
-804,7.302713
-800,7.25572
-796,7.128894
-792,7.012724
-788,6.996371
-784,7.118752
-780,7.34804
-776,7.594328
-772,7.743234
-768,7.697397
-764,7.416742
-760,6.946883
-756,6.418353
-752,6.002974
-748,5.834852
-744,5.93558
-740,6.194188
-736,6.424984
-732,6.47313
-728,6.30011
-724,5.993407
-720,5.698518
-716,5.525535
-712,5.494024
-708,5.544257
-704,5.59045
-700,5.567234
-696,5.439439
-692,5.18801
-688,4.805537
-684,4.316084
-680,3.795068
-676,3.352714
-672,3.073514
-668,2.951131
-664,2.874744
-660,2.691248
-656,2.308503
-652,1.767522
-648,1.228331
-644,0.8758082
-640,0.8097524
-636,0.9910051
-632,1.269967
-628,1.467068
-624,1.453001
-620,1.195075
-616,0.7661226
-612,0.3235202
-608,0.05955803
-604,0.1234674
-600,0.5350266
-596,1.13843
-592,1.649196
-588,1.798552
-584,1.502761
-580,0.9390245
-576,0.4544676
-572,0.3492585
-568,0.6764981
-564,1.333537
-560,1.56083
-556,1.398954
-552,0.8962265
-548,0.2901173
-544,-0.1562649
-540,-0.3072171
-536,-0.1915156
-532,0.07745463
-528,0.4059279
-524,0.7545969
-520,1.09323
-516,1.347453
-512,1.414528
-508,1.249794
-504,0.9413308
-500,0.6827561
-496,0.6376206
-492,0.7970579
-488,0.9587252
-484,0.8648731
-480,0.4007366
-476,-0.3053585
-472,-0.9651235
-468,-1.332128
-464,-1.361313
-460,-1.201506
-456,-1.037944
-452,-0.9281415
-448,-0.777499
-444,-0.4731303
-440,-0.04858715
-436,0.2814855
-432,0.2639166
-428,-0.185127
-424,-0.8843983
-420,-1.494383
-416,-1.751161
-412,-1.645948
-408,-1.409669
-404,-1.319114
-400,-1.483048
-396,-1.775921
-392,-1.957688
-388,-1.867535
-384,-1.531393
-380,-1.112599
-376,-0.7692577
-372,-0.5500031
-368,-0.4078447
-364,-0.2987592
-360,-0.2559365
-356,-0.3615658
-352,-0.6418856
-348,-0.9913806
-344,-1.211274
-340,-1.144249
-336,-0.7972977
-332,-0.3492011
-328,-0.03136915
-324,0.0279756
-320,-0.1206658
-316,-0.3047515
-312,-0.3669848
-308,-0.2736732
-304,-0.117012
-300,-0.02426156
-296,-0.05750679
-292,-0.179717
-288,-0.3019659
-284,-0.3622842
-280,-0.370953
-276,-0.3936862
-272,-0.4952447
-268,-0.6900561
-264,-0.9317591
-260,-1.14077
-256,-1.246312
-252,-1.218291
-248,-1.076586
-244,-0.877308
-240,-0.6830485
-236,-0.5303324
-232,-0.4124638
-228,-0.2921995
-224,-0.1407137
-220,0.02411512
-216,0.1347803
-212,0.118967
-208,-0.03632298
-204,-0.2550898
-200,-0.4124093
-196,-0.4243654
-192,-0.3192844
-188,-0.2252984
-184,-0.2709073
-180,-0.4693057
-176,-0.6807898
-172,-0.6941987
-168,-0.3753538
-164,0.2277475
-160,0.9060694
-156,1.425174
