Time,ERP
-1000,-0.03088988
-996,-0.6051717
-992,-0.7608654
-988,-0.4273505
-984,0.09391804
-980,0.371201
-976,0.1743966
-972,-0.3483814
-968,-0.7796227
-964,-0.7444983
-960,-0.1923185
-956,0.5631115
-952,1.074741
-948,1.091507
-944,0.7399533
-940,0.4241216
-936,0.519801
-932,1.089357
-928,1.82346
-924,2.245665
-920,2.025742
-916,1.179772
-912,0.03197191
-908,-1.00708
-904,-1.669962
-900,-1.915954
-896,-1.848822
-892,-1.57769
-888,-1.151341
-884,-0.60532
-880,-0.0461029
-876,0.3399947
-872,0.3904594
-868,0.1052381
-864,-0.3090401
-860,-0.5521336
-856,-0.4326439
-852,-0.005764918
-848,0.4677336
-844,0.7192082
-840,0.6769789
-836,0.5181831
-832,0.5245161
-828,0.8533965
-824,1.403033
-820,1.876164
-816,1.99115
-812,1.67777
-808,1.113191
-804,0.5829433
-800,0.2837911
-796,0.2167741
-792,0.2333086
-788,0.1713293
-784,-0.03845211
-780,-0.368558
-776,-0.762581
-772,-1.186156
-768,-1.606223
-764,-1.933717
-760,-2.015416
-756,-1.721792
-752,-1.075522
-748,-0.3030787
-744,0.2678518
-740,0.4156488
-736,0.1845126
-732,-0.1406227
-728,-0.2427979
-724,-0.01297061
-720,0.3694223
-716,0.5866095
-712,0.4496121
-708,0.06723908
-704,-0.2270339
-700,-0.1412863
-696,0.3238229
-692,0.8438251
-688,0.9920011
-684,0.5480356
-680,-0.3424756
-676,-1.273901
-672,-1.862084
-668,-1.9799
-664,-1.776921
-660,-1.493543
-656,-1.243554
-652,-0.9476651
-648,-0.4612348
-644,0.231903
-640,0.9394001
-636,1.372166
-632,1.35668
-628,0.9703191
-624,0.4860339
-620,0.1729944
-616,0.1157409
-612,0.1927073
-608,0.2171275
-604,0.1096355
-600,-0.04542574
-596,-0.09964138
-592,0.003036572
-588,0.1593647
-584,0.1955491
-580,0.03668599
-576,-0.191827
-572,-0.2303469
-568,0.1202894
-564,0.8214786
-560,1.578647
-556,2.005697
-552,1.863382
-548,1.209219
-544,0.3632795
-540,-0.2811477
-536,-0.4760247
-532,-0.238327
-528,0.1841721
-524,0.4612321
-520,0.3515881
-516,-0.1884229
-512,-0.9987718
-508,-1.801768
-504,-2.333626
-500,-2.461795
-496,-2.235706
-492,-1.846543
-488,-1.514911
-484,-1.364821
-480,-1.355695
-476,-1.312543
-472,-1.038165
-468,-0.4410104
-464,0.3924433
-460,1.219054
-456,1.736879
-452,1.710242
-448,1.06731
-444,-0.06131225
-440,-1.374727
-436,-2.496958
-432,-3.112809
-428,-3.09526
-424,-2.562045
-420,-1.815655
-416,-1.184159
-412,-0.8487751
-408,-0.7690057
-404,-0.7587036
-400,-0.6597616
-396,-0.4804668
-392,-0.3847959
-388,-0.5348647
-384,-0.9127855
-380,-1.278703
-376,-1.318246
-372,-0.8771521
-368,-0.09497315
-364,0.6799076
-360,1.142095
-356,1.253466
-352,1.260997
-348,1.488357
-344,2.068083
-340,2.830393
-336,3.440592
-332,3.669924
-328,3.576092
-324,3.441586
-320,3.521218
-316,3.808806
-312,4.021394
-308,3.819441
-304,3.087783
-300,2.049538
-296,1.119946
-292,0.6159304
-288,0.5478591
-284,0.6483063
