Time,ERP
-1000,0.1464078
-996,-0.2745798
-992,-0.5963465
-988,-0.8162912
-984,-1.01547
-980,-1.292468
-976,-1.681637
-972,-2.116499
-968,-2.465132
-964,-2.611174
-960,-2.522748
-956,-2.264553
-952,-1.952331
-948,-1.687791
-944,-1.517789
-940,-1.434816
-936,-1.402892
-932,-1.380571
-928,-1.327024
-924,-1.199563
-920,-0.9594764
-916,-0.5911151
-912,-0.1207224
-908,0.3839186
-904,0.8383301
-900,1.175851
-896,1.368893
-892,1.425521
-888,1.37047
-884,1.230177
-880,1.032854
-876,0.816329
-872,0.626272
-868,0.4966663
-864,0.423956
-860,0.3581415
-856,0.2252218
-852,-0.02836651
-848,-0.3976983
-844,-0.814298
-840,-1.178601
-836,-1.409062
-832,-1.477705
-828,-1.41383
-824,-1.279661
-820,-1.136537
-816,-1.019608
-812,-0.9284865
-808,-0.8319348
-804,-0.6825213
-800,-0.4384148
-796,-0.08779551
-792,0.3343428
-788,0.7499067
-784,1.067575
-780,1.228145
-776,1.2405
-772,1.184352
-768,1.174014
-764,1.300953
-760,1.585533
-756,1.962198
-752,2.303627
-748,2.471206
-744,2.370484
-740,1.991413
-736,1.418598
-732,0.8040677
-728,0.3070292
-724,0.02219341
-720,-0.06705405
-716,-0.07775451
-712,-0.1548723
-708,-0.3754533
-704,-0.6923805
-700,-0.9622403
-696,-1.045929
-692,-0.9138889
-688,-0.6770796
-684,-0.514335
-680,-0.5448149
-676,-0.7404566
-672,-0.9475552
-668,-1.004134
-664,-0.8638971
-660,-0.6304915
-656,-0.4757511
-652,-0.5081757
-648,-0.6981557
-644,-0.9196752
-640,-1.071346
-636,-1.172352
-632,-1.347973
-628,-1.711418
-624,-2.238335
-620,-2.742311
-616,-2.981717
-612,-2.822767
-608,-2.33579
-604,-1.750795
-600,-1.304749
-596,-1.092858
-592,-1.027793
-588,-0.9251865
-584,-0.6416213
-580,-0.1633494
-576,0.40516
-572,0.9232149
-568,1.293449
-564,1.486727
-560,1.517039
-556,1.409426
-552,1.194322
-548,0.9219319
-544,0.6645331
-540,0.4886159
-536,0.416031
-532,0.4131913
-528,0.4257081
-524,0.4317095
-520,0.4639746
-516,0.5756966
-512,0.7780559
-508,1.009863
-504,1.176483
-500,1.23213
-496,1.231987
-492,1.296544
-488,1.50312
-484,1.788967
-480,1.953897
-476,1.777752
-472,1.174565
-468,0.2690371
-464,-0.6657313
-460,-1.366784
-456,-1.7227
-452,-1.802242
-448,-1.764669
-444,-1.733795
-440,-1.733116
-436,-1.716184
-432,-1.643437
-428,-1.525576
-424,-1.396609
-420,-1.252668
-416,-1.027459
-412,-0.6402386
-408,-0.08076176
-404,0.5459038
-400,1.06327
-396,1.329345
-392,1.32253
-388,1.139493
-384,0.909815
-380,0.7003113
-376,0.4869258
-372,0.2104099
