Time,ERP
-1000,2.408805
-996,1.901612
-992,1.17518
-988,0.5642431
-984,0.2156746
-980,0.01252804
-976,-0.2957352
-972,-0.8743771
-968,-1.670635
-964,-2.458231
-960,-3.005372
-956,-3.225923
-952,-3.206821
-948,-3.114399
-944,-3.072236
-940,-3.105492
-936,-3.174575
-932,-3.24613
-928,-3.332713
-924,-3.476087
-920,-3.702888
-916,-3.997037
-912,-4.306351
-908,-4.566187
-904,-4.71736
-900,-4.714746
-896,-4.539616
-892,-4.219791
-888,-3.838577
-884,-3.506858
-880,-3.3002
-876,-3.202789
-872,-3.110168
-868,-2.902822
-864,-2.540549
-860,-2.100162
-856,-1.719004
-852,-1.486124
-848,-1.373486
-844,-1.271196
-840,-1.10121
-836,-0.9095314
-832,-0.8460448
-828,-1.034784
-824,-1.438364
-820,-1.839394
-816,-1.974385
-812,-1.729031
-808,-1.242865
-804,-0.8322126
-800,-0.7786276
-796,-1.136416
-792,-1.700665
-788,-2.155487
-784,-2.2875
-780,-2.107683
-776,-1.803899
-772,-2.034133
-768,-2.085281
-764,-2.182824
-760,-2.214892
-756,-2.14635
-752,-2.048829
-748,-2.036439
-744,-2.16853
-740,-2.403321
-736,-2.639328
-732,-2.807299
-728,-2.933845
-724,-3.120978
-720,-3.4534
-716,-3.905246
-712,-4.324647
-708,-4.519486
-704,-4.392827
-700,-4.033059
-696,-3.685895
-692,-3.611677
-688,-3.913013
-684,-4.447981
-680,-4.896936
-676,-4.951827
-672,-4.510343
-668,-3.7466
-664,-3.007525
-660,-2.60059
-656,-2.613727
-652,-2.885635
-648,-3.137974
-644,-3.167087
-640,-2.956537
-636,-2.640762
-632,-2.367332
-628,-2.178548
-624,-2.005607
-620,-1.766678
-616,-1.470704
-612,-1.227477
-608,-1.151823
-604,-1.248536
-600,-1.386999
-596,-1.397853
-592,-1.214253
-588,-0.9351865
-584,-0.7506235
-580,-0.7868139
-576,-1.002578
-572,-1.228445
-568,-1.31937
-564,-1.290767
-560,-1.316246
-556,-1.580772
-552,-2.108427
-548,-2.711052
-544,-3.107852
-540,-3.124905
-536,-2.816213
-532,-2.410592
-528,-2.130381
-524,-2.030096
-520,-1.982789
-516,-1.816697
-512,-1.481198
-508,-1.101345
-504,-0.8767139
-500,-0.7340494
-496,-1.258692
-492,-1.657857
-488,-1.646975
-484,-1.175866
