Time,ERP
-1000,-1.422763
-996,-1.142004
-992,-0.8799725
-988,-0.6906224
-984,-0.5940272
-980,-0.565817
-976,-0.5496826
-972,-0.4902305
-968,-0.3694577
-964,-0.2232357
-960,-0.1233278
-956,-0.1323579
-952,-0.2603046
-948,-0.4532662
-944,-0.6244722
-940,-0.7066826
-936,-0.6889182
-932,-0.6115428
-928,-0.5260022
-924,-0.4527374
-920,-0.3710819
-916,-0.2476423
-912,-0.07746376
-908,0.09843885
-904,0.2154453
-900,0.230537
-896,0.1537993
-892,0.0408512
-888,-0.0476075
-884,-0.08732547
-880,-0.10212
-876,-0.1395619
-872,-0.2320824
-868,-0.3729301
-864,-0.5210196
-860,-0.626183
-856,-0.6547001
-852,-0.6012493
-848,-0.486967
-844,-0.3511539
-840,-0.2406609
-836,-0.1955392
-832,-0.2311929
-828,-0.3264952
-824,-0.431132
-820,-0.4951408
-816,-0.5033187
-812,-0.486631
-808,-0.495616
-804,-0.5519584
-800,-0.6178541
-796,-0.6148456
-792,-0.4854085
-788,-0.2509214
-784,-0.01455607
-780,0.1029598
-776,0.05113173
-772,-0.1075268
-768,-0.2385081
-764,-0.2338423
-760,-0.09394219
-756,0.07190415
-752,0.1282853
-748,0.01571257
-744,-0.207841
-740,-0.4167065
-736,-0.5158522
-732,-0.5072621
-728,-0.4727993
-724,-0.4923651
-720,-0.5691088
-716,-0.6246096
-712,-0.5657023
-708,-0.3634835
-704,-0.076207
-700,0.2021077
-696,0.4207723
-692,0.6094181
-688,0.8408611
-684,1.153148
-680,1.499594
-676,1.770977
-672,1.871862
-668,1.786954
-664,1.583404
-660,1.350922
-656,1.1344
-652,0.9169586
-648,0.6638456
-644,0.3819609
-640,0.1367555
-636,0.008234596
-632,0.02510387
-628,0.1380151
-624,0.2594632
-620,0.3379214
-616,0.4011067
-612,0.5277244
-608,0.7696232
-604,1.091707
-600,1.384566
-596,1.543188
-592,1.547
-588,1.473089
-584,1.42964
-580,1.464426
-576,1.525437
-572,1.507891
-568,1.348624
-564,1.08815
-560,0.8464867
-556,0.7310454
-552,0.7520427
-548,0.8156286
-544,0.8006635
-540,0.6568673
-536,0.4448615
-532,0.2871835
-528,0.2712986
-524,0.3832256
-520,0.5226892
-516,0.5836305
-512,0.5324944
-508,0.4228957
-504,0.3404197
-500,0.3279472
-496,0.3537789
-492,0.3454737
-488,0.2569796
-484,0.1113527
-480,-0.01521062
-476,-0.05288759
-472,0.00825308
-468,0.1122707
-464,0.1808067
-460,0.1700703
-456,0.09963936
-452,0.03649917
-448,0.05110095
-444,0.1769919
-440,0.3961131
-436,0.6502044
-432,0.8652359
-428,0.9760759
-424,0.9465195
-420,0.7825264
-416,0.5337898
-412,0.277408
-408,0.08625656
-404,-0.002381825
-400,0.002540726
-396,0.06361473
-392,0.1470857
-388,0.2429231
-384,0.3565884
-380,0.4825
-376,0.5878818
-372,0.6283866
-368,0.5861343
-364,0.4948053
-360,0.4208996
-356,0.4075509
-352,0.4255147
-348,0.3799285
-344,0.1800376
-340,-0.1760214
-336,-0.5723487
-332,-0.8376499
-328,-0.8630644
-324,-0.6882554
-320,-0.4837663
-316,-0.432781
-312,-0.5952813
-308,-0.8567808
-304,-1.00436
-300,-0.8774322
-296,-0.4836292
-292,0.004514647
-288,0.3667345
-284,0.4769872
-280,0.3674707
-276,0.1765294
-272,0.03174992
-268,-0.03668227
-264,-0.0904958
-260,-0.202655
-256,-0.3769686
-252,-0.5362288
-248,-0.5847271
-244,-0.4883371
-240,-0.3041218
-236,-0.1375215
-232,-0.06651298
-228,-0.09630999
-224,-0.1772323
-220,-0.2619648
-216,-0.346522
-212,-0.4582739
-208,-0.605536
-204,-0.740164
-200,-0.774304
-196,-0.6438977
-192,-0.3672624
-188,-0.04635328
-184,0.1967757
-180,0.3021381
-176,0.3088754
-172,0.3173003
-168,0.4043775
-164,0.5574462
-160,0.6768298
-156,0.6452631
-152,0.4123546
-148,0.03310955
-144,-0.3644106
