Time,ERP
-1000,0.2807589
-996,0.4677531
-992,0.5212092
-988,0.5451966
-984,0.6262156
-980,0.931182
-976,1.108878
-972,1.254646
-968,1.346746
-964,1.401805
-960,1.452186
-956,1.512598
-952,1.564415
-948,1.56954
-944,1.502011
-940,1.369323
-936,1.202896
-932,1.022054
-928,0.8025847
-924,0.483121
-920,0.0156802
-916,-0.5725187
-912,-1.155921
-908,-1.555539
-904,-1.633403
-900,-1.378384
-896,-0.924285
-892,-0.4831679
-888,-0.2347271
-884,-0.242219
-880,-0.444653
-876,-0.7186444
-872,-0.9578139
-868,-1.115255
-864,-1.19316
-860,-1.206235
-856,-1.159373
-852,-1.056401
-848,-0.9219568
-844,-0.8036398
-840,-0.7428576
-836,-0.7372085
-832,-0.7322327
-828,-0.6565534
-824,-0.4753327
-820,-0.2176261
-816,0.04588364
-812,0.2568755
-808,0.410308
-804,0.5494786
-800,0.7218868
-796,0.9366146
-792,1.160435
-788,1.352413
-784,1.499496
-780,1.615769
-776,1.705613
-772,1.729465
-768,1.613186
-764,1.303569
-760,0.828464
-756,0.3083018
-752,-0.09949351
-748,-0.2882223
-744,-0.2580659
-740,-0.1010749
-736,-0.1937304
-732,-0.1353985
-728,-0.1121026
-724,-0.1050293
-720,-0.1127234
-716,-0.1608576
-712,-0.2775384
-708,-0.461981
-704,-0.6787778
-700,-0.8842173
-696,-1.05867
-692,-1.212822
-688,-1.361722
-684,-1.494201
-680,-1.571322
-676,-1.558765
-672,-1.46353
-668,-1.338836
-664,-1.249454
-660,-1.225645
-656,-1.245527
-652,-1.261096
-648,-1.244351
-644,-1.210866
-640,-1.029775
-636,-0.9962901
-632,-1.023407
-628,-1.077742
-624,-1.120777
-620,-1.149008
-616,-1.196126
-612,-1.296641
-608,-1.447423
-604,-1.606037
-600,-1.728809
-596,-1.810869
-592,-1.886463
-588,-1.986431
-584,-2.094965
-580,-2.153102
-576,-2.113534
-572,-1.999347
-568,-1.908141
-564,-1.947198
-560,-2.147391
-556,-2.428836
-552,-2.652223
-548,-2.718494
-544,-2.635743
-540,-2.498475
