Time,ERP
-1000,0.4333262
-996,0.151995
-992,-0.1879164
-988,-0.4718305
-984,-0.6456205
-980,-0.7435158
-976,-0.8418918
-972,-0.9804193
-968,-1.117516
-964,-1.156275
-960,-1.018783
-956,-0.7092962
-952,-0.3190234
-948,0.02672076
-944,0.2360311
-940,0.2856975
-936,0.2097298
-932,0.06339426
-928,-0.1038459
-924,-0.2525532
-920,-0.3470896
-916,-0.3593069
-912,-0.2860465
-908,-0.1639703
-904,-0.06178971
-900,-0.04886673
-896,-0.1607318
-892,-0.3864959
-888,-0.6841868
-884,-1.006733
-880,-1.314755
-876,-1.5698
-872,-1.724842
-868,-1.734506
-864,-1.587255
-860,-1.334496
-856,-1.083663
-852,-0.9461432
-848,-0.9689502
-844,-1.099294
-840,-1.21315
-836,-1.19373
-832,-1.007969
-828,-0.7290683
-824,-0.4914379
-820,-0.4110715
-816,-0.5243292
-812,-0.7789947
-808,-1.072218
-804,-1.302019
-800,-1.401283
-796,-1.346913
-792,-1.157521
-788,-0.8921049
-784,-0.6456249
-780,-0.5261462
-776,-0.608769
-772,-0.8864406
-768,-1.253292
-764,-1.543005
-760,-1.608222
-756,-1.394445
-752,-0.9605443
-748,-0.4329417
-744,0.07294291
-740,0.5080111
-736,0.8858832
-732,1.23163
-728,1.531079
-724,1.726228
-720,1.762675
-716,1.649775
-712,1.480247
-708,1.384835
-704,1.448632
-700,1.649004
-696,1.863765
-692,1.948553
-688,1.831886
-684,1.562359
-680,1.276099
-676,1.108737
-672,1.11412
-668,1.244555
-664,1.400865
-660,1.509721
-656,1.568626
-652,1.627862
-648,1.729696
-644,1.858124
-640,1.941944
-636,1.909462
-632,1.749846
-628,1.529329
-624,1.345507
-620,1.253513
-616,1.222392
-612,1.158476
-608,0.9798285
-604,0.6844437
-600,0.3581969
-596,0.1152895
-592,0.01684286
-588,0.03060027
-584,0.06211251
-580,0.03113264
-576,-0.06886192
-572,-0.1757341
-568,-0.2222584
-564,-0.2033157
-560,-0.1881793
-556,-0.2647787
-552,-0.4595059
-548,-0.6987329
-544,-0.8469
-540,-0.7965449
-536,-0.5441934
-532,-0.1961111
-528,0.09928612
-524,0.2414457
-520,0.2268504
-516,0.1296739
-512,0.03908741
-508,0.005196226
-504,0.02882141
-500,0.08869763
-496,0.1706431
-492,0.2698169
-488,0.3699116
-484,0.4297499
-480,0.4020568
-476,0.2760062
-472,0.1052596
-468,-0.01237761
-464,0.000533919
-460,0.1375339
-456,0.2978985
-452,0.3460568
-448,0.2039847
-444,-0.08903836
-440,-0.3951227
-436,-0.5644967
-432,-0.5306042
-428,-0.348024
-424,-0.1503837
-420,-0.0621775
-416,-0.1277803
-412,-0.3024344
-408,-0.5020207
-404,-0.667245
-400,-0.7936668
-396,-0.9106137
-392,-1.033264
-388,-1.130655
-384,-1.136444
-380,-0.9942856
-376,-0.7034751
-372,-0.3315946
-368,0.01526017
-364,0.2455225
-360,0.3262002
-356,0.2933162
-352,0.2262782
-348,0.2034718
-344,0.2638263
-340,0.3917057
-336,0.5291666
-332,0.6067795
-328,0.5775474
-324,0.4379826
-320,0.2273134
-316,0.006168866
-312,-0.1734057
-308,-0.290965
-304,-0.362022
-300,-0.4226839
-296,-0.5041823
-292,-0.6124805
-288,-0.7234508
-284,-0.7939222
-280,-0.7803499
-276,-0.6552876
-272,-0.4167182
-268,-0.09104304
-264,0.2680714
-260,0.5858991
-256,0.7815537
-252,0.7925249
-248,0.6018769
-244,0.254191
-240,-0.1523273
-236,-0.4988516
-232,-0.6904228
-228,-0.6901654
-224,-0.5264494
-220,-0.2715066
-216,-0.005521005
-212,0.2139823
-208,0.3641734
-204,0.4500081
-200,0.4880529
-196,0.4924634
-192,0.469443
-188,0.420195
-184,0.349014
-180,0.2725832
-176,0.2261299
-172,0.2609709
-168,0.4288882
-164,0.7548553
-160,1.209616
-156,1.700416
-152,2.093709
-148,2.26658
-144,2.163332
-140,1.824801
-136,1.369884
-132,0.9363298
-128,0.613674
-124,0.4070686
-120,0.2515686
-116,0.06471168
-112,-0.1976562
-108,-0.5163525
-104,-0.8259393
-100,-1.057649
-96,-1.17814
-92,-1.201324
-88,-1.170727
-84,-1.12785
-80,-1.087035
-76,-1.029593
-72,-0.9175814
-68,-0.7185213
-64,-0.4291023
-60,-0.08697434
-56,0.236578
-52,0.4632657
-48,0.5437545
-44,0.4842613
-40,0.3455631
-36,0.2100305
-32,0.1334615
-28,0.1122118
-24,0.08957956
-20,-0.0002413988
-16,-0.1799361
-12,-0.4059686
-8,-0.592378
-4,-0.6651734
0,-0.6083595
4,-0.4693089
8,-0.3221239
12,-0.2183283
16,-0.1606094
20,-0.1138308
24,-0.03749379
28,0.08928505
32,0.2661844
36,0.4845448
40,0.7334887
44,0.9898306
48,1.20566
52,1.317602
56,1.285131
60,1.134486
64,0.9686912
68,0.9224131
72,1.082806
76,1.430091
80,1.844393
84,2.179445
88,2.35324
92,2.391132
96,2.391346
100,2.440605
104,2.54362
108,2.61735
112,2.550833
116,2.284251
120,1.851961
124,1.366068
128,0.9604889
132,0.7363173
136,0.7363322
140,0.9480234
144,1.317453
148,1.761854
152,2.184442
156,2.499594
160,2.663979
164,2.693706
168,2.649396
172,2.593971
176,2.552907
180,2.508747
184,2.434621
188,2.336784
192,2.265306
196,2.277637
200,2.381997
204,2.509596
208,2.545271
212,2.399448
216,2.069416
220,1.644508
224,1.252817
228,0.9901126
232,0.879635
236,0.8807974
240,0.9252607
244,0.945592
248,0.882664
252,0.6880185
256,0.3435791
260,-0.1043217
264,-0.5302513
268,-0.7681311
272,-0.6975807
276,-0.3252352
280,0.2030164
284,0.6797774
288,0.9570716
292,1.026778
296,1.004425
300,1.032872
304,1.181944
308,1.417965
312,1.656357
316,1.842598
320,1.990118
324,2.147732
328,2.333851
332,2.502856
336,2.576258
340,2.509474
344,2.331186
348,2.11813
352,1.928138
356,1.75342
360,1.536982
364,1.236928
368,0.8780453
372,0.5408326
376,0.2953547
380,0.1399589
384,0.003470105
388,-0.1869416
392,-0.4318443
396,-0.6482587
400,-0.736113
404,-0.667322
408,-0.5187828
412,-0.4161696
416,-0.4318589
420,-0.5224334
424,-0.561178
428,-0.4427665
432,-0.176045
436,0.1108174
440,0.2581283
444,0.1864785
448,-0.05243075
452,-0.3200759
456,-0.4905849
460,-0.528979
464,-0.4963614
468,-0.4901475
472,-0.5719021
476,-0.7337179
480,-0.9153209
484,-1.046575
488,-1.082412
492,-1.016283
496,-0.8778788
500,-0.7234367
504,-0.6178676
508,-0.6063908
512,-0.6858608
516,-0.7984694
520,-0.8633488
524,-0.8328508
528,-0.7326296
532,-0.6476319
536,-0.6561548
540,-0.7610872
544,-0.8782955
548,-0.8994735
552,-0.7833603
556,-0.5990301
560,-0.4793524
564,-0.5159431
568,-0.6792523
572,-0.8317545
576,-0.8288447
580,-0.6294733
584,-0.3288214
588,-0.08779398
592,-0.01718445
596,-0.1077166
600,-0.2548639
604,-0.3481133
608,-0.3467987
612,-0.286081
616,-0.2230571
620,-0.1835636
624,-0.1604583
628,-0.1568787
632,-0.2195725
636,-0.4151238
640,-0.7602184
644,-1.170309
648,-1.485332
652,-1.567965
656,-1.402949
660,-1.11673
664,-0.8958154
668,-0.8627996
672,-1.003017
676,-1.19368
680,-1.305396
684,-1.292084
688,-1.203225
692,-1.121843
696,-1.090576
700,-1.08816
704,-1.066129
708,-1.00165
712,-0.9144512
716,-0.8365185
720,-0.7712238
724,-0.6877984
728,-0.5597149
732,-0.4087268
736,-0.3070052
740,-0.3276689
744,-0.4834923
748,-0.7072018
752,-0.891987
756,-0.9588286
760,-0.8952335
764,-0.7378423
768,-0.5227793
772,-0.2552049
776,0.07249052
780,0.4351797
784,0.7537457
788,0.929039
792,0.9094573
796,0.7344834
800,0.5132363
804,0.3516248
808,0.2866747
812,0.2803354
816,0.2732136
820,0.2463535
824,0.234514
828,0.2815512
832,0.3843636
836,0.483715
840,0.5157164
844,0.4780403
848,0.4457034
852,0.5131063
856,0.7059748
860,0.9397776
864,1.067664
868,0.9869755
872,0.7204719
876,0.4048792
880,0.1930761
884,0.1470147
888,0.205519
892,0.2500488
896,0.2124821
900,0.1377331
904,0.1526273
908,0.3680269
912,0.7916196
916,1.31649
920,1.788462
924,2.096663
928,2.221743
932,2.217343
936,2.15296
940,2.068063
944,1.966928
948,1.845246
952,1.716661
956,1.614224
960,1.568206
964,1.581624
968,1.624121
972,1.64709
976,1.608182
980,1.490982
984,1.31369
988,1.12578
992,0.9923773
996,0.9670647
1000,1.061984
1004,1.232355
1008,1.391987
1012,1.45931
1016,1.409876
1020,1.298307
1024,1.227454
1028,1.278964
1032,1.45157
1036,1.653179
1040,1.756457
1044,1.681474
1048,1.448352
1052,1.16388
1056,0.9525708
1060,0.8808885
1064,0.9251765
1068,1.000208
1072,1.021878
1076,0.9583025
1080,0.8381029
1084,0.7191841
1088,0.6461616
1092,0.6257948
1096,0.6308566
1100,0.6227058
1104,0.5737917
1108,0.4778163
1112,0.3470548
1116,0.2045185
1120,0.07746611
1124,-0.006706459
1128,-0.02494001
1132,0.03519104
1136,0.1682134
1140,0.3454984
1144,0.5162068
1148,0.6184668
1152,0.6013036
1156,0.449996
1160,0.201097
1164,-0.06616904
1168,-0.2636251
1172,-0.3379695
1176,-0.298653
1180,-0.2098112
1184,-0.1485102
1188,-0.1567751
1192,-0.2212063
1196,-0.2946988
1200,-0.3417912
1204,-0.3703595
1208,-0.4227456
1212,-0.5325708
1216,-0.6820836
1220,-0.7970182
1224,-0.7872456
1228,-0.6051571
1232,-0.2783782
1236,0.107138
1240,0.4598237
1244,0.7317737
1248,0.9316999
1252,1.099362
1256,1.266927
1260,1.437189
1264,1.589282
1268,1.699233
1272,1.754088
1276,1.750672
1280,1.687864
1284,1.567163
1288,1.403992
1292,1.236892
1296,1.119292
1300,1.093367
1304,1.162724
1308,1.28537
1312,1.394217
1316,1.432264
1320,1.379012
1324,1.25304
1328,1.094184
1332,0.9417049
1336,0.8220488
1340,0.747459
1344,0.7184054
1348,0.7251461
1352,0.7510565
1356,0.7811909
1360,0.8125861
1364,0.8554426
1368,0.9183338
1372,0.9849526
1376,1.003807
1380,0.9083229
1384,0.6620945
1388,0.2983573
1392,-0.08029704
1396,-0.3501068
1400,-0.4330775
1404,-0.3368682
1408,-0.1400448
1412,0.06406043
1416,0.2216748
1420,0.3326497
1424,0.4212565
1428,0.4960472
1432,0.5365769
1436,0.516421
1440,0.4369666
1444,0.3374042
1448,0.2702207
1452,0.264947
1456,0.3138648
1460,0.3919899
1464,0.4896283
1468,0.6225129
1472,0.8054558
1476,1.013424
1480,1.171707
1484,1.195351
1488,1.052446
1492,0.7984821
1496,0.546234
1500,0.3876305
1504,0.3263804
1508,0.2766075
1512,0.1326315
1516,-0.1410556
1520,-0.4683913
1524,-0.7014252
1528,-0.7128586
1532,-0.4758229
1536,-0.07884184
1540,0.3265761
1544,0.603984
1548,0.686709
1552,0.5880033
1556,0.378456
1560,0.1544616
1564,0.01006613
1568,0.009816605
1572,0.1605346
1576,0.3946123
1580,0.585757
1584,0.6044751
1588,0.3896122
1592,-0.008410871
1596,-0.4460799
1600,-0.7607864
1604,-0.855776
1608,-0.743596
1612,-0.5252064
1616,-0.3246249
1620,-0.2235912
1624,-0.232139
1628,-0.3017721
1632,-0.3625025
1636,-0.359541
1640,-0.2756998
1644,-0.1365122
1648,0.001780502
1652,0.08023495
1656,0.07243548
1660,0.006449603
1664,-0.04803676
1668,-0.02862803
1672,0.06506786
1676,0.1563976
1680,0.1398073
1684,-0.03397048
1688,-0.3008812
1692,-0.5094732
1696,-0.5244312
1700,-0.3354126
1704,-0.08361907
1708,0.02569279
1712,-0.1320152
1716,-0.5051953
1720,-0.8948498
1724,-1.088839
1728,-1.002402
1732,-0.7216239
1736,-0.4240053
1740,-0.2457741
1744,-0.2015779
1748,-0.2111187
1752,-0.1951187
1756,-0.1491452
1760,-0.131548
1764,-0.1838071
1768,-0.263751
1772,-0.2602817
1776,-0.08335985
1780,0.2478637
1784,0.5995903
1788,0.8128451
1792,0.8186032
1796,0.685442
1800,0.5612994
1804,0.5570821
1808,0.6653371
1812,0.7755491
1816,0.7682917
1820,0.6098012
1824,0.3746572
1828,0.1870802
1832,0.134598
1836,0.2209394
1840,0.3833552
1844,0.5455011
1848,0.6575403
1852,0.69985
1856,0.6657656
1860,0.5538976
1864,0.3808902
1868,0.1955347
1872,0.06761459
1876,0.04907729
1880,0.1366411
1884,0.2707921
1888,0.3768523
1892,0.4162688
1896,0.4058705
1900,0.3905399
1904,0.3961591
1908,0.4064402
1912,0.3840376
1916,0.3142979
1920,0.2281662
1924,0.1798207
1928,0.1977917
1932,0.2551897
1936,0.2892432
1940,0.2556418
