Time,ERP
-1000,7.688544
-996,7.565248
-992,8.126641
-988,8.995356
-984,9.756891
-980,10.4785
-976,11.75936
-972,14.18875
-968,17.64297
-964,21.05732
-960,22.95905
-956,22.42094
-952,19.71824
-948,16.17021
-944,13.2712
-940,11.76083
-936,11.30948
-932,10.99507
-928,10.13187
-924,8.781139
-920,7.582986
-916,7.119322
-912,7.370574
-908,7.704384
-904,7.371608
-900,6.083445
-896,4.215403
-892,2.512929
-888,1.563111
-884,1.436944
-880,1.722813
-876,1.856661
-872,1.470724
-868,0.5404319
-864,-0.6951262
-860,-1.915457
-856,-2.87455
-852,-3.484594
-848,-3.841207
-844,-4.194089
-840,-4.838508
-836,-5.935083
-832,-7.350049
-828,-8.655955
-824,-9.354097
-820,-9.205858
-816,-8.435013
-812,-7.620584
-808,-7.324529
-804,-7.716334
-800,-8.479637
-796,-9.077399
-792,-9.171553
-788,-8.870459
-784,-8.616529
-780,-8.81572
-776,-9.512319
-772,-10.36152
-768,-10.89951
-764,-10.8746
-760,-10.37591
-756,-9.686415
-752,-9.019068
-748,-8.372539
-744,-7.614214
-740,-6.688844
-736,-5.746554
-732,-5.068057
-728,-4.851509
-724,-5.045936
-720,-5.370102
-716,-5.495532
-712,-5.243909
-708,-4.655869
-704,-3.907201
-700,-3.166728
-696,-2.51172
-692,-1.94218
-688,-1.444639
-684,-1.030828
-680,-0.7243493
-676,-0.5275161
-672,-0.4095504
-668,-0.3197871
-664,-0.1965709
-660,0.0425375
-656,0.5033654
-652,1.272536
-648,2.336361
-644,3.528157
-640,4.578869
-636,5.272526
-632,5.60653
-628,5.822208
-624,6.253118
-620,7.084413
-616,8.202724
-612,9.258723
-608,9.901342
-604,10.00707
-600,9.73457
-596,9.379187
-592,9.159221
-588,9.106557
-584,9.128934
-580,9.159816
-576,9.246222
-572,9.501319
-568,9.984612
-564,10.63945
-560,11.35084
-556,12.05868
-552,12.79789
-548,13.60783
-544,14.39037
-540,14.86958
-536,14.73256
-532,13.86845
-528,12.51204
-524,11.15072
-520,10.23632
-516,9.905058
-512,9.911113
-508,9.814362
-504,9.272845
-500,8.227978
-496,6.878968
-492,5.514778
-488,4.362334
-484,3.55079
-480,3.158908
-476,3.236391
-472,3.743217
-468,4.469733
-464,5.057915
-460,5.167955
-456,4.690943
-452,3.834254
-448,2.986383
-444,2.444013
-440,2.206388
-436,1.997971
-432,1.499104
-428,0.5966994
-424,-0.5444437
-420,-1.632771
-416,-2.479641
-412,-3.106339
-408,-3.647818
-404,-4.158141
-400,-4.510053
-396,-4.494551
-392,-4.045
-388,-3.390207
-384,-2.988893
-380,-3.271199
-376,-4.368997
-372,-6.026017
-368,-7.741354
-364,-9.033094
-360,-9.644126
-356,-9.582591
-352,-9.020269
-348,-8.156124
-344,-7.140143
-340,-6.07858
-336,-5.078364
-332,-4.278928
-328,-3.847849
-324,-3.943163
-320,-4.649786
-316,-5.903801
-312,-7.443644
-308,-8.851811
-304,-9.723099
-300,-9.903837
-296,-9.649554
-292,-9.546057
-288,-10.1694
-284,-11.66319
-280,-13.52596
-276,-14.80734
-272,-14.64312
-268,-12.79981
-264,-9.856321
-260,-6.881164
-256,-4.813148
-252,-3.963025
-248,-3.960493
-244,-4.142415
-240,-4.06417
-236,-3.75396
-232,-3.556957
-228,-3.743956
-224,-4.227164
-220,-4.61145
-216,-4.520081
-212,-3.911425
-208,-3.122883
-204,-2.611217
-200,-2.605052
-196,-2.94568
-192,-3.228799
-188,-3.117132
-184,-2.571547
-180,-1.834459
-176,-1.208357
-172,-0.8264725
-168,-0.5939533
-164,-0.318816
-160,0.1041057
-156,0.6188124
-152,1.093661
-148,1.473805
-144,1.856355
-140,2.42028
-136,3.272284
-132,4.339652
-128,5.397767
-124,6.208059
-120,6.6585
-116,6.807826
-112,6.81841
-108,6.845255
-104,6.964883
-100,7.176745
-96,7.445722
-92,7.733678
-88,7.999564
-84,8.191046
-80,8.260089
-76,8.202634
-72,8.084753
-68,8.017337
-64,8.084931
-60,8.282868
-56,8.521517
-52,8.705115
-48,8.825113
-44,8.984565
-40,9.318419
-36,9.861403
-32,10.46972
-28,10.87485
-24,10.85068
-20,10.38241
-16,9.710552
-12,9.204668
-8,9.141385
-4,9.532026
0,10.113
4,10.50133
8,10.4094
12,9.783879
16,8.798066
20,7.730326
24,6.825086
28,6.218766
32,5.945189
36,5.975437
40,6.241624
44,6.634486
48,7.005211
52,7.201149
56,7.12672
60,6.785303
64,6.264606
68,5.673975
72,5.085296
76,4.526259
80,4.024936
84,3.652795
88,3.510495
92,3.654525
96,4.026546
100,4.458986
104,4.771797
108,4.892768
112,4.902155
116,4.957314
120,5.154008
124,5.441297
128,5.668406
132,5.730837
136,5.691922
140,5.767554
144,6.172368
148,6.945012
152,7.895
156,8.718657
160,9.194351
164,9.303943
168,9.192597
172,9.016253
176,8.815908
180,8.522623
184,8.070928
188,7.49684
192,6.914723
196,6.38977
200,5.83622
204,5.064147
208,3.965076
212,2.683313
216,1.601312
220,1.107386
224,1.304141
228,1.89159
232,2.341254
236,2.250224
240,1.611129
244,0.7882091
248,0.2164782
252,0.06081657
256,0.1046707
260,-0.0457901
264,-0.6098175
268,-1.418499
272,-2.013317
276,-1.980574
280,-1.259652
284,-0.188529
288,0.7396188
292,1.21233
296,1.270763
300,1.206098
304,1.285795
308,1.536869
312,1.489875
316,1.476534
320,1.108712
324,0.4897129
328,-0.1160698
332,-0.467912
336,-0.5106286
340,-0.3958236
344,-0.353195
348,-0.5129956
352,-0.8086523
356,-1.02542
360,-0.9536073
364,-0.535435
368,0.0920887
372,0.6774735
376,0.9952302
380,0.950938
384,0.5908353
388,0.02742581
392,-0.6526301
396,-1.428961
400,-2.314966
404,-3.289496
408,-4.256357
412,-5.06921
416,-5.606629
420,-5.839686
424,-5.841043
428,-5.728441
432,-5.587268
436,-5.430272
440,-5.220059
444,-4.92679
448,-4.566855
452,-4.188095
456,-3.820411
460,-3.444689
464,-3.018435
468,-2.540887
472,-2.096509
476,-1.824156
480,-1.819838
484,-2.044833
488,-2.319594
492,-2.424306
496,-2.240807
500,-1.830989
504,-1.389733
508,-1.107587
512,-1.04621
516,-1.11638
520,-1.162468
524,-1.074412
528,-0.8338045
532,-0.468885
536,0.02125626
540,0.6854305
544,1.55193
548,2.533255
552,3.405011
556,3.905588
560,3.899095
564,3.478296
568,2.918306
572,2.503205
576,2.347742
580,2.342864
584,2.257508
588,1.912231
592,1.293788
596,0.5380645
600,-0.1829647
604,-0.7669024
608,-1.202827
612,-1.51653
616,-1.712476
620,-1.772779
624,-1.705376
628,-1.576944
632,-1.479543
636,-1.449952
640,-1.420409
644,-1.262676
648,-0.9069048
652,-0.4394602
656,-0.08810174
660,-0.08821197
664,-0.5240505
668,-1.266501
672,-2.056387
676,-2.668684
680,-3.032554
684,-3.226443
688,-3.373752
692,-3.541089
696,-3.723135
700,-3.907928
704,-4.138274
708,-4.492385
712,-4.98945
716,-5.510084
720,-5.822973
724,-5.721017
728,-5.166667
732,-4.325714
736,-3.452469
740,-2.712466
744,-2.08272
748,-1.40847
752,-0.5652096
756,0.412986
760,1.349695
764,2.073213
768,2.566922
772,2.990958
776,3.553036
780,4.33743
784,5.238105
788,6.054696
792,6.671066
796,7.163587
800,7.74321
804,8.575768
808,9.629546
812,10.68071
816,11.47592
820,11.91974
824,12.13295
828,12.33666
832,12.66129
836,13.04139
840,13.28469
844,13.25687
848,13.02393
852,12.82516
856,12.88869
860,13.23506
864,13.6306
868,13.73582
872,13.34015
876,12.5047
880,11.50563
884,10.62405
888,9.944029
892,9.310155
896,8.471303
900,7.293813
904,5.878217
908,4.49299
912,3.380926
916,2.586992
920,1.934419
924,1.160758
928,0.1118387
932,-1.14347
936,-2.347768
940,-3.201548
944,-3.51278
948,-3.25727
952,-2.534831
956,-1.482102
960,-0.2174978
964,1.151771
968,2.492589
972,3.634722
976,4.415771
980,4.757694
984,4.714933
988,4.447566
992,4.127984
996,3.841375
1000,3.549073
1004,3.141474
1008,2.54566
1012,1.813043
1016,1.122341
1020,0.688831
1024,0.6352482
1028,0.9104926
1032,1.314547
1036,1.618138
1040,1.70111
1044,1.618053
1048,1.543367
1052,1.628085
1056,1.86463
1060,2.058785
1064,1.940123
1068,1.346623
1072,0.3609276
1076,-0.6994559
1080,-1.443575
1084,-1.623903
1088,-1.271866
1092,-0.6652768
1096,-0.1509916
1100,0.05994873
1104,-0.006628799
1108,-0.1437817
1112,-0.121323
1116,0.1708228
1120,0.6851646
1124,1.29021
1128,1.880539
1132,2.432647
1136,2.971946
1140,3.494531
1144,3.923288
1148,4.143674
1152,4.092183
1156,3.820117
1160,3.471933
1164,3.185172
1168,2.98385
1172,2.748271
1176,2.292903
1180,1.503655
1184,0.4403029
1188,-0.6685376
1192,-1.53659
1196,-1.967124
1200,-1.947092
1204,-1.638756
1208,-1.285321
1212,-1.093407
1216,-1.157313
1220,-1.453251
1224,-1.886305
1228,-2.348808
1232,-2.757702
1236,-3.063909
1240,-3.246602
1244,-3.306799
1248,-3.267223
1252,-3.172523
1256,-3.081089
1260,-3.044254
1264,-3.080528
1268,-3.159388
1272,-3.207551
1276,-3.13627
1280,-2.877556
1284,-2.411564
1288,-1.77315
1292,-1.035739
1296,-0.284256
1300,0.4056891
1304,0.9730844
1308,1.367657
1312,1.551899
1316,1.517524
1320,1.308272
1324,-0.2744673
1328,-0.6270278
1332,-0.6714915
1336,-0.4406767
1340,-0.08415909
1344,0.2056202
1348,0.2805308
1352,0.1002027
1356,-0.253339
1360,-0.614715
1364,-0.8149776
1368,-0.7672837
1372,-0.5150221
1376,-0.2105745
1380,-0.02987108
1384,-0.07012892
1388,-0.29459
1392,-0.5604409
1396,-0.7118357
1400,-0.6733935
1404,-0.4799627
1408,-0.2274543
1412,0.0100667
1416,0.2278658
1420,0.4688639
1424,0.7613751
1428,1.082281
1432,1.385502
1436,1.671489
1440,2.025847
1444,2.573867
1448,3.370318
1452,4.313106
1456,5.166449
1460,5.69972
1464,5.846432
1468,5.757276
1472,5.690764
1476,5.812912
1480,6.057153
1484,6.160119
1488,5.85785
1492,5.100308
1496,4.120782
1500,3.302189
1504,2.935849
1508,3.049233
1512,3.424453
1516,3.77993
1520,3.967815
1524,4.037473
1528,4.131698
1532,4.315981
1536,4.489242
1540,4.449079
1544,4.055773
1548,3.358369
1552,2.582108
1556,1.988633
1560,1.718752
1564,1.729069
1568,1.852437
1572,1.917929
1576,1.838003
1580,1.617139
1584,1.308194
1588,0.972761
1592,0.6738557
1596,0.479584
1600,0.4406971
1604,0.5422901
1608,0.6772829
1612,0.690492
1616,0.4823485
1620,0.09677319
1624,-0.2896399
1628,-0.4860156
1632,-0.4283579
1636,-0.2260286
1640,-0.06442308
1644,-0.03598414
1648,-0.04412021
1652,0.1258981
1656,0.6134844
1660,1.325397
1664,1.957187
1668,2.197092
1672,1.960984
1676,1.469255
1680,1.092952
1684,1.080609
1688,1.379012
1692,1.690749
1696,1.72303
1700,1.426723
1704,1.032376
1708,0.8555096
1712,1.032201
1716,1.402098
1720,1.636157
1724,1.505598
1728,1.073321
1732,0.6509388
1736,0.5541854
1740,0.8506292
1744,1.29745
1748,1.51525
1752,1.261386
1756,0.5975536
1760,-0.1615493
1764,-0.6630222
1768,-0.7273172
1772,-0.4160632
1776,0.05883374
1780,0.4846837
1784,0.7403593
1788,0.795239
1792,0.6669701
1796,0.4079818
1800,0.1319824
1804,0.02291031
1808,0.2675193
1812,0.9251524
1816,1.827628
1820,2.613246
1824,2.911957
1828,2.57912
1832,1.819901
1836,1.107398
1840,0.9348587
1844,1.554559
1848,2.861037
1852,4.475256
1856,5.957368
1860,7.006983
1864,7.544299
1868,7.661687
1872,7.51558
1876,7.241383
1880,6.927129
1884,6.625754
1888,6.366934
1892,6.153159
1896,5.956077
1900,5.734336
