ID,TASK,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,AW,140,500,160,0,300,70
2,AW,10,50,30,300,30,0
3,AW,200,0,240,240,120,40
4,AW,250,20,120,320,160,0
5,AW,400,180,50,180,320,0
6,AW,300,100,0,240,150,60
7,AW,50,10,20,300,40,0
8,AW,240,0,300,70,80,180
9,AW,200,70,0,120,240,60
10,AW,30,10,80,500,20,0
11,AW,40,20,0,350,80,240
12,AW,60,0,200,270,40,30
13,AW,210,500,120,0,270,80
14,AW,320,0,30,40,300,120
15,AW,40,20,50,280,20,0
16,AW,80,240,150,60,0,30
17,AW,40,0,200,280,240,10
18,AW,60,280,100,140,120,0
19,AW,120,70,210,500,180,0
20,AW,150,30,160,450,100,0
21,AW,40,40,20,300,100,0
22,AW,320,50,80,280,270,10
23,AW,150,10,80,400,120,0
24,AW,300,60,60,160,180,0
25,AW,120,0,150,140,120,280
26,AW,350,320,60,140,210,0
27,AW,120,10,40,350,120,0
28,AW,80,0,80,400,40,150
29,AW,270,0,150,280,60,10
1,MI,240,180,200,90,270,0
2,MI,20,80,200,180,60,0
3,MI,450,160,70,100,280,30
4,MI,400,40,60,240,360,0
5,MI,400,60,100,180,320,0
6,MI,360,280,20,100,320,0
7,MI,100,10,10,300,30,20
8,MI,240,0,200,180,140,60
9,MI,400,0,50,240,240,60
10,MI,350,60,280,90,180,0
11,MI,400,0,320,160,360,70
12,MI,240,0,50,200,240,60
13,MI,300,20,320,0,210,240
14,MI,150,10,100,40,180,350
15,MI,0,240,50,100,150,70
16,MI,320,180,0,100,250,10
17,MI,350,0,100,210,40,60
18,MI,270,240,80,40,40,140
19,MI,280,280,60,320,180,0
20,MI,140,80,100,350,240,0
21,MI,90,200,210,100,120,0
22,MI,100,70,150,270,280,0
23,MI,240,0,160,360,80,10
24,MI,400,60,60,90,150,0
25,MI,210,0,280,160,320,140
26,MI,450,140,60,210,360,0
27,MI,80,10,100,400,150,0
28,MI,120,0,150,400,60,80
29,MI,360,0,60,360,210,20
1,MO,280,30,150,140,210,0
2,MO,10,50,20,300,40,0
3,MO,320,50,100,120,300,0
4,MO,200,20,60,450,180,0
5,MO,500,210,0,140,360,10
6,MO,100,40,60,210,180,90
7,MO,40,0,50,300,20,10
8,MO,0,280,140,140,400,80
9,MO,100,80,20,240,60,0
10,MO,280,120,150,160,60,0
11,MO,250,0,60,360,60,20
12,MO,150,0,100,80,90,80
13,MO,40,20,250,180,120,40
14,MO,240,20,0,60,180,240
15,MO,0,20,50,160,160,100
16,MO,40,240,150,120,0,30
17,MO,30,0,200,350,180,20
18,MO,60,320,40,120,240,0
19,MO,360,240,320,100,270,0
20,MO,80,10,200,240,80,0
21,MO,60,80,100,140,60,10
22,MO,120,100,300,140,100,0
23,MO,160,20,150,300,120,0
24,MO,120,20,100,180,60,0
25,MO,150,0,120,140,70,400
26,MO,350,160,160,60,200,70
27,MO,120,0,40,90,60,60
28,MO,240,0,60,320,160,10
29,MO,240,0,60,320,160,10
